PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
62095 $  1003   $  1467749866  $  4676697738     $     3214562  $    84895605  $    61398191  $     7335326  $      44      $       0      $      97      $           0  $              $0.313843      $3214562.000000      $5.417068 $3.917731 $0.468057 $     1.38  $     8.37  
62093 $  1003   $ 17520203910  $  9002404665     $     3485245  $   380028726  $   347680690  $    53223608  $       0      $       0      $      97      $           0  $              $1.946169      $3485245.000000      $24.249092 $22.185011 $3.396122 $     1.09  $     6.53  
62095 $  2005   $   985405224  $  3905303348     $     3900051  $   106270493  $    81914290  $     7602599  $      44      $       0      $      97      $           0  $              $0.252325      $3900051.000000      $6.787736 $5.232050 $0.485595 $     1.30  $    10.77  
62093 $  2005   $ 18384987316  $  9286153090     $     3411289  $   399514736  $   365814001  $    52931394  $       0      $       0      $      97      $           0  $              $1.979828      $3411289.000000      $25.517908 $23.365366 $3.380847 $     1.09  $     6.91  
62095 $  3007   $  1724735705  $  5503141915     $     3801966  $   104599935  $    77192923  $    11194998  $      46      $       0      $      97      $           0  $              $0.313409      $3801966.000000      $6.681034 $4.930486 $0.715050 $     1.36  $     6.90  
62093 $  3008   $ 18424449763  $  9337604098     $     3553932  $   400765586  $   366491358  $    55330570  $       0      $       0      $      97      $           0  $              $1.973145      $3553932.000000      $25.572281 $23.385292 $3.530565 $     1.09  $     6.62  
62095 $  4009   $  1337670190  $  4569031773     $     3694612  $   101745398  $    79018126  $    11088506  $      45      $       0      $      97      $           0  $              $0.292769      $3694612.000000      $6.498708 $5.047066 $0.708248 $     1.29  $     7.13  
62093 $  4010   $ 18281982980  $  9290350672     $     3569191  $   397518391  $   363577623  $    55105961  $       0      $       0      $      97      $           0  $              $1.967847      $3569191.000000      $25.390396 $23.222523 $3.519742 $     1.09  $     6.60  
62095 $  5011   $  1370284499  $  4850864311     $     4011575  $   109336159  $    81145685  $     7714459  $      45      $       0      $      97      $           0  $              $0.282483      $4011575.000000      $6.983547 $5.182958 $0.492740 $     1.35  $    10.52  
62093 $  5012   $ 18586151699  $  9393691498     $     3429470  $   403942722  $   369812377  $    53146480  $       0      $       0      $      97      $           0  $              $1.978578      $3429470.000000      $25.800734 $23.620750 $3.394586 $     1.09  $     6.96  
62095 $  6013   $  1705663134  $  5453311732     $     3761713  $   103338991  $    77481731  $    11155462  $      46      $       0      $      97      $           0  $              $0.312776      $3761713.000000      $6.600494 $4.948933 $0.712525 $     1.33  $     6.95  
62093 $  6014   $ 18341046295  $  9292065846     $     3541581  $   398889575  $   364824920  $    55194973  $       0      $       0      $      97      $           0  $              $1.973840      $3541581.000000      $25.477976 $23.302191 $3.525427 $     1.09  $     6.61  
62093 $  6525   $  9675587382  $  4889693805     $     1705346  $   210010305  $   192516305  $    25968183  $       0      $       0      $      97      $           0  $              $1.978772      $1705346.000000      $26.302660 $24.111631 $3.252375 $     1.09  $     7.41  
62095 $  6524   $   157302181  $  1080008633     $     1630595  $    44107992  $    35176492  $     1634007  $      21      $       0      $      97      $           0  $              $0.145649      $1630595.000000      $5.524289 $4.405666 $0.204651 $     1.25  $    21.53  
62093 $  7115   $ 11245472609  $  5622350955     $     1653018  $   243213254  $   223730956  $    24776173  $       0      $       0      $      97      $           0  $              $2.000137      $1653018.000000      $26.382454 $24.269121 $2.687585 $     1.09  $     9.03  
62093 $  7118   $     2807282  $     1399531     $        1633  $       60533  $       56084  $       25715  $       0      $       0      $      97      $           0  $              $2.005873      $1633.000000      $1.291371 $1.196459 $0.548587 $     1.08  $     2.18  
62093 $  8121   $ 18163499765  $  9201500863     $     3655437  $   394718172  $   361178541  $    56586883  $      45      $       0      $      97      $           0  $              $1.973971      $3655437.000000      $25.186403 $23.046288 $3.610729 $     1.09  $     6.38  
62118 $  1003   $  1465156379  $  4691056856     $     3194753  $    84136299  $    62513569  $     7321137  $       0      $       0      $      97      $           0  $              $0.312330      $3194753.000000      $5.368617 $3.988902 $0.467151 $     1.35  $     8.54  
62118 $  2006   $   984595075  $  3906373554     $     3908378  $   105660313  $    82629306  $     7611115  $      43      $       0      $      97      $           0  $              $0.252048      $3908378.000000      $6.742034 $5.272458 $0.485654 $     1.28  $    10.86  
62093 $  9124   $ 17794410187  $  9011365294     $     3654531  $   386267584  $   353723744  $    56279423  $       0      $       0      $      97      $           0  $              $1.974663      $3654531.000000      $24.647184 $22.570608 $3.591110 $     1.09  $     6.29  
62118 $  3008   $  1722827034  $  5502921317     $     3771357  $   103421816  $    78345307  $    11162293  $      46      $       0      $      97      $           0  $              $0.313075      $3771357.000000      $6.605785 $5.004091 $0.712961 $     1.32  $     7.02  
62093 $ 10126   $ 18351535191  $  9332765140     $     3608705  $   399018485  $   364940719  $    55617032  $       0      $       0      $      97      $           0  $              $1.966356      $3608705.000000      $25.486212 $23.309586 $3.552385 $     1.09  $     6.56  
62118 $  4010   $  1230432680  $  4377572143     $     3683660  $   101527078  $    80629120  $    10541396  $      45      $       0      $      97      $           0  $              $0.281076      $3683660.000000      $6.484764 $5.149964 $0.673303 $     1.26  $     7.65  
62093 $ 11128   $ 18357145240  $  9296860451     $     3561592  $   399294180  $   365171014  $    55394702  $       0      $       0      $      97      $           0  $              $1.974553      $3561592.000000      $25.503820 $23.324295 $3.538185 $     1.09  $     6.59  
62118 $  5012   $  1474482626  $  5039939037     $     3973617  $   107900860  $    81153539  $     8182566  $      46      $       0      $      97      $           0  $              $0.292560      $3973617.000000      $6.891871 $5.183459 $0.522639 $     1.33  $     9.92  
62093 $ 12131   $ 18550541999  $  9380008682     $     3477868  $   403197363  $   369070948  $    53912125  $       0      $       0      $      97      $           0  $              $1.977668      $3477868.000000      $25.727449 $23.549891 $3.440056 $     1.09  $     6.85  
62118 $  6015   $  1576167366  $  5144000445     $     3728857  $   102233136  $    78796529  $    11118253  $      46      $       0      $      97      $           0  $              $0.306409      $3728857.000000      $6.523351 $5.027894 $0.709440 $     1.30  $     7.09  
62093 $ 13134   $ 18269827168  $  9291372405     $     3608553  $   397298877  $   363315688  $    55600887  $       0      $       0      $      97      $           0  $              $1.966322      $3608553.000000      $25.351074 $23.182655 $3.547813 $     1.09  $     6.53  
62093 $ 13705   $ 10839998063  $  5441379840     $     1855250  $   235310255  $   215768538  $    28833468  $       0      $       0      $      97      $           0  $              $1.992141      $1855250.000000      $26.374529 $24.184216 $3.231772 $     1.09  $     7.48  
62118 $  6587   $   297540688  $  1506594699     $     1834187  $    49523483  $    39389134  $     1838109  $      24      $       0      $      97      $           0  $              $0.197492      $1834187.000000      $5.541089 $4.407176 $0.205663 $     1.26  $    21.43  
62093 $ 14244   $ 10460761649  $  5232399726     $     1520067  $   226236399  $   208115761  $    22822287  $       0      $       0      $      97      $           0  $              $1.999228      $1520067.000000      $26.862949 $24.711334 $2.709882 $     1.09  $     9.12  
62093 $ 14246   $     2725498  $     1351217     $        1529  $       58891  $       54504  $       22997  $       0      $       0      $      97      $           0  $              $2.017069      $1529.000000      $1.884512 $1.744128 $0.735904 $     1.08  $     2.37  
62093 $ 15249   $ 18102830319  $  9186859141     $     3651272  $   393201631  $   359746919  $    56581882  $      45      $       0      $      97      $           0  $              $1.970514      $3651272.000000      $25.089636 $22.954937 $3.610409 $     1.09  $     6.36  
62124 $  1003   $  1468270642  $  4694180477     $     3240491  $    85422505  $    61580121  $     7368047  $       0      $       0      $      97      $           0  $              $0.312785      $3240491.000000      $5.450688 $3.929340 $0.470145 $     1.39  $     8.36  
62124 $  1059   $    13939669  $   123021000     $      234702  $     6030715  $     4334054  $      236521  $       1      $       0      $      97      $           0  $              $0.113311      $234702.000000      $6.892246 $4.953205 $0.270310 $     1.39  $    18.32  
62093 $ 15305   $   600723251  $   334779116     $      262869  $    12580147  $    11597637  $     3885161  $       0      $       0      $      97      $           0  $              $1.794387      $262869.000000      $14.377311 $13.254442 $4.440184 $     1.08  $     2.99  
