PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
63123 $  1003   $  6733468987  $  9084371889     $      101580  $    17019059  $    19062286  $     1901875  $      45      $       0      $      97      $           0  $              $0.741215      $101580.000000      $1.085962 $1.216337 $0.121356 $     0.89  $    10.02  
63121 $  1003   $ 22231548160  $  8843669166     $      527631  $   347895176  $   347917909  $     2865224  $       0      $       0      $      97      $           0  $              $2.513838      $527631.000000      $22.198694 $22.200146 $0.182826 $     1.00  $   121.43  
63123 $  2005   $  6824283941  $  9184198698     $       99056  $    15855641  $    17012828  $     1852167  $      47      $       0      $      97      $           0  $              $0.743046      $99056.000000      $1.012736 $1.086648 $0.118302 $     0.93  $     9.19  
63121 $  2005   $ 23116869395  $  9164595577     $      428362  $   361543558  $   361543022  $     2219386  $       0      $       0      $      97      $           0  $              $2.522410      $428362.000000      $23.092602 $23.092567 $0.141757 $     1.00  $   162.90  
63123 $  3007   $  6828581516  $  9183169593     $       97493  $    16931792  $    18801029  $     1830627  $      47      $       0      $      97      $           0  $              $0.743597      $97493.000000      $1.081472 $1.200864 $0.116926 $     0.90  $    10.27  
63121 $  3007   $ 23217771562  $  9169914665     $      384057  $   363314820  $   363303657  $     2096513  $       0      $       0      $      97      $           0  $              $2.531951      $384057.000000      $23.205736 $23.205023 $0.133909 $     1.00  $   173.29  
63123 $  4009   $  6810763319  $  9182135951     $       97998  $    16349614  $    17845668  $     1856364  $      47      $       0      $      97      $           0  $              $0.741741      $97998.000000      $1.044287 $1.139843 $0.118570 $     0.92  $     9.61  
63121 $  4009   $ 23138068576  $  9162294548     $      430026  $   361872139  $   361873436  $     2248899  $       0      $       0      $      97      $           0  $              $2.525357      $430026.000000      $23.113588 $23.113672 $0.143642 $     1.00  $   160.91  
63123 $  5012   $  6827540766  $  9184664114     $       99578  $    14814534  $    15250384  $     1862719  $      47      $       0      $      97      $           0  $              $0.743363      $99578.000000      $0.945294 $0.973105 $0.118857 $     0.97  $     8.19  
63121 $  5012   $ 23151680673  $  9164954616     $      426413  $   362088589  $   362087447  $     2239116  $       0      $       0      $      97      $           0  $              $2.526110      $426413.000000      $23.104355 $23.104284 $0.142875 $     1.00  $   161.71  
63123 $  6015   $  6827611364  $  9184760473     $       99858  $    15050381  $    15618159  $     1838474  $      47      $       0      $      97      $           0  $              $0.743363      $99858.000000      $0.960343 $0.996572 $0.117310 $     0.96  $     8.50  
63121 $  6015   $ 23232530197  $  9171903091     $      385283  $   363547422  $   363533266  $     2104681  $       0      $       0      $      97      $           0  $              $2.533011      $385283.000000      $23.197443 $23.196541 $0.134297 $     1.00  $   172.73  
63123 $  7017   $  6830817433  $  9184599792     $       98883  $    14915811  $    15399206  $     1847990  $      47      $       0      $      97      $           0  $              $0.743725      $98883.000000      $0.952707 $0.983582 $0.118035 $     0.97  $     8.33  
63121 $  7018   $ 23138306249  $  9164933629     $      434542  $   361881055  $   361887334  $     2328647  $       0      $       0      $      97      $           0  $              $2.524656      $434542.000000      $23.091114 $23.091515 $0.148588 $     1.00  $   155.41  
63123 $  8019   $  6827927338  $  9183830877     $       98784  $    15146623  $    15804284  $     1849581  $      47      $       0      $      97      $           0  $              $0.743473      $98784.000000      $0.967449 $1.009455 $0.118137 $     0.96  $     8.54  
63121 $  8020   $ 23141717226  $  9164081306     $      428026  $   361929017  $   361925299  $     2259704  $       0      $       0      $      97      $           0  $              $2.525263      $428026.000000      $23.117224 $23.116985 $0.144332 $     1.00  $   160.16  
63123 $  9021   $  6817094997  $  9184215587     $       99604  $    16067500  $    17351402  $     1863017  $      47      $       0      $      97      $           0  $              $0.742262      $99604.000000      $1.026267 $1.108273 $0.118995 $     0.93  $     9.31  
63121 $  9022   $ 23142975601  $  9164272318     $      430744  $   361952722  $   361951313  $     2271909  $       0      $       0      $      97      $           0  $              $2.525348      $430744.000000      $23.118738 $23.118649 $0.145112 $     1.00  $   159.32  
63123 $ 10023   $  6822304059  $  9183454944     $       98492  $    17190921  $    19236249  $     1819977  $      47      $       0      $      97      $           0  $              $0.742891      $98492.000000      $1.098023 $1.228662 $0.116246 $     0.89  $    10.57  
63121 $ 10024   $ 23220246250  $  9170401057     $      387433  $   363352670  $   363343893  $     2140319  $       0      $       0      $      97      $           0  $              $2.532086      $387433.000000      $23.208155 $23.207594 $0.136707 $     1.00  $   169.76  
63121 $ 10591   $ 13350561187  $  5286967220     $      223291  $   208748277  $   208749539  $     1122138  $       0      $       0      $      97      $           0  $              $2.525183      $223291.000000      $23.562416 $23.562557 $0.126661 $     1.00  $   186.03  
63123 $ 10590   $  2804871848  $  3852873861     $       40607  $     6789128  $     7556591  $      724775  $      25      $       0      $      97      $           0  $              $0.727995      $40607.000000      $0.766321 $0.852949 $0.081809 $     0.90  $    10.43  
63121 $ 11171   $ 13563925155  $  5309406703     $       70048  $   212290763  $   212279765  $      309185  $       0      $       0      $      97      $           0  $              $2.554697      $70048.000000      $23.425188 $23.423973 $0.034117 $     1.00  $   686.58  
63121 $ 11173   $     4166673  $     1712620     $          28  $       65411  $       65417  $         211  $       0      $       0      $      97      $           0  $              $2.432923      $28.000000      $2.093152 $2.093344 $0.006752 $     1.00  $   310.03  
63121 $ 12175   $ 22568800885  $  9021679076     $      387144  $   352303873  $   352290412  $     1922002  $      47      $       0      $      97      $           0  $              $2.501619      $387144.000000      $22.502443 $22.501583 $0.122763 $     1.00  $   183.29  
63141 $  1002   $  6774887345  $  9155598261     $      104870  $    15955190  $    17254491  $     1930255  $       0      $       0      $      97      $           0  $              $0.739972      $104870.000000      $1.019094 $1.102083 $0.123290 $     0.92  $     8.94  
63141 $  2004   $  6740510089  $  9089395218     $      104325  $    15918551  $    17223921  $     1878409  $      45      $       0      $      97      $           0  $              $0.741580      $104325.000000      $1.016754 $1.100131 $0.119978 $     0.92  $     9.17  
63121 $ 13177   $ 20870721240  $  8441655570     $      308088  $   324978579  $   324961311  $     1567663  $       0      $       0      $      97      $           0  $              $2.472349      $308088.000000      $20.757116 $20.756012 $0.100130 $     1.00  $   207.29  
63141 $  3006   $  6819987711  $  9178270628     $      102727  $    15778396  $    16917993  $     1897610  $      47      $       0      $      97      $           0  $              $0.743058      $102727.000000      $1.007802 $1.080590 $0.121205 $     0.93  $     8.92  
63121 $ 14179   $ 23136242882  $  9156212859     $      381027  $   361847446  $   361842352  $     1917362  $       0      $       0      $      97      $           0  $              $2.526835      $381027.000000      $23.112013 $23.111689 $0.122466 $     1.00  $   188.72  
63141 $  3940   $  6351304320  $  8557326998     $       95185  $    14625388  $    15618437  $     1742977  $      44      $       0      $      97      $           0  $              $0.742207      $95185.000000      $1.002168 $1.070214 $0.119433 $     0.94  $     8.96  
63121 $ 15113   $ 21523477845  $  8518604739     $      317397  $   336721294  $   336710408  $     1626329  $       0      $       0      $      97      $           0  $              $2.526644      $317397.000000      $23.072979 $23.072233 $0.111440 $     1.00  $   207.04  
