PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
64580 $  1003   $ 20899039247  $  8821940043     $     1082813  $   339005329  $   414698283  $     7020175  $      45      $       0      $      97      $           0  $              $2.368984      $1082813.000000      $21.631447 $26.461306 $0.447947 $     0.82  $    59.07  
64578 $  1003   $  3620886377  $  7846399768     $     3162441  $    39987758  $    36349033  $    30324153  $       0      $       0      $      97      $           0  $              $0.461471      $3162441.000000      $2.551562 $2.319380 $1.934941 $     1.10  $     1.20  
64580 $  2005   $ 21571997677  $  9111123937     $     1091527  $   349443353  $   425459670  $     7281703  $      47      $       0      $      97      $           0  $              $2.367655      $1091527.000000      $22.319736 $27.175070 $0.465099 $     0.82  $    58.43  
64578 $  2005   $  4229342427  $  9067451557     $     3653257  $    47130378  $    42784980  $    35549285  $       0      $       0      $      97      $           0  $              $0.466431      $3653257.000000      $3.010324 $2.732773 $2.270613 $     1.10  $     1.20  
64580 $  3008   $ 21598449929  $  9109853879     $     1049920  $   349845134  $   425892812  $     6957508  $      47      $       0      $      97      $           0  $              $2.370889      $1049920.000000      $22.323118 $27.175611 $0.443949 $     0.82  $    61.21  
64578 $  3008   $  4218330821  $  9066600343     $     3615174  $    46602663  $    42454444  $    35318575  $       0      $       0      $      97      $           0  $              $0.465260      $3615174.000000      $2.973650 $2.708957 $2.253628 $     1.10  $     1.20  
64580 $  4011   $ 21629217046  $  9108409302     $     1012979  $   350270931  $   426384795  $     6688086  $      47      $       0      $      97      $           0  $              $2.374643      $1012979.000000      $22.350290 $27.207006 $0.426757 $     0.82  $    63.75  
64578 $  4011   $  4179766876  $  9072149458     $     3466140  $    45367230  $    41352240  $    34701622  $       0      $       0      $      97      $           0  $              $0.460725      $3466140.000000      $2.894818 $2.638628 $2.214261 $     1.10  $     1.19  
64580 $  5014   $ 21555630639  $  9110329495     $     1109723  $   349120884  $   425095593  $     7232007  $      48      $       0      $      97      $           0  $              $2.366065      $1109723.000000      $22.276907 $27.124743 $0.461464 $     0.82  $    58.78  
64578 $  5014   $  4226678018  $  9068048814     $     3661957  $    47104631  $    42775565  $    35534001  $       0      $       0      $      97      $           0  $              $0.466107      $3661957.000000      $3.005679 $2.729448 $2.267374 $     1.10  $     1.20  
64580 $  6016   $ 21574765494  $  9110633754     $     1076775  $   349311223  $   425301190  $     7071920  $      47      $       0      $      97      $           0  $              $2.368086      $1076775.000000      $22.311296 $27.164946 $0.451699 $     0.82  $    60.14  
64578 $  6016   $  4177367978  $  9072709620     $     3472052  $    45333353  $    41378770  $    34649337  $       0      $       0      $      97      $           0  $              $0.460432      $3472052.000000      $2.895543 $2.642955 $2.213131 $     1.10  $     1.19  
64580 $  7018   $ 21518333029  $  9111279440     $     1104388  $   348396866  $   423705254  $     7385969  $      47      $       0      $      97      $           0  $              $2.361725      $1104388.000000      $22.252893 $27.063009 $0.471758 $     0.82  $    57.37  
64578 $  7018   $  4222929159  $  9070734833     $     3661434  $    47125037  $    42760537  $    35579761  $       0      $       0      $      97      $           0  $              $0.465555      $3661434.000000      $3.009982 $2.731212 $2.272559 $     1.10  $     1.20  
64580 $  7916   $ 19468298106  $  8219061470     $      922452  $   315261521  $   383935352  $     6181276  $      42      $       0      $      97      $           0  $              $2.368677      $922452.000000      $22.468529 $27.362877 $0.440536 $     0.82  $    62.11  
64578 $  7917   $  3458503049  $  7390565740     $     3016356  $    38660279  $    35060484  $    29043934  $       0      $       0      $      97      $           0  $              $0.467962      $3016356.000000      $2.752234 $2.495963 $2.067644 $     1.10  $     1.21  
64580 $  8098   $  4181041997  $  1714496591     $       14827  $    67608615  $    81619572  $      132869  $       6      $       0      $      97      $           0  $              $2.438641      $14827.000000      $23.774458 $28.701387 $0.046723 $     0.83  $   614.29  
64580 $  8100   $    14041643  $     5787265     $          55  $      236221  $      379014  $         339  $       0      $       0      $      97      $           0  $              $2.426300      $55.000000      $7.559072 $12.128448 $0.010848 $     0.62  $  1118.04  
64580 $  9103   $ 21631348819  $  9114293158     $     1045897  $   350235563  $   425761203  $     6950474  $      46      $       0      $      97      $           0  $              $2.373343      $1045897.000000      $22.348032 $27.167215 $0.443500 $     0.82  $    61.26  
64598 $  1002   $  3635429708  $  7893189018     $     3172530  $    40112231  $    36509342  $    30409194  $       0      $       0      $      97      $           0  $              $0.460578      $3172530.000000      $2.562059 $2.331934 $1.942304 $     1.10  $     1.20  
64580 $ 10105   $ 21634418830  $  9106170438     $     1027825  $   350416276  $   425597047  $     6942902  $      47      $       0      $      97      $           0  $              $2.375798      $1027825.000000      $22.381878 $27.183844 $0.443459 $     0.82  $    61.30  
