PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
65125 $  1003   $  4048033430  $  7329804806     $     2921996  $    81826151  $    64612379  $    61447271  $      45      $       0      $      97      $           0  $              $0.552270      $2921996.000000      $5.221210 $4.122824 $3.920863 $     1.27  $     1.05  
65123 $  1003   $ 19737337447  $  8794694718     $     2781484  $   320267954  $   390499241  $    16781240  $       0      $       0      $      97      $           0  $              $2.244232      $2781484.000000      $20.435843 $24.917200 $1.070787 $     0.82  $    23.27  
65125 $  2005   $  5030364022  $  9057105211     $     3549614  $   102689474  $    81216633  $    77243790  $      49      $       0      $      97      $           0  $              $0.555405      $3549614.000000      $6.559008 $5.187490 $4.933735 $     1.26  $     1.05  
65123 $  2005   $ 20229964983  $  9090971047     $     2965340  $   327338362  $   394455794  $    18529390  $       0      $       0      $      97      $           0  $              $2.225281      $2965340.000000      $20.907841 $25.194782 $1.183514 $     0.83  $    21.29  
65125 $  3007   $  5033118900  $  9056083179     $     3534144  $   102713472  $    81232135  $    77244588  $      49      $       0      $      97      $           0  $              $0.555772      $3534144.000000      $6.560541 $5.188480 $4.933786 $     1.26  $     1.05  
65123 $  3007   $ 20293027800  $  9097428404     $     3183171  $   328373711  $   393665501  $    19474660  $       0      $       0      $      97      $           0  $              $2.230633      $3183171.000000      $20.973969 $25.144304 $1.243890 $     0.83  $    20.21  
65125 $  4009   $  5030480508  $  9056589375     $     3554054  $   102697920  $    81207708  $    77232688  $      49      $       0      $      97      $           0  $              $0.555450      $3554054.000000      $6.559548 $5.186920 $4.933026 $     1.26  $     1.05  
65123 $  4009   $ 20181433277  $  9091546645     $     3079047  $   326866758  $   395187622  $    18773421  $       0      $       0      $      97      $           0  $              $2.219802      $3079047.000000      $20.877716 $25.241524 $1.199101 $     0.83  $    21.05  
65125 $  5012   $  5033127054  $  9057047099     $     3534947  $   102708233  $    81239715  $    77280747  $      49      $       0      $      97      $           0  $              $0.555714      $3534947.000000      $6.553666 $5.183790 $4.931174 $     1.26  $     1.05  
65123 $  5011   $ 20324522392  $  9091805555     $     2884184  $   329005167  $   396907481  $    18136588  $       0      $       0      $      97      $           0  $              $2.235477      $2884184.000000      $21.014301 $25.351376 $1.158425 $     0.83  $    21.88  
65125 $  6015   $  5032627765  $  9056668241     $     3545016  $   102720787  $    81229573  $    77232057  $      49      $       0      $      97      $           0  $              $0.555682      $3545016.000000      $6.554467 $5.183144 $4.928067 $     1.26  $     1.05  
65123 $  6014   $ 20250187513  $  9096940106     $     3278783  $   327685662  $   393016703  $    20026333  $       0      $       0      $      97      $           0  $              $2.226044      $3278783.000000      $20.909155 $25.077835 $1.277852 $     0.83  $    19.62  
65125 $  7018   $  5031369327  $  9057176035     $     3546366  $   102706347  $    81212825  $    77245802  $      49      $       0      $      97      $           0  $              $0.555512      $3546366.000000      $6.553545 $5.182075 $4.928945 $     1.26  $     1.05  
65123 $  7017   $ 20249625022  $  9090818526     $     3011093  $   328040190  $   395876557  $    18455080  $       0      $       0      $      97      $           0  $              $2.227481      $3011093.000000      $20.931776 $25.260319 $1.177592 $     0.83  $    21.45  
65123 $  7305   $  6290275601  $  2698449164     $      600654  $   101538169  $   120770896  $     3763771  $       0      $       0      $      97      $           0  $              $2.331071      $600654.000000      $22.564037 $26.837976 $0.836394 $     0.84  $    32.09  
65125 $  7307   $   905836923  $  1575498524     $      667477  $    18696321  $    14429735  $    13741352  $      12      $       0      $      97      $           0  $              $0.574953      $667477.000000      $4.140361 $3.195512 $3.043067 $     1.30  $     1.05  
65123 $  8128   $ 18489220269  $  7613682103     $       76798  $   299737717  $   369088224  $      632225  $       0      $       0      $      97      $           0  $              $2.428420      $76798.000000      $23.308887 $28.701880 $0.049165 $     0.81  $   583.79  
65123 $  8131   $     3510756  $     1411554     $           8  $       55214  $       57038  $          70  $       0      $       0      $      97      $           0  $              $2.487157      $8.000000      $1.177899 $1.216811 $0.001493 $     0.97  $   814.83  
65123 $  9134   $ 20422261442  $  8978505986     $     2634216  $   330329199  $   396907093  $    16197340  $      47      $       0      $      97      $           0  $              $2.274572      $2634216.000000      $21.077835 $25.326077 $1.033529 $     0.83  $    24.50  
65143 $  1003   $  4069259030  $  7364301918     $     2900462  $    82131589  $    65010777  $    61802985  $       0      $       0      $      97      $           0  $              $0.552565      $2900462.000000      $5.240700 $4.148245 $3.943560 $     1.26  $     1.05  
65143 $  2005   $  4998619905  $  8954785120     $     3505893  $   102149784  $    80738271  $    76763000  $      48      $       0      $      97      $           0  $              $0.558207      $3505893.000000      $6.524537 $5.156936 $4.903026 $     1.27  $     1.05  
65123 $ 10136   $ 19272268755  $  8707372091     $     2894303  $   311692008  $   378411988  $    17747370  $       0      $       0      $      97      $           0  $              $2.213328      $2894303.000000      $19.908470 $24.170029 $1.133565 $     0.82  $    21.32  
65143 $  3007   $  5024315512  $  9033851673     $     3566906  $   102650760  $    81201666  $    77157434  $      49      $       0      $      97      $           0  $              $0.556165      $3566906.000000      $6.556536 $5.186533 $4.928219 $     1.26  $     1.05  
65123 $ 11138   $ 20114869063  $  9066493239     $     3250883  $   324972351  $   388111910  $    20010805  $       0      $       0      $      97      $           0  $              $2.218594      $3250883.000000      $20.756718 $24.789583 $1.278135 $     0.84  $    19.40  
