PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
65306 $  1003   $  5086961392  $  7788380733     $    10945676  $   139287837  $   141035346  $   130639954  $      49      $       0      $      97      $           0  $              $0.653147      $10945676.000000      $8.887758 $8.999264 $8.335949 $     0.99  $     1.08  
65304 $  1003   $ 11696956189  $  8735036793     $     6445376  $   189743240  $   222085619  $    35841550  $       0      $       0      $      97      $           0  $              $1.339085      $6445376.000000      $12.107245 $14.170966 $2.286998 $     0.85  $     6.20  
65306 $  2005   $  5709604477  $  9118888820     $    14519620  $   178778461  $   178829008  $   173818497  $      50      $       0      $      97      $           0  $              $0.626129      $14519620.000000      $11.418983 $11.422212 $11.102180 $     1.00  $     1.03  
65304 $  2005   $  9913943862  $  9099056621     $     7269265  $   160024724  $   179804103  $    41705357  $       0      $       0      $      97      $           0  $              $1.089557      $7269265.000000      $10.221140 $11.484493 $2.663815 $     0.89  $     4.31  
65306 $  3007   $  5714907555  $  9119464690     $    14496140  $   179526129  $   179579638  $   174601680  $      50      $       0      $      97      $           0  $              $0.626671      $14496140.000000      $11.466739 $11.470156 $11.152204 $     1.00  $     1.03  
65304 $  3007   $ 10283891611  $  9091576003     $     6876490  $   166394343  $   192917478  $    39024114  $       0      $       0      $      97      $           0  $              $1.131145      $6876490.000000      $10.627981 $12.322074 $2.492558 $     0.86  $     4.94  
65306 $  4009   $  5715653476  $  9118954219     $    14496313  $   178438499  $   178489175  $   173502264  $      50      $       0      $      97      $           0  $              $0.626788      $14496313.000000      $11.397269 $11.400506 $11.081982 $     1.00  $     1.03  
65304 $  4009   $  9958433129  $  9100113130     $     7287112  $   160835957  $   181274647  $    41296994  $       0      $       0      $      97      $           0  $              $1.094320      $7287112.000000      $10.272955 $11.578420 $2.637732 $     0.89  $     4.39  
65306 $  5011   $  5759011245  $  9118714747     $    14470400  $   178678138  $   178730265  $   173732636  $      50      $       0      $      97      $           0  $              $0.631560      $14470400.000000      $11.412576 $11.415906 $11.096696 $     1.00  $     1.03  
65304 $  5011   $ 10105355751  $  9099949428     $     7160708  $   163150134  $   184493602  $    41159849  $       0      $       0      $      97      $           0  $              $1.110485      $7160708.000000      $10.420767 $11.784022 $2.628972 $     0.88  $     4.48  
