PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
 6148 $  1003   $ 12762089053  $  8791052647     $     2550212  $   272133407  $   311632143  $   126159678  $      48      $       0      $      97      $           0  $              $1.451714      $2550212.000000      $17.364445 $19.884802 $8.050069 $     0.87  $     2.47  
 6146 $  1003   $  3147535455  $  8755992712     $    10100830  $   336106577  $   330796939  $    18003407  $       0      $       0      $      97      $           0  $              $0.359472      $10100830.000000      $21.446482 $21.107681 $1.148772 $     1.02  $    18.37  
 6148 $  2005   $ 14377670846  $  9120314107     $     1085604  $   310232353  $   323195806  $   192969268  $      50      $       0      $      97      $           0  $              $1.576445      $1085604.000000      $19.815241 $20.643246 $12.325382 $     0.96  $     1.67  
 6146 $  2005   $  3103232633  $  9102361285     $    10668754  $   353529746  $   347911550  $    24467734  $       0      $       0      $      97      $           0  $              $0.340926      $10668754.000000      $22.580744 $22.221895 $1.562809 $     1.02  $    14.22  
 6148 $  3007   $ 13891617919  $  9117488988     $      598921  $   347574063  $   309014080  $   216386182  $      49      $       0      $      97      $           0  $              $1.523623      $598921.000000      $22.200338 $19.737427 $13.821074 $     1.12  $     1.43  
 6146 $  3007   $  3056326000  $  9097089683     $    10718962  $   348094601  $   342629688  $    22727577  $       0      $       0      $      97      $           0  $              $0.335967      $10718962.000000      $22.233587 $21.884531 $1.451662 $     1.02  $    15.08  
 6148 $  4009   $ 14355858423  $  9114650795     $      664564  $   601776480  $   313310043  $   204830497  $      49      $       0      $      97      $           0  $              $1.575031      $664564.000000      $38.436825 $20.011820 $13.082986 $     1.92  $     1.53  
 6146 $  4009   $  3020856274  $  9110052673     $     8103484  $   308687749  $   304608633  $    23246673  $       0      $       0      $      97      $           0  $              $0.331596      $8103484.000000      $19.716583 $19.456041 $1.484817 $     1.01  $    13.10  
 6146 $  4986   $  2939587208  $  8923003235     $     9373968  $   373724848  $   370326476  $    22356540  $       0      $       0      $      97      $           0  $              $0.329439      $9373968.000000      $24.481464 $24.258846 $1.464502 $     1.01  $    16.56  
 6148 $  4986   $ 13929947159  $  8258471007     $     1607585  $   613251478  $   300697676  $   118074918  $      47      $       0      $      97      $           0  $              $1.686746      $1607585.000000      $40.172050 $19.697697 $7.734693 $     2.04  $     2.55  
 6146 $  5071   $   281269213  $   803065180     $      981711  $    35465813  $    35362181  $       12586  $       0      $       0      $      97      $           0  $              $0.350245      $981711.000000      $26.703671 $26.625641 $0.009477 $     1.00  $  2809.64  
 6146 $  5073   $      529911  $     1539647     $        1910  $       67012  $       66622  $           9  $       0      $       0      $      97      $           0  $              $0.344177      $1910.000000      $2.144384 $2.131904 $0.000288 $     1.01  $  7402.44  
 6146 $  6075   $  2342866621  $  6881826036     $     7265606  $   297421119  $   295030222  $    17289853  $      47      $       0      $      97      $           0  $              $0.340443      $7265606.000000      $18.996958 $18.844244 $1.104342 $     1.01  $    17.06  
 6181 $  1002   $ 13816535801  $  8843139287     $     3967065  $   302778182  $   342874505  $    79251202  $       0      $       0      $      97      $           0  $              $1.562402      $3967065.000000      $19.339125 $21.900167 $5.061953 $     0.88  $     4.33  
 6181 $  1502   $  7365913543  $  4457917247     $      810184  $   157991866  $   166506187  $    84668823  $      24      $       0      $      97      $           0  $              $1.652322      $810184.000000      $20.222960 $21.312792 $10.837609 $     0.95  $     1.97  
 6146 $  6575   $  1414877320  $  4176109034     $     3561499  $   142150683  $   140709972  $    10566288  $       0      $       0      $      97      $           0  $              $0.338803      $3561499.000000      $18.195288 $18.010876 $1.352485 $     1.01  $    13.32  
