PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
 8589 $  1004   $  1477546214  $  3763895112     $      313284  $      601493  $      611718  $      531650  $      40      $       0      $      97      $           0  $              $0.392558      $313284.000000      $0.038342 $0.038994 $0.033890 $     0.98  $     1.15  
 8587 $  1004   $ 12938221531  $  9024342285     $     3153283  $   273742766  $   314138998  $    86561703  $       0      $       0      $      97      $           0  $              $1.433702      $3153283.000000      $17.449738 $20.024797 $5.517878 $     0.87  $     3.63  
 8589 $  2007   $   497799073  $  1443261025     $      439809  $       31282  $       16900  $       11696  $      41      $       0      $      97      $           0  $              $0.344913      $439809.000000      $0.001996 $0.001078 $0.000746 $     1.85  $     1.44  
 8587 $  2007   $ 15411643060  $  9374185960     $     1780343  $   333248930  $   348192333  $   147946550  $       0      $       0      $      97      $           0  $              $1.644051      $1780343.000000      $21.264139 $22.217655 $9.440258 $     0.96  $     2.35  
 8589 $  3009   $   524501435  $  1497850803     $      426580  $       30912  $       21106  $       16405  $      38      $       0      $      97      $           0  $              $0.350169      $426580.000000      $0.001974 $0.001348 $0.001048 $     1.46  $     1.29  
 8587 $  3009   $ 15008059670  $  9417770380     $      696581  $   403344149  $   333291788  $   210798175  $       0      $       0      $      97      $           0  $              $1.593590      $696581.000000      $25.762501 $21.288097 $13.464155 $     1.21  $     1.58  
 8589 $  4011   $  2830014282  $  9090748640     $     2114124  $   157467828  $   173502982  $    99888185  $      47      $       0      $      97      $           0  $              $0.311307      $2114124.000000      $10.057825 $11.082026 $6.380084 $     0.91  $     1.74  
 8587 $  4011   $ 12121674118  $  9093484172     $      524522  $   518103755  $   262708936  $   169042100  $       0      $       0      $      97      $           0  $              $1.333007      $524522.000000      $33.092453 $16.779812 $10.797100 $     1.97  $     1.55  
 8589 $  5013   $   580738694  $  9102286066     $    11880072  $   155221550  $   218757009  $    83155013  $      48      $       0      $      97      $           0  $              $0.063801      $11880072.000000      $9.914351 $13.972504 $5.311298 $     0.71  $     2.63  
 8587 $  5013   $ 14076926018  $  9101314404     $     1325647  $   611183054  $   300383670  $   128833625  $       0      $       0      $      97      $           0  $              $1.546692      $1325647.000000      $39.037640 $19.186184 $8.228894 $     2.03  $     2.33  
 8589 $  5114   $   120603403  $   975458742     $     4902830  $    32233162  $    46206754  $     3484195  $       3      $       0      $      97      $           0  $              $0.123638      $4902830.000000      $20.424974 $29.279526 $2.207807 $     0.70  $    13.26  
 8587 $  5114   $        1992  $       82969     $       85950  $         170  $         426  $          79  $       0      $       0      $      97      $           0  $              $0.024009      $85950.000000      $0.000108 $0.000270 $0.000050 $     0.40  $     5.39  
 8589 $  6108   $  1280417582  $  9393455228     $    43192830  $   292654079  $   419535512  $    34756796  $      32      $       0      $      97      $           0  $              $0.136310      $43192832.000000      $18.842918 $27.012348 $2.237862 $     0.70  $    12.07  
 8589 $  6109   $     1015542  $     5028484     $       20620  $      128190  $      184011  $        8116  $       0      $       0      $      97      $           0  $              $0.201958      $20620.000000      $8.204160 $11.776704 $0.519424 $     0.70  $    22.67  
 8621 $   830   $ 10908196522  $  7291073761     $     2992914  $   239291233  $   271486282  $    68431944  $       0      $       0      $      97      $           0  $              $1.496103      $2992914.000000      $18.451372 $20.933882 $5.276680 $     0.88  $     3.97  
 8589 $  6939   $  1079792728  $  6607517752     $    19433014  $   135214612  $   193135566  $    33632621  $      40      $       0      $      97      $           0  $              $0.163419      $19433014.000000      $10.426187 $14.892381 $2.593359 $     0.70  $     5.74  
