PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
10603 $   685   $  5671468671  $  5984681626     $     1458234  $   115192440  $   139560078  $    44081121  $      29      $       0      $      97      $           0  $              $0.947664      $1458234.000000      $10.762506 $13.039190 $4.118528 $     0.83  $     3.17  
10601 $   685   $  2249175983  $  4631626613     $     1557132  $    60827853  $    40563026  $    39353232  $       0      $       0      $      97      $           0  $              $0.485613      $1557132.000000      $5.683186 $3.789830 $3.676798 $     1.50  $     1.03  
10603 $  1143   $  7476982447  $  4312034960     $     1328045  $   162062319  $   178641411  $    56068737  $      17      $       0      $      97      $           0  $              $1.733980      $1328045.000000      $22.646263 $24.962992 $7.834932 $     0.91  $     3.19  
10603 $  1145   $     9010217  $     5415105     $         131  $      194727  $      205617  $       94343  $       0      $       0      $      97      $           0  $              $1.663904      $131.000000      $6.231264 $6.579744 $3.018976 $     0.95  $     2.18  
10603 $  1645   $  5368388272  $  4625553140     $      623450  $   115495528  $   122066193  $    54184550  $      22      $       0      $      97      $           0  $              $1.160594      $623450.000000      $14.783427 $15.624473 $6.935623 $     0.95  $     2.25  
10629 $   500   $  1482514620  $  2976805356     $     1585073  $    60823804  $    40583268  $    39421844  $       0      $       0      $      97      $           0  $              $0.498022      $1585073.000000      $7.785447 $5.194658 $5.045996 $     1.50  $     1.03  
10603 $  2284   $ 10224184113  $  6071780490     $     1121138  $   221995222  $   229649327  $   104284987  $      23      $       0      $      97      $           0  $              $1.683886      $1121138.000000      $22.234262 $23.000872 $10.444818 $     0.97  $     2.20  
10603 $  2286   $     8392716  $     4964100     $         254  $      185050  $      192005  $      119457  $       0      $       0      $      97      $           0  $              $1.690682      $254.000000      $5.921600 $6.144160 $3.822624 $     0.96  $     1.61  
10603 $  2764   $  4439739921  $  4387932086     $      348830  $    97860494  $   100579442  $    56474790  $      21      $       0      $      97      $           0  $              $1.011807      $348830.000000      $13.102660 $13.466703 $7.561479 $     0.97  $     1.78  
10634 $   478   $  1485809344  $  3241485648     $     1528642  $    60834763  $    40580768  $    39612668  $       0      $       0      $      97      $           0  $              $0.458373      $1528642.000000      $8.145241 $5.433408 $5.303788 $     1.50  $     1.02  
10603 $  3370   $  9810160163  $  5744840405     $     1182139  $   283805209  $   217023515  $    88406922  $      23      $       0      $      97      $           0  $              $1.707647      $1182139.000000      $29.972828 $22.919975 $9.336704 $     1.31  $     2.45  
10603 $  3372   $     9898558  $     5650411     $        1777  $      366420  $      221033  $       50934  $       0      $       0      $      97      $           0  $              $1.751830      $1777.000000      $11.725440 $7.073056 $1.629888 $     1.66  $     4.34  
10603 $  3819   $  4694028256  $  4110832640     $      605400  $   191792380  $   102950217  $    34481797  $      20      $       0      $      97      $           0  $              $1.141868      $605400.000000      $27.460207 $14.740076 $4.936991 $     1.86  $     2.99  
10639 $   447   $  1469075257  $  2961024577     $     1515542  $    60821961  $    40559591  $    39434795  $       0      $       0      $      97      $           0  $              $0.496137      $1515542.000000      $8.708289 $5.807190 $5.646145 $     1.50  $     1.03  
10603 $  4462   $ 10579893928  $  6109424485     $     1950289  $   465474019  $   230354993  $    50391884  $      26      $       0      $      97      $           0  $              $1.731733      $1950289.000000      $46.330227 $22.928024 $5.015677 $     2.02  $     4.57  
10603 $  4464   $     9816249  $     5485753     $        1660  $      432228  $      208994  $       41619  $       0      $       0      $      97      $           0  $              $1.789408      $1660.000000      $13.831296 $6.687808 $1.331808 $     2.07  $     5.02  
10603 $  4922   $  4655724163  $  4210875475     $      654273  $   204850000  $   100996315  $    36677219  $      20      $       0      $      97      $           0  $              $1.105643      $654273.000000      $28.625328 $14.113022 $5.125201 $     2.03  $     2.75  
10644 $   458   $  1461524002  $  3030964299     $     1533252  $    60806080  $    40629472  $    39503244  $       0      $       0      $      97      $           0  $              $0.482198      $1533252.000000      $8.496920 $5.677481 $5.520104 $     1.50  $     1.03  
10603 $  5307   $  6400472224  $  3549792047     $     1464484  $   282974274  $   137421597  $    18372449  $      14      $       0      $      97      $           0  $              $1.803056      $1464484.000000      $47.039879 $22.844110 $3.054121 $     2.06  $     7.48  
