PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
14564 $  1003   $  3075427454  $  8588973282     $     4446633  $   461159780  $    43642196  $    25825187  $      49      $       0      $      97      $           0  $              $0.358067      $4446633.000000      $29.425947 $2.784746 $1.647868 $    10.57  $     1.69  
14562 $  1003   $ 15228554803  $  8004263689     $     4093145  $   246246900  $   284824578  $    60280842  $       0      $       0      $      97      $           0  $              $1.902555      $4093145.000000      $15.712664 $18.174250 $3.846434 $     0.86  $     4.72  
14564 $  2005   $  3063428329  $  9087968085     $     1930955  $   478463557  $    44641718  $    32725038  $      50      $       0      $      97      $           0  $              $0.337086      $1930955.000000      $30.560547 $2.851367 $2.090222 $    10.72  $     1.36  
14562 $  2005   $ 17806944547  $  9091127491     $      558470  $   287749654  $   303141512  $   192550293  $       0      $       0      $      97      $           0  $              $1.958717      $558470.000000      $18.379221 $19.362331 $12.298621 $     0.95  $     1.57  
14564 $  3008   $  2976508188  $  9085925353     $     2377037  $   464882460  $    43486829  $    28698071  $      50      $       0      $      97      $           0  $              $0.327596      $2377037.000000      $29.663486 $2.774832 $1.831183 $    10.69  $     1.52  
14562 $  3007   $ 17506275493  $  9091106045     $      391532  $   292128545  $   295124527  $   221383707  $       0      $       0      $      97      $           0  $              $1.925649      $391532.000000      $18.658909 $18.850267 $14.140277 $     0.99  $     1.33  
14564 $  4011   $  2970780767  $  9098857228     $     1778533  $   463976373  $    42970820  $    29706254  $      51      $       0      $      97      $           0  $              $0.326500      $1778533.000000      $29.605671 $2.741907 $1.895514 $    10.80  $     1.45  
14562 $  4009   $ 17665424501  $  9100260496     $      422848  $   463032530  $   291085972  $   217868027  $       0      $       0      $      97      $           0  $              $1.941200      $422848.000000      $29.574932 $18.592318 $13.915723 $     1.59  $     1.34  
14562 $  4803   $ 14343685138  $  7307024824     $      796829  $   446910685  $   234228986  $   150279115  $       0      $       0      $      97      $           0  $              $1.962999      $796829.000000      $36.023029 $18.879919 $12.113178 $     1.91  $     1.56  
14564 $  4805   $  1929026953  $  5833894036     $     1014934  $   271828701  $    25106657  $    17210480  $      38      $       0      $      97      $           0  $              $0.330659      $1014934.000000      $21.910625 $2.023710 $1.387243 $    10.83  $     1.46  
14562 $  5161   $  6965691744  $  3357224248     $      278254  $   218659426  $   113394641  $    71172499  $       0      $       0      $      97      $           0  $              $2.074837      $278254.000000      $39.089954 $20.271667 $12.723575 $     1.93  $     1.59  
14562 $  5163   $     3199052  $     1440202     $          13  $      100565  $       52164  $       50602  $       0      $       0      $      97      $           0  $              $2.221252      $13.000000      $3.218080 $1.669248 $1.619264 $     1.93  $     1.03  
14562 $  6165   $ 17375128481  $  9036717724     $      259436  $   545376297  $   279165604  $   259704881  $      50      $       0      $      97      $           0  $              $1.922725      $259436.000000      $34.834415 $17.830936 $16.587936 $     1.95  $     1.07  
14590 $  1002   $  2658478992  $  8544918134     $    10818102  $   408433483  $    38174930  $     9687251  $       0      $       0      $      97      $           0  $              $0.311118      $10818102.000000      $26.087566 $2.438319 $0.618747 $    10.70  $     3.94  
14590 $  1175   $   512718705  $  1476643925     $      909794  $    80075490  $     7383694  $     4351291  $       7      $       0      $      97      $           0  $              $0.347219      $909794.000000      $29.623302 $2.731540 $1.609726 $    10.84  $     1.70  
14562 $  6338   $  1509527584  $  1166933330     $       49401  $    40143885  $    20171398  $    18246205  $       0      $       0      $      97      $           0  $              $1.293585      $49401.000000      $14.850917 $7.462251 $6.750041 $     1.99  $     1.11  
