PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
38785 $  1003   $  3377147129  $  8927045527     $      279109  $   368989557  $   366317547  $      709761  $      32      $       0      $      97      $           0  $              $0.378305      $279109.000000      $23.544699 $23.374199 $0.045289 $     1.01  $   516.11  
38785 $  2006   $  3680918777  $  9807946809     $       74877  $   412871197  $   409871517  $       74858  $      34      $       0      $      97      $           0  $              $0.375300      $74877.000000      $26.344723 $26.153316 $0.004777 $     1.01  $  5475.32  
38785 $  3009   $  3405561232  $  9201970641     $      219826  $   390833141  $   387919982  $      219714  $      33      $       0      $      97      $           0  $              $0.370090      $219826.000000      $24.938507 $24.752621 $0.014020 $     1.01  $  1765.57  
38785 $  4012   $  3227502191  $  9204424128     $      110004  $   406938935  $   404188009  $      109990  $      32      $       0      $      97      $           0  $              $0.350647      $110004.000000      $25.966194 $25.790661 $0.007018 $     1.01  $  3674.77  
38785 $  5015   $  3246564609  $  9250109844     $      114151  $   409314363  $   406576476  $      114125  $      32      $       0      $      97      $           0  $              $0.350976      $114151.000000      $26.117765 $25.943066 $0.007282 $     1.01  $  3562.55  
38785 $  6018   $  3601092138  $  9818471877     $      439445  $   419583530  $   416635905  $      714136  $      34      $       0      $      97      $           0  $              $0.366767      $439445.000000      $26.773026 $26.584944 $0.045568 $     1.01  $   583.41  
38785 $  7021   $  3457158556  $  9205381914     $      115875  $   387676287  $   384951212  $      115865  $      33      $       0      $      97      $           0  $              $0.375558      $115875.000000      $24.737072 $24.563187 $0.007393 $     1.01  $  3322.41  
38785 $  8024   $  3457216873  $  9205886522     $      119597  $   387749568  $   384959531  $      119581  $      33      $       0      $      97      $           0  $              $0.375544      $119597.000000      $24.741747 $24.563719 $0.007630 $     1.01  $  3219.24  
38785 $  9027   $  3268840915  $  9204017258     $      250576  $   402421677  $   399655784  $      250476  $      33      $       0      $      97      $           0  $              $0.355154      $250576.000000      $25.677952 $25.501465 $0.015983 $     1.01  $  1595.59  
38785 $ 10030   $  3455131955  $  9825458509     $      121941  $   435545856  $   432700655  $      121917  $      33      $       0      $      97      $           0  $              $0.351651      $121941.000000      $27.791559 $27.610010 $0.007779 $     1.01  $  3549.14  
38785 $ 10830   $  2532143147  $  7196975912     $       89692  $   316753036  $   314658707  $       88739  $      25      $       0      $      97      $           0  $              $0.351834      $89692.000000      $25.340242 $25.172697 $0.007099 $     1.01  $  3545.89  
