PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
29654 $  1004   $  3385318367  $  8821299968     $    40751446  $   237663927  $   198235697  $    34576117  $      30      $       0      $      97      $           0  $              $0.383766      $40751448.000000      $15.149891 $12.636539 $2.204055 $     1.20  $     5.73  
29654 $  2007   $  3614582584  $  9499103256     $    47514057  $   278064551  $   232050053  $    41131008  $      33      $       0      $      97      $           0  $              $0.380518      $47514056.000000      $17.742903 $14.806783 $2.624511 $     1.20  $     5.64  
29654 $  3010   $  3624550422  $  9462245492     $    46121125  $   271314326  $   226240239  $    41006810  $      32      $       0      $      97      $           0  $              $0.383054      $46121124.000000      $17.312181 $14.436068 $2.616586 $     1.20  $     5.52  
29654 $  4013   $  3572451586  $  9169266037     $    42480097  $   253356968  $   210722609  $    40039685  $      31      $       0      $      97      $           0  $              $0.389612      $42480096.000000      $16.166346 $13.445910 $2.554875 $     1.20  $     5.26  
29654 $  5016   $  3419307160  $  9170434842     $    46947764  $   270648017  $   227029553  $    38488060  $      31      $       0      $      97      $           0  $              $0.372862      $46947764.000000      $17.269665 $14.486432 $2.455868 $     1.19  $     5.90  
29654 $  6019   $  3497751196  $  9168125235     $    47154068  $   275501350  $   229731379  $    40322970  $      31      $       0      $      97      $           0  $              $0.381512      $47154068.000000      $17.579348 $14.658832 $2.572951 $     1.20  $     5.70  
29654 $  7022   $  3632819330  $  9467489881     $    45688343  $   269305368  $   224519052  $    40973160  $      32      $       0      $      97      $           0  $              $0.383715      $45688344.000000      $17.183992 $14.326241 $2.614439 $     1.20  $     5.48  
29654 $  8026   $  3601708318  $  9315717854     $    44035322  $   261120528  $   217441727  $    40476468  $      32      $       0      $      97      $           0  $              $0.386627      $44035320.000000      $16.645134 $13.860827 $2.580173 $     1.20  $     5.37  
29654 $  9029   $  3433257455  $  9169993442     $    46032914  $   266349396  $   223339687  $    38429853  $      32      $       0      $      97      $           0  $              $0.374401      $46032912.000000      $16.995375 $14.250986 $2.452154 $     1.19  $     5.81  
29654 $ 10032   $  3492153025  $  9167758085     $    47513907  $   277191982  $   231180569  $    40325300  $      31      $       0      $      97      $           0  $              $0.380917      $47513908.000000      $17.687223 $14.751303 $2.573100 $     1.20  $     5.73  
