PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
47542 $  1003   $  1472461380  $  4699194595     $    11306377  $    86761603  $    64098387  $     7131387  $      40      $       0      $      97      $           0  $              $0.313343      $11306377.000000      $5.536134 $4.090027 $0.455044 $     1.35  $     8.99  
47540 $  1003   $  3375476578  $  9090153619     $    12106077  $   370920383  $   367153407  $     3733217  $       0      $       0      $      97      $           0  $              $0.371333      $12106077.000000      $23.667900 $23.427536 $0.238211 $     1.01  $    98.35  
47542 $  2006   $   988167920  $  3925106533     $    14847419  $   106942679  $    85306938  $     7308679  $      40      $       0      $      97      $           0  $              $0.251756      $14847419.000000      $6.823860 $5.443314 $0.466356 $     1.25  $    11.67  
47540 $  2006   $  3470838555  $  9363900050     $    12654801  $   391809568  $   387867407  $     1784426  $       0      $       0      $      97      $           0  $              $0.370662      $12654801.000000      $25.000811 $24.749266 $0.113862 $     1.01  $   217.36  
47542 $  3009   $  1729275531  $  5512089060     $    13415834  $   105311810  $    79470046  $    10895898  $      41      $       0      $      97      $           0  $              $0.313724      $13415834.000000      $6.719796 $5.070870 $0.695252 $     1.33  $     7.29  
47540 $  3009   $  3411053352  $  9380025718     $    12522465  $   391733172  $   388020522  $     2954745  $       0      $       0      $      97      $           0  $              $0.363651      $12522465.000000      $24.995935 $24.759035 $0.188538 $     1.01  $   131.32  
47542 $  4011   $  1438059328  $  4807022959     $    13367923  $   102715851  $    80845133  $    10834953  $      40      $       0      $      97      $           0  $              $0.299158      $13367923.000000      $6.560693 $5.163761 $0.692053 $     1.27  $     7.46  
47540 $  4012   $  3201853269  $  9323769951     $    10835938  $   404723070  $   402592747  $     3303965  $       0      $       0      $      97      $           0  $              $0.343408      $10835938.000000      $25.824802 $25.688868 $0.210821 $     1.01  $   121.85  
47542 $  5013   $  1276362117  $  4628361531     $    14815856  $   109207653  $    84496900  $     7383292  $      39      $       0      $      97      $           0  $              $0.275770      $14815856.000000      $6.975339 $5.397007 $0.471588 $     1.29  $    11.44  
47540 $  5014   $  3274957871  $  9441560666     $    11035767  $   413735519  $   411751069  $     2394236  $       0      $       0      $      97      $           0  $              $0.346866      $11035767.000000      $26.426220 $26.299469 $0.152925 $     1.00  $   171.98  
47542 $  6016   $  1725889438  $  5499990972     $    13339928  $   104238955  $    79549357  $    10874376  $      41      $       0      $      97      $           0  $              $0.313799      $13339928.000000      $6.651339 $5.075931 $0.693878 $     1.31  $     7.32  
47540 $  6017   $  3329550876  $  9341980732     $    11737355  $   394739370  $   391698502  $     3649017  $       0      $       0      $      97      $           0  $              $0.356407      $11737355.000000      $25.187756 $24.993723 $0.232839 $     1.01  $   107.34  
47540 $  6476   $  1604080176  $  4288769812     $     5737355  $   180915819  $   179241911  $      383018  $       0      $       0      $      97      $           0  $              $0.374019      $5737355.000000      $25.225737 $24.992334 $0.053406 $     1.01  $   467.97  
47542 $  6475   $   122683887  $   921578341     $     5950857  $    39005984  $    32667038  $     1334201  $      17      $       0      $      97      $           0  $              $0.133124      $5950857.000000      $5.438743 $4.554881 $0.186032 $     1.19  $    24.48  
47540 $  7103   $  2239097367  $  5983560237     $     8050747  $   252385494  $   250164730  $       81733  $       0      $       0      $      97      $           0  $              $0.374208      $8050747.000000      $25.761837 $25.535156 $0.008343 $     1.01  $  3060.76  
47540 $  7106   $      531744  $     1432106     $        1818  $       59545  $       59405  $          11  $       0      $       0      $      97      $           0  $              $0.371302      $1818.000000      $1.270293 $1.267307 $0.000235 $     1.00  $  5400.45  
47540 $  8109   $  3417191663  $  9242218804     $    12426301  $   385824436  $   381901113  $     3285385  $      40      $       0      $      97      $           0  $              $0.369737      $12426301.000000      $24.618908 $24.368567 $0.209636 $     1.01  $   116.24  
47560 $  1003   $  1472100943  $  4707210494     $    11046767  $    86658772  $    63351567  $     7135910  $       0      $       0      $      97      $           0  $              $0.312733      $11046767.000000      $5.529572 $4.042373 $0.455332 $     1.37  $     8.88  
47560 $  2006   $  1051514550  $  4054944033     $    14848744  $   108010446  $    83747017  $     8088777  $      39      $       0      $      97      $           0  $              $0.259317      $14848744.000000      $6.891993 $5.343778 $0.516133 $     1.29  $    10.35  
47540 $  9112   $  3285540151  $  9355932824     $    11201404  $   404178807  $   401728776  $     2566421  $       0      $       0      $      97      $           0  $              $0.351172      $11201404.000000      $25.790073 $25.633739 $0.163760 $     1.01  $   156.53  
47560 $  3008   $  1669378880  $  5396771762     $    13733526  $   106865600  $    79271826  $    10195932  $      40      $       0      $      97      $           0  $              $0.309329      $13733526.000000      $6.825747 $5.063270 $0.651237 $     1.35  $     7.77  
47540 $ 10114   $  3231717381  $  9394005335     $    10957977  $   408405710  $   406335449  $     3094658  $       0      $       0      $      97      $           0  $              $0.344019      $10957977.000000      $26.085793 $25.953562 $0.197663 $     1.01  $   131.30  
47560 $  3892   $  1119811225  $  3948669301     $    12319029  $    91944484  $    71879010  $     8815662  $      35      $       0      $      97      $           0  $              $0.283592      $12319029.000000      $6.656614 $5.203910 $0.638238 $     1.28  $     8.15  
47540 $ 10998   $  2837931705  $  8229172838     $     9592417  $   357776275  $   356002272  $     2557952  $       0      $       0      $      97      $           0  $              $0.344862      $9592417.000000      $25.902355 $25.773920 $0.185191 $     1.00  $   139.17  
