PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
49835 $  1003   $  1265157586  $  7003166297     $    72819096  $   246208717  $   245072672  $      605527  $      33      $       0      $      97      $           0  $              $0.180655      $72819096.000000      $15.710227 $15.637738 $0.038638 $     1.00  $   404.73  
49833 $  1003   $  4903585757  $  2299044822     $      395074  $      615989  $      654931  $        4455  $       0      $       0      $      97      $           0  $              $2.132879      $395074.000000      $0.039305 $0.041790 $0.000284 $     0.94  $   147.01  
49835 $  2006   $  1230269863  $  6620192938     $    67786221  $   228158708  $   227144967  $       96296  $      33      $       0      $      97      $           0  $              $0.185836      $67786224.000000      $14.558481 $14.493796 $0.006145 $     1.00  $  2358.82  
49833 $  2006   $  4974067637  $  2332518223     $      401081  $      625384  $      666050  $         873  $       0      $       0      $      97      $           0  $              $2.132488      $401081.000000      $0.039905 $0.042500 $0.000056 $     0.94  $   762.94  
49835 $  3009   $  1066040427  $  5862225046     $    61115265  $   206075147  $   205157178  $       90888  $      32      $       0      $      97      $           0  $              $0.181849      $61115264.000000      $13.149362 $13.090788 $0.005799 $     1.00  $  2257.25  
49833 $  3010   $  4903627693  $  2294394762     $      393468  $      615303  $      653767  $         761  $       0      $       0      $      97      $           0  $              $2.137220      $393468.000000      $0.039223 $0.041674 $0.000049 $     0.94  $   859.09  
49835 $  4012   $  1005756441  $  5459899728     $    56504293  $   189563857  $   188803387  $       87259  $      32      $       0      $      97      $           0  $              $0.184208      $56504292.000000      $12.095799 $12.047276 $0.005568 $     1.00  $  2163.71  
49833 $  4013   $  4952764304  $  2322234392     $      289405  $      620886  $      658700  $         369  $       0      $       0      $      97      $           0  $              $2.132758      $289405.000000      $0.039618 $0.042031 $0.000024 $     0.94  $  1785.09  
49835 $  5015   $  1212772783  $  6415311059     $    64053779  $   214773711  $   213880107  $       33410  $      32      $       0      $      97      $           0  $              $0.189043      $64053780.000000      $13.704405 $13.647385 $0.002132 $     1.00  $  6401.68  
49833 $  5016   $  5024034304  $  2349134911     $      335428  $      630035  $      668639  $         360  $       0      $       0      $      97      $           0  $              $2.138674      $335428.000000      $0.040202 $0.042665 $0.000023 $     0.94  $  1857.33  
49835 $  6019   $  1204320777  $  6813784565     $    72355192  $   244428779  $   243317856  $       96969  $      33      $       0      $      97      $           0  $              $0.176748      $72355192.000000      $15.581118 $15.510302 $0.006181 $     1.00  $  2509.23  
49833 $  6020   $  4976231742  $  2333351880     $      401212  $      625189  $      671143  $         654  $       0      $       0      $      97      $           0  $              $2.132654      $401212.000000      $0.039853 $0.042782 $0.000042 $     0.93  $  1026.21  
49835 $  7023   $  1159101528  $  6361606520     $    66223336  $   222890367  $   221893292  $       93220  $      32      $       0      $      97      $           0  $              $0.182203      $66223336.000000      $14.208151 $14.144592 $0.005942 $     1.00  $  2380.32  
49833 $  7024   $  4969591341  $  2328591293     $      396651  $      623848  $      661413  $         791  $       0      $       0      $      97      $           0  $              $2.134162      $396651.000000      $0.039767 $0.042162 $0.000050 $     0.94  $   836.17  
49835 $  8027   $  1149054630  $  6016807938     $    60273803  $   202893562  $   202024145  $       88155  $      31      $       0      $      97      $           0  $              $0.190974      $60273804.000000      $12.933455 $12.878033 $0.005619 $     1.00  $  2291.69  
49833 $  8028   $  5021863111  $  2352863990     $      394362  $      630561  $      666944  $         623  $       0      $       0      $      97      $           0  $              $2.134362      $394362.000000      $0.040195 $0.042514 $0.000040 $     0.95  $  1070.54  
49835 $  9030   $  1016114337  $  5494383439     $    56547945  $   190314051  $   189529684  $       90425  $      31      $       0      $      97      $           0  $              $0.184937      $56547944.000000      $12.143668 $12.093618 $0.005770 $     1.00  $  2095.99  
