PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
51649 $  1003   $ 14766822329  $  8841089436     $      108067  $  1864035537  $     6419817  $     4778958  $      46      $       0      $      97      $           0  $              $1.670249      $108067.000000      $118.941452 $0.409639 $0.304938 $   290.36  $     1.34  
51647 $  1003   $  6789830685  $  9122881721     $      127118  $    16606700  $    18455000  $      391356  $       0      $       0      $      97      $           0  $              $0.744264      $127118.000000      $1.059650 $1.177587 $0.024972 $     0.90  $    47.16  
51649 $  2005   $ 15333507288  $  9150657294     $       79508  $  1936489215  $     6312626  $     4821994  $      47      $       0      $      97      $           0  $              $1.675673      $79508.000000      $123.687935 $0.403202 $0.307992 $   306.76  $     1.31  
51647 $  2005   $  6857592667  $  9195702980     $      128909  $    16493174  $    18151160  $      297325  $       0      $       0      $      97      $           0  $              $0.745739      $128909.000000      $1.053456 $1.159356 $0.018991 $     0.91  $    61.05  
51649 $  3007   $ 15333791948  $  9150452357     $       79942  $  1936554981  $     6320833  $     4821620  $      47      $       0      $      97      $           0  $              $1.675741      $79942.000000      $123.692139 $0.403726 $0.307968 $   306.38  $     1.31  
51647 $  3007   $  6849715392  $  9194902273     $      130552  $    17055934  $    19146320  $      292938  $       0      $       0      $      97      $           0  $              $0.744947      $130552.000000      $1.089401 $1.222919 $0.018711 $     0.89  $    65.36  
51649 $  4009   $ 15331675321  $  9150681459     $       79799  $  1936234598  $     6315270  $     4823054  $      47      $       0      $      97      $           0  $              $1.675468      $79799.000000      $123.671669 $0.403371 $0.308059 $   306.60  $     1.31  
51647 $  4009   $  6854227666  $  9195444090     $      126893  $    16213127  $    17676878  $      295569  $       0      $       0      $      97      $           0  $              $0.745394      $126893.000000      $1.035569 $1.129062 $0.018879 $     0.92  $    59.81  
51649 $  5012   $ 15332029578  $  9149289184     $       80655  $  1936253532  $     6317490  $     4822767  $      47      $       0      $      97      $           0  $              $1.675762      $80655.000000      $123.549576 $0.403110 $0.307734 $   306.49  $     1.31  
51647 $  5012   $  6851747770  $  9194519674     $      130476  $    17149245  $    19298688  $      295422  $       0      $       0      $      97      $           0  $              $0.745199      $130476.000000      $1.094269 $1.231422 $0.018850 $     0.89  $    65.33  
51649 $  6015   $ 15334732760  $  9151075491     $       79218  $  1936635069  $     6311113  $     4823052  $      47      $       0      $      97      $           0  $              $1.675730      $79218.000000      $123.573921 $0.402703 $0.307752 $   306.86  $     1.31  
51647 $  6015   $  6864751382  $  9195458031     $      127022  $    16280438  $    17781084  $      292309  $       0      $       0      $      97      $           0  $              $0.746537      $127022.000000      $1.038832 $1.134586 $0.018652 $     0.92  $    60.83  
51649 $  7017   $ 15334658473  $  9150615229     $       78468  $  1936654435  $     6308835  $     4823723  $      47      $       0      $      97      $           0  $              $1.675806      $78468.000000      $123.698486 $0.402960 $0.308102 $   306.97  $     1.31  
51647 $  7018   $  6859981783  $  9195444518     $      129622  $    16774977  $    18628342  $      292150  $       0      $       0      $      97      $           0  $              $0.746020      $129622.000000      $1.070387 $1.188648 $0.018642 $     0.90  $    63.76  
51649 $  8019   $ 15335972282  $  9150197310     $       79675  $  1936820077  $     6307538  $     4827714  $      47      $       0      $      97      $           0  $              $1.676026      $79675.000000      $123.709068 $0.402877 $0.308357 $   307.06  $     1.31  
51647 $  8020   $  6854199725  $  9195145920     $      129054  $    16460312  $    18095362  $      295362  $       0      $       0      $      97      $           0  $              $0.745415      $129054.000000      $1.051357 $1.155792 $0.018865 $     0.91  $    61.27  
51649 $  9021   $ 15328232349  $  9148506198     $       79930  $  1935805836  $     6312581  $     4829337  $      47      $       0      $      97      $           0  $              $1.675490      $79930.000000      $123.644287 $0.403199 $0.308461 $   306.66  $     1.31  
51647 $  9022   $  6856782225  $  9194160825     $      125706  $    16017999  $    17319944  $      291615  $       0      $       0      $      97      $           0  $              $0.745776      $125706.000000      $1.023106 $1.106264 $0.018626 $     0.92  $    59.39  
51649 $ 10023   $ 15354151095  $  9155691294     $       76560  $  1941010817  $     6240708  $     4836077  $      47      $       0      $      97      $           0  $              $1.677006      $76560.000000      $123.976738 $0.398608 $0.308891 $   311.02  $     1.29  
51647 $ 10024   $  6852779343  $  9195747744     $      130153  $    16951264  $    18939636  $      273054  $       0      $       0      $      97      $           0  $              $0.745212      $130153.000000      $1.082716 $1.209717 $0.017441 $     0.90  $    69.36  
51649 $ 10479   $  7075794449  $  4220333973     $       38624  $   893632799  $     2889577  $     2132629  $      20      $       0      $      97      $           0  $              $1.676596      $38624.000000      $125.422142 $0.405555 $0.299316 $   309.26  $     1.35  
51647 $ 10480   $  2454887925  $  3379162735     $      113901  $     5768353  $     6396214  $      100902  $       0      $       0      $      97      $           0  $              $0.726478      $113901.000000      $0.809593 $0.897714 $0.014162 $     0.90  $    63.39  
51649 $ 11112   $ 10468899188  $  6229036535     $       49879  $  1325854847  $     4066188  $     2860410  $      23      $       0      $      97      $           0  $              $1.680661      $49879.000000      $134.051682 $0.411115 $0.289204 $   326.07  $     1.42  
