PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
51292 $  1003   $ 22218716355  $  8827085380     $     3964702  $   347679135  $   347690570  $     2835962  $      50      $       0      $      97      $           0  $              $2.517107      $3964702.000000      $22.184910 $22.185638 $0.180959 $     1.00  $   122.60  
51290 $  1003   $ 14615541126  $  8775785391     $       79154  $  1843888711  $     6454420  $     5007584  $       0      $       0      $      97      $           0  $              $1.665440      $79154.000000      $117.655914 $0.411847 $0.319527 $   285.68  $     1.29  
51292 $  2005   $ 23168656054  $  9157822877     $     4102535  $   362333582  $   362320194  $     2324991  $      52      $       0      $      97      $           0  $              $2.529931      $4102535.000000      $23.143063 $23.142208 $0.148502 $     1.00  $   155.84  
51290 $  2005   $ 15272805627  $  9128742803     $       71366  $  1928168011  $     6370500  $     5122483  $       0      $       0      $      97      $           0  $              $1.673046      $71366.000000      $123.156441 $0.406898 $0.327185 $   302.67  $     1.24  
51292 $  3007   $ 23247379450  $  9163861440     $     4125926  $   363746367  $   363716257  $     2198192  $      52      $       0      $      97      $           0  $              $2.536854      $4125926.000000      $23.233301 $23.231379 $0.140403 $     1.00  $   165.46  
51290 $  3007   $ 15273852294  $  9126648516     $       70888  $  1928395051  $     6367604  $     5133171  $       0      $       0      $      97      $           0  $              $1.673544      $70888.000000      $123.170937 $0.406713 $0.327867 $   302.84  $     1.24  
51292 $  4009   $ 23165228775  $  9157829607     $     4107979  $   362279372  $   362272876  $     2355727  $      52      $       0      $      97      $           0  $              $2.529555      $4107979.000000      $23.139601 $23.139185 $0.150466 $     1.00  $   153.78  
51290 $  4009   $ 15273602121  $  9127309262     $       71707  $  1928371926  $     6368721  $     5122092  $       0      $       0      $      97      $           0  $              $1.673396      $71707.000000      $123.169464 $0.406785 $0.327160 $   302.79  $     1.24  
51292 $  5012   $ 23165863906  $  9157110157     $     4105454  $   362288150  $   362272971  $     2335695  $      52      $       0      $      97      $           0  $              $2.529823      $4105454.000000      $23.117090 $23.116121 $0.149037 $     1.00  $   155.10  
51290 $  5012   $ 15272548241  $  9127368520     $       70308  $  1928181942  $     6372368  $     5122060  $       0      $       0      $      97      $           0  $              $1.673270      $70308.000000      $123.034538 $0.406612 $0.326831 $   302.58  $     1.24  
51292 $  6015   $ 23246541671  $  9163716490     $     4125354  $   363737053  $   363702874  $     2203491  $      52      $       0      $      97      $           0  $              $2.536803      $4125354.000000      $23.209543 $23.207363 $0.140602 $     1.00  $   165.06  
51290 $  6015   $ 15273502237  $  9127160044     $       70129  $  1928355629  $     6374776  $     5137212  $       0      $       0      $      97      $           0  $              $1.673412      $70129.000000      $123.045624 $0.406765 $0.327798 $   302.50  $     1.24  
51292 $  7018   $ 23173751207  $  9158461252     $     4111493  $   362411096  $   362402997  $     2251582  $      52      $       0      $      97      $           0  $              $2.530310      $4111493.000000      $23.124935 $23.124420 $0.143670 $     1.00  $   160.95  
51290 $  7018   $ 15311642747  $  9134430214     $       68043  $  1937072882  $     6124562  $     5006208  $       0      $       0      $      97      $           0  $              $1.676256      $68043.000000      $123.601860 $0.390800 $0.319439 $   316.28  $     1.22  
51292 $  8020   $ 23175450911  $  9161615673     $     4116907  $   362429961  $   362416474  $     2339698  $      52      $       0      $      97      $           0  $              $2.529625      $4116907.000000      $23.149218 $23.148357 $0.149442 $     1.00  $   154.90  
51290 $  8021   $ 15299955032  $  9130883168     $       69336  $  1933228719  $     6197315  $     4980008  $       0      $       0      $      97      $           0  $              $1.675627      $69336.000000      $123.356567 $0.395442 $0.317767 $   311.95  $     1.24  
51292 $  9022   $ 23162868369  $  9156703670     $     4102286  $   362247608  $   362232992  $     2385644  $      52      $       0      $      97      $           0  $              $2.529608      $4102286.000000      $23.137571 $23.136639 $0.152376 $     1.00  $   151.84  
51290 $  9023   $ 15274176283  $  9126923088     $       70953  $  1928447996  $     6372828  $     5118110  $       0      $       0      $      97      $           0  $              $1.673530      $70953.000000      $123.174324 $0.407047 $0.326905 $   302.60  $     1.25  
51292 $ 10024   $ 23251002522  $  9163666978     $     4129851  $   363809619  $   363780605  $     2140007  $      52      $       0      $      97      $           0  $              $2.537303      $4129851.000000      $23.237341 $23.235487 $0.136687 $     1.00  $   169.99  
51290 $ 10025   $ 15273932398  $  9127367123     $       72418  $  1928372234  $     6374443  $     5121037  $       0      $       0      $      97      $           0  $              $1.673422      $72418.000000      $123.169487 $0.407150 $0.327092 $   302.52  $     1.24  
51292 $ 11026   $ 23151358831  $  9157125068     $     4103717  $   362035430  $   362024195  $     2417750  $      52      $       0      $      97      $           0  $              $2.528234      $4103717.000000      $23.124020 $23.123302 $0.154427 $     1.00  $   149.74  
51290 $ 11027   $ 15271084132  $  9127160193     $       71817  $  1927942128  $     6365999  $     5134964  $       0      $       0      $      97      $           0  $              $1.673147      $71817.000000      $123.142014 $0.406611 $0.327982 $   302.85  $     1.24  
51292 $ 12028   $ 23165757613  $  9157807045     $     4111511  $   362286992  $   362275895  $     2331621  $      52      $       0      $      97      $           0  $              $2.529619      $4111511.000000      $23.140087 $23.139380 $0.148926 $     1.00  $   155.38  
51290 $ 12029   $ 15273117871  $  9127135283     $       70277  $  1928306592  $     6372892  $     5120382  $       0      $       0      $      97      $           0  $              $1.673375      $70277.000000      $123.165291 $0.407051 $0.327050 $   302.58  $     1.24  
51292 $ 13030   $ 23250751295  $  9164223334     $     4128660  $   363810461  $   363780555  $     2141464  $      52      $       0      $      97      $           0  $              $2.537122      $4128660.000000      $23.237394 $23.235483 $0.136780 $     1.00  $   169.87  
51290 $ 13031   $ 15273800231  $  9127704359     $       69337  $  1928357013  $     6369024  $     5121269  $       0      $       0      $      97      $           0  $              $1.673345      $69337.000000      $123.168510 $0.406804 $0.327107 $   302.77  $     1.24  
51292 $ 14032   $ 23155968542  $  9158937963     $     4107956  $   362106503  $   362098548  $     2425240  $      52      $       0      $      97      $           0  $              $2.528237      $4107956.000000      $23.128559 $23.128052 $0.154906 $     1.00  $   149.30  
51290 $ 14033   $ 15261187160  $  9127078228     $       69110  $  1926313066  $     6366894  $     5135329  $       0      $       0      $      97      $           0  $              $1.672078      $69110.000000      $123.037964 $0.406668 $0.328005 $   302.55  $     1.24  
51292 $ 14673   $ 15002434599  $  5923501944     $     2655919  $   234614479  $   234608698  $     1261847  $      32      $       0      $      97      $           0  $              $2.532697      $2655919.000000      $23.424847 $23.424271 $0.125988 $     1.00  $   185.92  
51290 $ 14674   $  8199775096  $  4895662930     $      122206  $  1037987191  $     3148549  $     2584866  $       0      $       0      $      97      $           0  $              $1.674906      $122206.000000      $103.636787 $0.314364 $0.258083 $   329.67  $     1.22  
51292 $ 14964   $  6995750362  $  2735739041     $     1234403  $   109515844  $   109492852  $       84028  $      10      $       0      $      97      $           0  $              $2.557170      $1234403.000000      $24.085958 $24.080902 $0.018480 $     1.00  $  1303.05  
51310 $  1003   $ 14900822897  $  8905513161     $       96881  $  1882522280  $     6434323  $     4438568  $      35      $       0      $      65      $           0  $              $1.673213      $96881.000000      $120.121063 $0.410565 $0.283219 $   292.58  $     1.45  
