PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
55309 $  1003   $  1160595249  $  6951523324     $    75393818  $   236994457  $   233559953  $     5305942  $      45      $       0      $      97      $           0  $              $0.166956      $75393816.000000      $15.122279 $14.903128 $0.338565 $     1.01  $    44.02  
55307 $  1003   $  5416122982  $  7830611230     $      153319  $   150574098  $   152238737  $   142096209  $       0      $       0      $      97      $           0  $              $0.691660      $153319.000000      $9.607919 $9.714137 $9.066957 $     0.99  $     1.07  
55309 $  2006   $  1017824083  $  5985391299     $    64192240  $   197987245  $   194438795  $     4643158  $      45      $       0      $      97      $           0  $              $0.170051      $64192240.000000      $12.633284 $12.406862 $0.296273 $     1.02  $    41.88  
55307 $  2006   $  6313310881  $  9195032735     $      157069  $   195580140  $   195639995  $   191149909  $       0      $       0      $      97      $           0  $              $0.686600      $157069.000000      $12.479691 $12.483509 $12.197002 $     1.00  $     1.02  
55309 $  3008   $   878442535  $  5006352526     $    51410087  $   158939522  $   156140731  $     4222803  $      43      $       0      $      97      $           0  $              $0.175466      $51410088.000000      $10.151826 $9.973061 $0.269720 $     1.02  $    36.98  
55307 $  3008   $  6304456567  $  9346021651     $      161282  $   197563603  $   197625567  $   193193686  $       0      $       0      $      97      $           0  $              $0.674560      $161282.000000      $12.618833 $12.622790 $12.339716 $     1.00  $     1.02  
55309 $  4010   $  1134201755  $  6786067068     $    73312309  $   223528089  $   219664096  $     5302756  $      46      $       0      $      97      $           0  $              $0.167137      $73312312.000000      $14.277244 $14.030441 $0.338699 $     1.02  $    41.42  
55307 $  4010   $  6196295250  $  9212356764     $      160442  $   194995379  $   195055648  $   190519878  $       0      $       0      $      97      $           0  $              $0.672607      $160442.000000      $12.454795 $12.458644 $12.168934 $     1.00  $     1.02  
55309 $  5012   $  1030867886  $  6272186670     $    68120823  $   213937282  $   209512952  $     4924050  $      45      $       0      $      97      $           0  $              $0.164355      $68120824.000000      $13.664657 $13.382066 $0.314510 $     1.02  $    42.55  
55307 $  5012   $  6258685853  $  9200784709     $      160047  $   196192466  $   196252724  $   191716012  $       0      $       0      $      97      $           0  $              $0.680234      $160047.000000      $12.531255 $12.535104 $12.245335 $     1.00  $     1.02  
55309 $  6014   $   903963579  $  5289059056     $    55712966  $   172075741  $   168940805  $     4335131  $      44      $       0      $      97      $           0  $              $0.170912      $55712968.000000      $10.990866 $10.790630 $0.276895 $     1.02  $    38.97  
55307 $  6014   $  6350206086  $  9344099947     $      164375  $   197819351  $   197879042  $   193395385  $       0      $       0      $      97      $           0  $              $0.679595      $164375.000000      $12.635168 $12.638981 $12.352600 $     1.00  $     1.02  
55309 $  7017   $  1125662504  $  6197488694     $    62564373  $   196696230  $   193587819  $     4453322  $      41      $       0      $      97      $           0  $              $0.181632      $62564372.000000      $12.550905 $12.352563 $0.284160 $     1.02  $    43.47  
