PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
55607 $  1004   $  4350487154  $  5170288241     $     1143674  $   163684306  $    31195052  $    14899613  $      42      $       0      $      97      $           0  $              $0.841440      $1143674.000000      $10.434059 $1.988529 $0.949776 $     5.25  $     2.09  
55605 $  1004   $ 20908940656  $  8914867375     $     3669721  $   327096386  $   327185367  $     7541052  $       0      $       0      $      97      $           0  $              $2.345401      $3669721.000000      $20.850765 $20.856438 $0.480705 $     1.00  $    43.39  
55607 $  2006   $  5471959808  $  5918135805     $     2842499  $   221032313  $    45534255  $    25863162  $      44      $       0      $      97      $           0  $              $0.924609      $2842499.000000      $14.117833 $2.908376 $1.651938 $     4.85  $     1.76  
55605 $  2007   $ 21331181239  $  9346382331     $     3716306  $   333732602  $   333788506  $     8726066  $       0      $       0      $      97      $           0  $              $2.282293      $3716306.000000      $21.295002 $21.298569 $0.556798 $     1.00  $    38.25  
55607 $  3008   $ 16857885675  $  9008821050     $    12061951  $   783279800  $   135776671  $    68487949  $      53      $       0      $      97      $           0  $              $1.871264      $12061951.000000      $50.029846 $8.672362 $4.374480 $     5.77  $     1.98  
55605 $  3009   $ 19679472589  $  9104265156     $     3234790  $   307627740  $   307761559  $    28603024  $       0      $       0      $      97      $           0  $              $2.161566      $3234790.000000      $19.648878 $19.657425 $1.826940 $     1.00  $    10.76  
55605 $  3229   $  5086727274  $  2090183075     $      862224  $    79677426  $    79682803  $     3157948  $       0      $       0      $      97      $           0  $              $2.433628      $862224.000000      $23.178886 $23.180450 $0.918676 $     1.00  $    25.23  
55607 $  3228   $  1799748274  $   829314377     $      545110  $    81596371  $    11079639  $     5552793  $       9      $       0      $      97      $           0  $              $2.170164      $545110.000000      $23.737125 $3.223168 $1.615358 $     7.36  $     2.00  
55605 $  4118   $ 20677055069  $  8139308913     $     3583422  $   323299007  $   323303127  $     1271920  $       0      $       0      $      97      $           0  $              $2.540394      $3583422.000000      $23.274620 $23.274916 $0.091567 $     1.00  $   254.19  
55605 $  4121   $     3755063  $     1481089     $         673  $       58843  $       58878  $         391  $       0      $       0      $      97      $           0  $              $2.535339      $673.000000      $1.255317 $1.256064 $0.008341 $     1.00  $   150.58  
55605 $  5124   $ 20873053280  $  9015716162     $     3669335  $   326112209  $   326158263  $     6922927  $      42      $       0      $      97      $           0  $              $2.315186      $3669335.000000      $20.808756 $20.811695 $0.441742 $     1.00  $    47.11  
55626 $  1003   $  4124788114  $  5066998490     $     1062558  $   153600518  $    28623040  $    14386142  $       0      $       0      $      97      $           0  $              $0.814050      $1062558.000000      $9.801029 $1.826395 $0.917959 $     5.37  $     1.99  
