PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
48354 $  1003   $  4079413062  $  7385547949     $      142154  $    81975028  $    64863678  $    61966177  $      43      $       0      $      97      $           0  $              $0.552351      $142154.000000      $5.230710 $4.138859 $3.953973 $     1.26  $     1.05  
48352 $  1003   $  2745564694  $  8751572574     $    10072377  $   343134971  $   340444714  $    10684118  $       0      $       0      $      97      $           0  $              $0.313722      $10072377.000000      $21.894953 $21.723291 $0.681738 $     1.01  $    31.86  
48354 $  2005   $  5039690538  $  9060184785     $       54236  $   102505922  $    81141931  $    77469766  $      46      $       0      $      97      $           0  $              $0.556246      $54236.000000      $6.547284 $5.182718 $4.948169 $     1.26  $     1.05  
48352 $  2005   $  2774285338  $  9093714914     $    10668628  $   352109015  $   349319450  $    11037381  $       0      $       0      $      97      $           0  $              $0.305077      $10668628.000000      $22.489998 $22.311821 $0.704982 $     1.01  $    31.65  
48354 $  3008   $  5039590645  $  9058989615     $       54482  $   102501317  $    81135956  $    77463351  $      46      $       0      $      97      $           0  $              $0.556308      $54482.000000      $6.540463 $5.177169 $4.942826 $     1.26  $     1.05  
48352 $  3008   $  2773483070  $  9093082325     $    10651925  $   352017679  $   349215835  $    11033321  $       0      $       0      $      97      $           0  $              $0.305010      $10651925.000000      $22.461744 $22.282965 $0.704021 $     1.01  $    31.65  
48354 $  4011   $  5034395535  $  9050215016     $       55778  $   102382154  $    81020044  $    77364018  $      46      $       0      $      97      $           0  $              $0.556274      $55778.000000      $6.532859 $5.169774 $4.936488 $     1.26  $     1.05  
48352 $  4011   $  2768953397  $  9083377117     $    10592309  $   351530413  $   348629721  $    11012080  $       0      $       0      $      97      $           0  $              $0.304837      $10592309.000000      $22.430655 $22.245565 $0.702665 $     1.01  $    31.66  
48354 $  5013   $  5034928276  $  9053850541     $       54638  $   102386553  $    81015452  $    77368808  $      46      $       0      $      97      $           0  $              $0.556109      $54638.000000      $6.539660 $5.174640 $4.941720 $     1.26  $     1.05  
48352 $  5013   $  2769878397  $  9086916071     $    10604359  $   351632396  $   348755938  $    11017653  $       0      $       0      $      97      $           0  $              $0.304821      $10604359.000000      $22.459553 $22.275827 $0.703722 $     1.01  $    31.65  
48354 $  6015   $  5036273447  $  9057038661     $       54398  $   102401246  $    81048906  $    77382779  $      46      $       0      $      97      $           0  $              $0.556062      $54398.000000      $6.540599 $5.176776 $4.942613 $     1.26  $     1.05  
48352 $  6015   $  2770665186  $  9090112076     $    10595047  $   351743315  $   348854496  $    11020981  $       0      $       0      $      97      $           0  $              $0.304800      $10595047.000000      $22.466640 $22.282124 $0.703935 $     1.01  $    31.65  
48354 $  7017   $  5037915571  $  9057956819     $       55069  $   102437046  $    81075058  $    77411122  $      46      $       0      $      97      $           0  $              $0.556187      $55069.000000      $6.542885 $5.178447 $4.944423 $     1.26  $     1.05  
48352 $  7017   $  2767866644  $  9090011227     $    10479742  $   351313203  $   348494911  $    11012617  $       0      $       0      $      97      $           0  $              $0.304495      $10479742.000000      $22.439167 $22.259155 $0.703401 $     1.01  $    31.65  
48352 $  7302   $   848678700  $  2650254768     $     3078109  $   107467654  $   106795965  $     2186940  $       0      $       0      $      97      $           0  $              $0.320225      $3078109.000000      $24.133087 $23.982252 $0.491102 $     1.01  $    48.83  
48354 $  7302   $   987606915  $  1766493171     $      121500  $    19786169  $    15525698  $    14828697  $      12      $       0      $      97      $           0  $              $0.559078      $121500.000000      $4.443210 $3.486473 $3.329953 $     1.27  $     1.05  
48352 $  8105   $  2680700941  $  7682205228     $     9738171  $   338009161  $   336974142  $       51138  $       0      $       0      $      97      $           0  $              $0.348949      $9738171.000000      $26.939709 $26.857218 $0.004076 $     1.00  $  6589.51  
48352 $  8107   $      318753  $      895280     $        1249  $       37291  $       37401  $          43  $       0      $       0      $      97      $           0  $              $0.356037      $1249.000000      $1.193312 $1.196832 $0.001376 $     1.00  $   869.79  
48352 $  9109   $  2875807558  $  9121937528     $    10415411  $   364689962  $   361978176  $    10063909  $      44      $       0      $      97      $           0  $              $0.315263      $10415411.000000      $23.293570 $23.120363 $0.642805 $     1.01  $    35.97  
48372 $  1002   $  4096584098  $  7441134729     $       84704  $    82113517  $    64998085  $    62161478  $       0      $       0      $      97      $           0  $              $0.550532      $84704.000000      $5.244776 $4.151574 $3.970394 $     1.26  $     1.05  
48372 $  2004   $  4994286247  $  8957121038     $       63484  $   101667161  $    80320395  $    76780721  $      45      $       0      $      97      $           0  $              $0.557577      $63484.000000      $6.493711 $5.130245 $4.904158 $     1.27  $     1.05  
48352 $ 10111   $  2739327797  $  8827546707     $    10093914  $   334725215  $   332158559  $    11504200  $       0      $       0      $      97      $           0  $              $0.310316      $10093914.000000      $21.379654 $21.215717 $0.734799 $     1.01  $    28.87  
48372 $  3005   $  5038160882  $  9059150482     $       54306  $   102433246  $    81086966  $    77481645  $      46      $       0      $      97      $           0  $              $0.556141      $54306.000000      $6.549179 $5.184381 $4.953872 $     1.26  $     1.05  
48352 $ 11112   $  2784105485  $  9127470094     $    10730965  $   353216304  $   350554671  $    11109436  $       0      $       0      $      97      $           0  $              $0.305025      $10730965.000000      $22.583261 $22.413084 $0.710294 $     1.01  $    31.55  
48372 $  4007   $  5038041933  $  9061327730     $       55071  $   102433129  $    81087090  $    77478788  $      46      $       0      $      97      $           0  $              $0.555994      $55071.000000      $6.542635 $5.179215 $4.948745 $     1.26  $     1.05  
48352 $ 12114   $  2784255007  $  9130053941     $    10727908  $   353255538  $   350570318  $    11109182  $       0      $       0      $      97      $           0  $              $0.304955      $10727908.000000      $22.563229 $22.391716 $0.709569 $     1.01  $    31.56  
48372 $  5009   $  5037855820  $  9061758924     $       54565  $   102391523  $    81030096  $    77447135  $      46      $       0      $      97      $           0  $              $0.555947      $54565.000000      $6.539978 $5.175575 $4.946723 $     1.26  $     1.05  
48352 $ 13116   $  2783600421  $  9129749306     $    10685367  $   353226492  $   350474893  $    11106128  $       0      $       0      $      97      $           0  $              $0.304893      $10685367.000000      $22.561373 $22.385622 $0.709373 $     1.01  $    31.56  
48372 $  6011   $  5037619815  $  9060039901     $       53556  $   102387406  $    81041754  $    77441165  $      46      $       0      $      97      $           0  $              $0.556026      $53556.000000      $6.539715 $5.176320 $4.946342 $     1.26  $     1.05  
48352 $ 14118   $  2783061749  $  9128359189     $    10668950  $   353161453  $   350415844  $    11102818  $       0      $       0      $      97      $           0  $              $0.304881      $10668950.000000      $22.557219 $22.381849 $0.709162 $     1.01  $    31.56  
48372 $  7013   $  5037103821  $  9060552272     $       53401  $   102367198  $    81021718  $    77420187  $      46      $       0      $      97      $           0  $              $0.555938      $53401.000000      $6.538424 $5.175040 $4.945002 $     1.26  $     1.05  
48352 $ 15120   $  2781664853  $  9128734069     $    10671456  $   352993628  $   350240911  $    11098909  $       0      $       0      $      97      $           0  $              $0.304715      $10671456.000000      $22.546499 $22.370676 $0.708912 $     1.01  $    31.56  
48352 $ 15420   $   892821001  $  2793382835     $     3274888  $   113066025  $   112340129  $     2548402  $       0      $       0      $      97      $           0  $              $0.319620      $3274888.000000      $24.120752 $23.965895 $0.543659 $     1.01  $    44.08  
