PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
47996 $  1003   $ 21356314479  $  8845382080     $     7226911  $   346285567  $   423188516  $     5980149  $      50      $       0      $      97      $           0  $              $2.414403      $7226911.000000      $22.095989 $27.003056 $0.381585 $     0.82  $    70.77  
47994 $  1003   $  3339823404  $  8904309067     $    11555257  $   367827866  $   363212830  $     4616851  $       0      $       0      $      97      $           0  $              $0.375079      $11555257.000000      $23.470572 $23.176092 $0.294595 $     1.01  $    78.67  
47996 $  2005   $ 22085905380  $  9129365089     $     7358791  $   357571764  $   434587947  $     6480696  $      51      $       0      $      97      $           0  $              $2.419216      $7358791.000000      $22.838917 $27.758112 $0.413937 $     0.82  $    67.06  
47994 $  2005   $  3405985667  $  9148080997     $    12126975  $   385471207  $   380680168  $     4283941  $       0      $       0      $      97      $           0  $              $0.372317      $12126975.000000      $24.620914 $24.314901 $0.273625 $     1.01  $    88.86  
47996 $  3007   $ 21949050984  $  9124418187     $     7487188  $   355466460  $   435156650  $     6215554  $      51      $       0      $      97      $           0  $              $2.405529      $7487188.000000      $22.704445 $27.794436 $0.397001 $     0.82  $    70.01  
47994 $  3007   $  3380022948  $  9150909243     $    11882317  $   387457140  $   382646169  $     4400748  $       0      $       0      $      97      $           0  $              $0.369365      $11882317.000000      $24.747763 $24.440474 $0.281086 $     1.01  $    86.95  
47996 $  4009   $ 22005130934  $  9133495632     $     7429563  $   356513401  $   435846392  $     7013844  $      51      $       0      $      97      $           0  $              $2.409278      $7429563.000000      $22.771315 $27.838493 $0.447990 $     0.82  $    62.14  
47994 $  4009   $  3198698125  $  9164932714     $    10081847  $   405459186  $   400971644  $     3859059  $       0      $       0      $      97      $           0  $              $0.349015      $10081847.000000      $25.897594 $25.610964 $0.246487 $     1.01  $   103.90  
47996 $  5011   $ 22007268092  $  9135367429     $     7375794  $   356407415  $   434291624  $     7261459  $      51      $       0      $      97      $           0  $              $2.409018      $7375794.000000      $22.764545 $27.739185 $0.463806 $     0.82  $    59.81  
47994 $  5011   $  3199250156  $  9166235089     $    10071702  $   405573162  $   401054213  $     3856442  $       0      $       0      $      97      $           0  $              $0.349026      $10071702.000000      $25.904873 $25.616238 $0.246320 $     1.01  $   104.00  
47996 $  6014   $ 22060534582  $  9133230006     $     7390211  $   357253103  $   434448348  $     6822475  $      51      $       0      $      97      $           0  $              $2.415414      $7390211.000000      $22.795811 $27.721529 $0.435332 $     0.82  $    63.68  
47994 $  6013   $  3301780668  $  9164102442     $    10916814  $   395769381  $   391033545  $     4629263  $       0      $       0      $      97      $           0  $              $0.360295      $10916814.000000      $25.278683 $24.976194 $0.295681 $     1.01  $    84.47  
47996 $  7017   $ 22084100766  $  9133783766     $     7429215  $   357583192  $   435644656  $     5878665  $      51      $       0      $      97      $           0  $              $2.417848      $7429215.000000      $22.816874 $27.797865 $0.375109 $     0.82  $    74.11  
47994 $  7016   $  3413559081  $  9165090309     $    12221969  $   386070219  $   381491523  $     4283914  $       0      $       0      $      97      $           0  $              $0.372452      $12221969.000000      $24.634590 $24.342430 $0.273350 $     1.01  $    89.05  
47996 $  8020   $ 22089610001  $  9134489118     $     7419121  $   357668626  $   436151760  $     6302186  $      51      $       0      $      97      $           0  $              $2.418264      $7419121.000000      $22.822327 $27.830221 $0.402133 $     0.82  $    69.21  
47994 $  8019   $  3414078830  $  9165698359     $    12237705  $   386138797  $   381579654  $     4286164  $       0      $       0      $      97      $           0  $              $0.372484      $12237705.000000      $24.638966 $24.348053 $0.273494 $     1.01  $    89.03  
47996 $  9022   $ 22057020309  $  9133987609     $     7400110  $   357177021  $   435288777  $     6775106  $      51      $       0      $      97      $           0  $              $2.414829      $7400110.000000      $22.813702 $27.802876 $0.432741 $     0.82  $    64.25  
47994 $  9021   $  3286253486  $  9165063865     $    10961487  $   397294311  $   392741812  $     4215804  $       0      $       0      $      97      $           0  $              $0.358563      $10961487.000000      $25.376083 $25.085306 $0.269273 $     1.01  $    93.16  
47996 $ 10024   $ 22031739636  $  9134420879     $     7397233  $   356841813  $   434657928  $     7110100  $      50      $       0      $      97      $           0  $              $2.411947      $7397233.000000      $22.792292 $27.762581 $0.454138 $     0.82  $    61.13  
47994 $ 10023   $  3199084359  $  9165536208     $    10094439  $   405456733  $   401006014  $     3859749  $       0      $       0      $      97      $           0  $              $0.349034      $10094439.000000      $25.897436 $25.613159 $0.246531 $     1.01  $   103.89  
47996 $ 11026   $ 21999013982  $  9134240857     $     7376841  $   356168193  $   433817677  $     7162623  $      50      $       0      $      97      $           0  $              $2.408412      $7376841.000000      $22.749266 $27.708912 $0.457493 $     0.82  $    60.57  
47994 $ 11025   $  3199006703  $  9165111666     $    10066746  $   405558377  $   401028678  $     3897642  $       0      $       0      $      97      $           0  $              $0.349042      $10066746.000000      $25.903927 $25.614605 $0.248951 $     1.01  $   102.89  
47996 $ 11235   $  4782012239  $  1978530798     $     1525461  $    77331836  $    93906180  $     1306309  $       9      $       0      $      97      $           0  $              $2.416951      $1525461.000000      $23.680563 $28.755959 $0.400018 $     0.82  $    71.89  
47994 $ 11234   $   333968259  $   957619593     $     1085402  $    41493975  $    41012440  $      450335  $       0      $       0      $      97      $           0  $              $0.348748      $1085402.000000      $12.706289 $12.558833 $0.137902 $     1.01  $    91.07  
47996 $ 12130   $ 20647459947  $  8506540667     $     6530416  $   334437663  $   408425179  $     3635842  $      34      $       0      $      97      $           0  $              $2.427245      $6530416.000000      $23.915096 $29.205824 $0.259993 $     0.82  $   112.33  
47996 $ 12131   $    13196851  $     5309013     $        3640  $      212652  $      262624  $        1309  $       0      $       0      $      97      $           0  $              $2.485745      $3640.000000      $13.609728 $16.807936 $0.083776 $     0.81  $   200.63  
47996 $ 13133   $ 21985169519  $  9130553493     $     7345627  $   356013738  $   433767412  $     6912395  $      51      $       0      $      97      $           0  $              $2.407868      $7345627.000000      $22.739399 $27.705704 $0.441510 $     0.82  $    62.75  
48014 $  1002   $  3359982612  $  8950530194     $    11334325  $   369700729  $   364021953  $     3960974  $       0      $       0      $      97      $           0  $              $0.375395      $11334325.000000      $23.613621 $23.250902 $0.252996 $     1.02  $    91.90  
48014 $  1678   $  2296343998  $  6159742203     $     7923772  $   259688706  $   255705427  $     2313162  $       0      $       0      $      97      $           0  $              $0.372799      $7923772.000000      $24.585913 $24.208797 $0.218998 $     1.02  $   110.54  
47996 $ 13809   $ 14810098997  $  6134484884     $     4814766  $   239473644  $   288544997  $     4439341  $      34      $       0      $      97      $           0  $              $2.414237      $4814766.000000      $22.672062 $27.317869 $0.420293 $     0.83  $    65.00  
