PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
51083 $  1003   $  4046909102  $  8818839288     $    32695508  $   229486814  $   168213709  $    39808094  $      47      $       0      $      97      $           0  $              $0.458894      $32695508.000000      $14.643227 $10.733478 $2.540098 $     1.36  $     4.23  
51081 $  1003   $ 14542192536  $  8785997377     $       91921  $  1832673514  $     6415252  $     5132398  $       0      $       0      $      97      $           0  $              $1.655156      $91921.000000      $116.940285 $0.409348 $0.327491 $   285.67  $     1.25  
51083 $  2006   $  4275111892  $  9138022669     $    39272918  $   274251693  $   200903333  $    46963703  $      48      $       0      $      97      $           0  $              $0.467838      $39272920.000000      $17.499609 $12.819355 $2.996687 $     1.37  $     4.28  
51081 $  2005   $ 15077189815  $  9085682666     $       76639  $  1900804534  $     6316366  $     5230472  $       0      $       0      $      97      $           0  $              $1.659445      $76639.000000      $121.408669 $0.403441 $0.334082 $   300.93  $     1.21  
51083 $  3009   $  4282703397  $  9138390251     $    39284203  $   274545465  $   201006219  $    47054455  $      48      $       0      $      97      $           0  $              $0.468650      $39284204.000000      $17.518354 $12.825920 $3.002478 $     1.37  $     4.27  
51081 $  3007   $ 15080030457  $  9086264043     $       77712  $  1901127065  $     6321590  $     5235520  $       0      $       0      $      97      $           0  $              $1.659651      $77712.000000      $121.429276 $0.403774 $0.334404 $   300.74  $     1.21  
51083 $  4012   $  4284905207  $  9138043169     $    39282845  $   274564157  $   201028825  $    47084686  $      49      $       0      $      97      $           0  $              $0.468908      $39282844.000000      $17.519548 $12.827363 $3.004407 $     1.37  $     4.27  
51081 $  4010   $ 15150850267  $  9093392849     $       75245  $  1915449735  $     5995211  $     5027787  $       0      $       0      $      97      $           0  $              $1.666138      $75245.000000      $122.222115 $0.382546 $0.320816 $   319.50  $     1.19  
51083 $  5015   $  4288335093  $  9139320224     $    39273875  $   274576386  $   201042316  $    47086266  $      49      $       0      $      97      $           0  $              $0.469218      $39273876.000000      $17.520329 $12.828224 $3.004507 $     1.37  $     4.27  
51081 $  5013   $ 15159359922  $  9088610983     $       77684  $  1914002878  $     6254578  $     5149625  $       0      $       0      $      97      $           0  $              $1.667951      $77684.000000      $122.129791 $0.399096 $0.328590 $   306.02  $     1.21  
51083 $  6017   $  4282143881  $  9137765552     $    39252350  $   274543516  $   201007046  $    47064294  $      49      $       0      $      97      $           0  $              $0.468620      $39252352.000000      $17.535713 $12.838773 $3.006103 $     1.37  $     4.27  
51081 $  6015   $ 15127619739  $  9086669049     $       76967  $  1908677038  $     6332082  $     5237796  $       0      $       0      $      97      $           0  $              $1.664815      $76967.000000      $121.911507 $0.404444 $0.334550 $   301.43  $     1.21  
51083 $  7019   $  4286615662  $  9140815968     $    39261176  $   274578463  $   201028181  $    47095837  $      49      $       0      $      97      $           0  $              $0.468953      $39261176.000000      $17.537947 $12.840123 $3.008117 $     1.37  $     4.27  
51081 $  7017   $ 15138132990  $  9089711919     $       75269  $  1910141632  $     6331996  $     5239592  $       0      $       0      $      97      $           0  $              $1.665414      $75269.000000      $122.005058 $0.404439 $0.334665 $   301.67  $     1.21  
