PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
29436 $  1003   $  6801780094  $  9127616782     $      124313  $    17608778  $    19787290  $       31949  $      29      $       0      $      97      $           0  $              $0.745187      $124313.000000      $1.123591 $1.262599 $0.002039 $     0.89  $   619.34  
29436 $  2005   $  6878328486  $  9204777154     $      123925  $    16450998  $    17760161  $          68  $      30      $       0      $      97      $           0  $              $0.747256      $123925.000000      $1.050762 $1.134382 $0.000004 $     0.93  $261178.83  
29436 $  3008   $  7175663114  $  9599528767     $      125300  $    16713645  $    17790455  $          54  $      29      $       0      $      97      $           0  $              $0.747502      $125300.000000      $1.066474 $1.135184 $0.000003 $     0.94  $329452.88  
29436 $  4011   $  7123159345  $  9543287029     $      124945  $    17325975  $    18886033  $          39  $      30      $       0      $      97      $           0  $              $0.746405      $124945.000000      $1.105546 $1.205091 $0.000002 $     0.92  $484257.22  
29436 $  5014   $  7144608740  $  9575238637     $      125359  $    17675500  $    19401920  $          77  $      29      $       0      $      97      $           0  $              $0.746155      $125359.000000      $1.127849 $1.238009 $0.000005 $     0.91  $251972.98  
29436 $  6018   $  7121749418  $  9541987653     $      125076  $    16641630  $    17726549  $          56  $      31      $       0      $      97      $           0  $              $0.746359      $125076.000000      $1.060821 $1.129979 $0.000004 $     0.94  $316545.50  
29436 $  7021   $  7119762970  $  9536145099     $      125129  $    15965281  $    16600705  $          59  $      31      $       0      $      97      $           0  $              $0.746608      $125129.000000      $1.018722 $1.059267 $0.000004 $     0.96  $281367.88  
29436 $  8024   $  6884713840  $  9205066184     $      124924  $    15703843  $    16481357  $          74  $      30      $       0      $      97      $           0  $              $0.747927      $124924.000000      $1.002040 $1.051652 $0.000005 $     0.95  $222721.05  
29436 $  9027   $  6868577799  $  9205711672     $      124378  $    16365639  $    17584038  $          82  $      30      $       0      $      97      $           0  $              $0.746121      $124378.000000      $1.044268 $1.122012 $0.000005 $     0.93  $214439.48  
29436 $ 10030   $  6887957687  $  9215843383     $      125031  $    16357785  $    17554137  $          59  $      30      $       0      $      97      $           0  $              $0.747404      $125031.000000      $1.043767 $1.120104 $0.000004 $     0.93  $297527.72  
