PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
29825 $  1003   $ 20306293394  $  8840230407     $     6321110  $   329494062  $   399413626  $    22353813  $      35      $       0      $      97      $           0  $              $2.297032      $6321110.000000      $21.024546 $25.486015 $1.426365 $     0.82  $    17.87  
29825 $  2006   $ 21109354792  $  9149970837     $     6456879  $   341975658  $   411728680  $    22793194  $      36      $       0      $      97      $           0  $              $2.307041      $6456879.000000      $21.820978 $26.271820 $1.454401 $     0.83  $    18.06  
29825 $  3009   $ 22485417151  $  9778573693     $     6673447  $   364076822  $   437736953  $    24881574  $      38      $       0      $      97      $           0  $              $2.299458      $6673447.000000      $23.231224 $27.931372 $1.587658 $     0.83  $    17.59  
29825 $  4012   $ 21107998258  $  9149689500     $     6461021  $   341965689  $   411924594  $    22718150  $      37      $       0      $      97      $           0  $              $2.306963      $6461021.000000      $21.820343 $26.284323 $1.449613 $     0.83  $    18.13  
29825 $  5015   $ 21120480996  $  9149998481     $     6439855  $   342140595  $   412092335  $    22658730  $      36      $       0      $      97      $           0  $              $2.308250      $6439855.000000      $21.831505 $26.295023 $1.445821 $     0.83  $    18.19  
29825 $  6018   $ 21121233934  $  9149357685     $     6423462  $   342101937  $   412059677  $    22883281  $      37      $       0      $      97      $           0  $              $2.308494      $6423462.000000      $21.829039 $26.292940 $1.460150 $     0.83  $    18.01  
29825 $  7021   $ 22489612398  $  9787991563     $     6718502  $   364209824  $   437890616  $    24705986  $      38      $       0      $      97      $           0  $              $2.297674      $6718502.000000      $23.239710 $27.941175 $1.576454 $     0.83  $    17.72  
29825 $  8024   $ 21228586159  $  9200838572     $     6448237  $   343860755  $   414073743  $    22932350  $      37      $       0      $      97      $           0  $              $2.307245      $6448237.000000      $21.941265 $26.421453 $1.463281 $     0.83  $    18.06  
29825 $  9027   $ 21849289626  $  9479000418     $     6501845  $   353911387  $   426081059  $    23648177  $      38      $       0      $      97      $           0  $              $2.305020      $6501845.000000      $22.582581 $27.187624 $1.508956 $     0.83  $    18.02  
29825 $ 10030   $ 21131902859  $  9149031295     $     6407289  $   342287535  $   412319378  $    23090395  $      37      $       0      $      97      $           0  $              $2.309742      $6407289.000000      $21.840879 $26.309513 $1.473365 $     0.83  $    17.86  
29825 $ 11033   $ 22522621393  $  9798099870     $     6719506  $   364775046  $   438603359  $    24668689  $      38      $       0      $      97      $           0  $              $2.298672      $6719506.000000      $23.275776 $27.986654 $1.574074 $     0.83  $    17.78  
29825 $ 12036   $ 21115816717  $  9149510477     $     6426734  $   342033889  $   411883591  $    22887313  $      37      $       0      $      97      $           0  $              $2.307863      $6426734.000000      $21.824696 $26.281704 $1.460407 $     0.83  $    18.00  
29825 $ 13039   $ 21235837231  $  9203701042     $     6416931  $   343939319  $   414520068  $    23201884  $      37      $       0      $      97      $           0  $              $2.307315      $6416931.000000      $21.946278 $26.449934 $1.480479 $     0.83  $    17.87  
29825 $ 14042   $ 21065652300  $  9149508703     $     6418458  $   341060046  $   410691881  $    23540254  $      37      $       0      $      97      $           0  $              $2.302381      $6418458.000000      $21.762554 $26.205664 $1.502070 $     0.83  $    17.45  
