PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
51936 $  1003   $ 14747342961  $  8854938447     $     8530339  $   329136349  $   431211816  $     4707368  $      48      $       0      $      97      $           0  $              $1.665437      $8530339.000000      $21.001720 $27.515011 $0.300370 $     0.76  $    91.60  
51934 $  1003   $  5049440512  $  8809324748     $     5791863  $   222789136  $   148199278  $   143584193  $       0      $       0      $      97      $           0  $              $0.573193      $5791863.000000      $14.215858 $9.456385 $9.161902 $     1.50  $     1.03  
51932 $  1003   $  2846447400  $  6801566523     $      127067  $    69194731  $    71028592  $    63093672  $      46      $       0      $      97      $           0  $              $0.418499      $127067.000000      $4.415217 $4.532233 $4.025917 $     0.97  $     1.13  
51930 $  1003   $  3324446955  $  8826196126     $     3347320  $   140584664  $    93786786  $    92162893  $       0      $       0      $      97      $           0  $              $0.376657      $3347320.000000      $8.970508 $5.984401 $5.880783 $     1.50  $     1.02  
51936 $  2006   $ 15131839973  $  9115433211     $     8698689  $   337860172  $   441626616  $     4565409  $      49      $       0      $      97      $           0  $              $1.660024      $8698689.000000      $21.558374 $28.179565 $0.291312 $     0.77  $    96.73  
51934 $  2006   $  5266269878  $  9115193795     $     6247554  $   239546362  $   159644187  $   154784834  $       0      $       0      $      97      $           0  $              $0.577746      $6247554.000000      $15.285112 $10.186668 $9.876599 $     1.50  $     1.03  
51932 $  2005   $  3166958714  $  9095474007     $       87191  $    97950011  $    97989045  $    96297023  $      47      $       0      $      97      $           0  $              $0.348191      $87191.000000      $6.256288 $6.258781 $6.150708 $     1.00  $     1.02  
51930 $  2006   $  3181882713  $  9090557749     $     3417213  $   146217351  $    97380895  $    95988163  $       0      $       0      $      97      $           0  $              $0.350021      $3417213.000000      $9.329920 $6.213736 $6.124867 $     1.50  $     1.01  
51936 $  3009   $ 15129080597  $  9116543103     $     8667324  $   337773942  $   440277543  $     4556106  $      49      $       0      $      97      $           0  $              $1.659520      $8667324.000000      $21.552874 $28.093481 $0.290719 $     0.77  $    96.63  
51934 $  3009   $  5274556876  $  9116451598     $     6233528  $   239988633  $   159669176  $   154794324  $       0      $       0      $      97      $           0  $              $0.578576      $6233528.000000      $15.313333 $10.188263 $9.877205 $     1.50  $     1.03  
51932 $  3008   $  3242889941  $  9096388408     $       97872  $   103054286  $   103091031  $   101345923  $      47      $       0      $      97      $           0  $              $0.356503      $97872.000000      $6.575747 $6.578092 $6.466739 $     1.00  $     1.02  
51930 $  3009   $  3168346827  $  9091030367     $     3314037  $   141617850  $    94802281  $    93463009  $       0      $       0      $      97      $           0  $              $0.348514      $3314037.000000      $9.036433 $6.049198 $5.963741 $     1.49  $     1.01  
51936 $  4011   $ 15147936299  $  9115887778     $     8581506  $   337861634  $   439385660  $     4508891  $      49      $       0      $      97      $           0  $              $1.661707      $8581506.000000      $21.579985 $28.064554 $0.287993 $     0.77  $    97.45  
51934 $  4011   $  5262784817  $  9114989198     $     6266198  $   239402486  $   159647278  $   154784430  $       0      $       0      $      97      $           0  $              $0.577377      $6266198.000000      $15.291177 $10.197032 $9.886431 $     1.50  $     1.03  
51932 $  4011   $  3218572954  $  9096726375     $       93484  $   100787600  $   100825633  $    99096926  $      47      $       0      $      97      $           0  $              $0.353817      $93484.000000      $6.431113 $6.433540 $6.323234 $     1.00  $     1.02  
51930 $  4011   $  3187091455  $  9092049813     $     3366032  $   143843726  $    96010186  $    94642424  $       0      $       0      $      97      $           0  $              $0.350536      $3366032.000000      $9.187623 $6.132387 $6.045025 $     1.50  $     1.01  
51936 $  5013   $ 15204337518  $  9123053408     $     8687727  $   339647795  $   443461258  $     4417571  $      49      $       0      $      97      $           0  $              $1.666584      $8687727.000000      $21.694071 $28.324871 $0.282160 $     0.77  $   100.39  
51934 $  5013   $  5282087573  $  9122319299     $     6244424  $   240330168  $   159889696  $   155003012  $       0      $       0      $      97      $           0  $              $0.579029      $6244424.000000      $15.350430 $10.212516 $9.900392 $     1.50  $     1.03  
51932 $  5013   $  3209291698  $  9096863682     $       91790  $    98605144  $    98643164  $    96951798  $      47      $       0      $      97      $           0  $              $0.352791      $91790.000000      $6.298133 $6.300561 $6.192530 $     1.00  $     1.02  
51930 $  5013   $  3183404035  $  9092317928     $     3434327  $   146225675  $    97473087  $    96091919  $       0      $       0      $      97      $           0  $              $0.350120      $3434327.000000      $9.339764 $6.225826 $6.137608 $     1.50  $     1.01  
51936 $  6016   $ 15236977054  $  9115921088     $     8759816  $   340283142  $   444264078  $     4437120  $      49      $       0      $      97      $           0  $              $1.671469      $8759816.000000      $21.712982 $28.347857 $0.283126 $     0.77  $   100.12  
51934 $  6016   $  5274074285  $  9115389193     $     6291113  $   239944423  $   160067202  $   155183737  $       0      $       0      $      97      $           0  $              $0.578590      $6291113.000000      $15.310511 $10.213660 $9.902054 $     1.50  $     1.03  
51932 $  6015   $  3353063129  $  9093059163     $      103190  $   105294427  $   105333127  $   103551590  $      47      $       0      $      97      $           0  $              $0.368750      $103190.000000      $6.725392 $6.727864 $6.614074 $     1.00  $     1.02  
51930 $  6016   $  3172371035  $  9087403286     $     3215884  $   139247200  $    93081554  $    91753182  $       0      $       0      $      97      $           0  $              $0.349095      $3215884.000000      $8.885165 $5.939401 $5.854640 $     1.50  $     1.01  
