PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
52548 $  1003   $  3299545688  $  8798986983     $    11858986  $   368674370  $   364670631  $     5114213  $      49      $       0      $      97      $           0  $              $0.374992      $11858986.000000      $23.524586 $23.269114 $0.326331 $     1.01  $    71.31  
52546 $  1003   $ 21297487105  $  8818138046     $     7285540  $   345288573  $   422324944  $     4285026  $       0      $       0      $      97      $           0  $              $2.415191      $7285540.000000      $22.032372 $26.947952 $0.273421 $     0.82  $    98.56  
52544 $  1003   $  3614947079  $  7852677016     $      108814  $    40017641  $    36425392  $    30316331  $      49      $       0      $      97      $           0  $              $0.460346      $108814.000000      $2.553468 $2.324252 $1.934442 $     1.10  $     1.20  
52542 $  1003   $ 17057523566  $  8921250168     $     3255199  $   373353753  $   337981642  $    65225453  $       0      $       0      $      97      $           0  $              $1.912011      $3255199.000000      $23.823172 $21.566126 $4.161943 $     1.10  $     5.18  
52548 $  2005   $  3410998562  $  9154620253     $    12419297  $   385366206  $   381182097  $     4871445  $      51      $       0      $      97      $           0  $              $0.372599      $12419297.000000      $24.614208 $24.346962 $0.311150 $     1.01  $    78.25  
52546 $  2005   $ 22089216214  $  9120596227     $     7459177  $   357519781  $   434815541  $     4010267  $       0      $       0      $      97      $           0  $              $2.421905      $7459177.000000      $22.835594 $27.772650 $0.256145 $     0.82  $   108.43  
52544 $  2005   $  4200282777  $  9022577328     $       39962  $    47022092  $    42764068  $    35387887  $      50      $       0      $      97      $           0  $              $0.465530      $39962.000000      $3.003407 $2.731437 $2.260304 $     1.10  $     1.21  
52542 $  2006   $ 17595999901  $  9113443452     $     3373498  $   386335570  $   349441055  $    68424387  $       0      $       0      $      97      $           0  $              $1.930774      $3373498.000000      $24.651524 $22.297335 $4.366062 $     1.11  $     5.11  
52548 $  3007   $  3431012099  $  9147285902     $    12338805  $   383020404  $   378834241  $     5234353  $      51      $       0      $      97      $           0  $              $0.375085      $12338805.000000      $24.464378 $24.196997 $0.334330 $     1.01  $    72.37  
52546 $  3008   $ 21921773552  $  9114378987     $     7552829  $   354875223  $   433933085  $     4246509  $       0      $       0      $      97      $           0  $              $2.405185      $7552829.000000      $22.644083 $27.688652 $0.270964 $     0.82  $   102.19  
52544 $  3007   $  4151339457  $  9025733492     $       39122  $    45227897  $    41303889  $    34523713  $      50      $       0      $      97      $           0  $              $0.459945      $39122.000000      $2.888808 $2.638172 $2.205107 $     1.10  $     1.20  
52542 $  3008   $ 17607656963  $  9110418916     $     3367589  $   386564544  $   349646843  $    68367640  $       0      $       0      $      97      $           0  $              $1.932695      $3367589.000000      $24.690750 $22.332733 $4.366796 $     1.11  $     5.11  
52548 $  4009   $  3412012287  $  9159010217     $    12415287  $   385550154  $   381303938  $     4865860  $      51      $       0      $      97      $           0  $              $0.372531      $12415287.000000      $24.625957 $24.354742 $0.310793 $     1.01  $    78.36  
52546 $  4010   $ 22070814098  $  9125983009     $     7545257  $   357503121  $   438184033  $     3973707  $       0      $       0      $      97      $           0  $              $2.418459      $7545257.000000      $22.834532 $27.987803 $0.253810 $     0.82  $   110.27  
52544 $  4009   $  4201526136  $  9023197670     $       39458  $    47025077  $    42764208  $    35398870  $      50      $       0      $      97      $           0  $              $0.465636      $39458.000000      $3.003598 $2.731447 $2.261006 $     1.10  $     1.21  
52542 $  4010   $ 17600166939  $  9114343979     $     3365546  $   386375961  $   349478498  $    68467625  $       0      $       0      $      97      $           0  $              $1.931040      $3365546.000000      $24.678705 $22.321980 $4.373181 $     1.11  $     5.10  
52548 $  5011   $  3411735420  $  9158886699     $    12424851  $   385437498  $   381260952  $     4857008  $      51      $       0      $      97      $           0  $              $0.372505      $12424851.000000      $24.618763 $24.351997 $0.310228 $     1.01  $    78.50  
52546 $  5012   $ 22075018712  $  9126240826     $     7494918  $   357450916  $   435967672  $     3919245  $       0      $       0      $      97      $           0  $              $2.418851      $7494918.000000      $22.831196 $27.846239 $0.250331 $     0.82  $   111.24  
52544 $  5012   $  4153158701  $  9031163270     $       38656  $    45246972  $    41327323  $    34531034  $      50      $       0      $      97      $           0  $              $0.459870      $38656.000000      $2.887145 $2.637038 $2.203376 $     1.09  $     1.20  
52542 $  5013   $ 17555142051  $  9116168525     $     3358682  $   385281170  $   348542403  $    68468768  $       0      $       0      $      97      $           0  $              $1.925715      $3358682.000000      $24.584244 $22.239994 $4.368895 $     1.11  $     5.09  
52548 $  6014   $  3433647778  $  9150351857     $    12338212  $   383282104  $   379086857  $     5213645  $      51      $       0      $      97      $           0  $              $0.375248      $12338212.000000      $24.456686 $24.188992 $0.332675 $     1.01  $    72.71  
52546 $  6015   $ 22087580137  $  9124177049     $     7498755  $   357610964  $   435259621  $     4107663  $       0      $       0      $      97      $           0  $              $2.420775      $7498755.000000      $22.818647 $27.773296 $0.262104 $     0.82  $   105.96  
52544 $  6014   $  4201359680  $  9023249535     $       39802  $    47030130  $    42781483  $    35396536  $      50      $       0      $      97      $           0  $              $0.465615      $39802.000000      $3.003920 $2.732550 $2.260857 $     1.10  $     1.21  
52542 $  6015   $ 17599318447  $  9114580266     $     3371100  $   386391392  $   349499527  $    68428777  $       0      $       0      $      97      $           0  $              $1.930897      $3371100.000000      $24.679689 $22.323322 $4.370700 $     1.11  $     5.11  
52548 $  7016   $  3410082981  $  9153596744     $    12402577  $   385329541  $   381087628  $     4873292  $      51      $       0      $      97      $           0  $              $0.372540      $12402577.000000      $24.611866 $24.340925 $0.311268 $     1.01  $    78.20  
52546 $  7017   $ 22055166975  $  9119790338     $     7502812  $   357032123  $   435349478  $     3957377  $       0      $       0      $      97      $           0  $              $2.418385      $7502812.000000      $22.804447 $27.806753 $0.252767 $     0.82  $   110.01  
52544 $  7016   $  4199494413  $  9018794969     $       39982  $    47007561  $    42757110  $    35381503  $      50      $       0      $      97      $           0  $              $0.465638      $39982.000000      $3.002479 $2.730993 $2.259897 $     1.10  $     1.21  
52542 $  7017   $ 17593432673  $  9110351509     $     3367826  $   386225829  $   349363123  $    68323252  $       0      $       0      $      97      $           0  $              $1.931147      $3367826.000000      $24.669115 $22.314611 $4.363960 $     1.11  $     5.11  
52548 $  8018   $  3412038370  $  9158586905     $    12422125  $   385458237  $   381303437  $     4879270  $      51      $       0      $      97      $           0  $              $0.372551      $12422125.000000      $24.620087 $24.354710 $0.311650 $     1.01  $    78.15  
52546 $  8019   $ 22074430867  $  9125388982     $     7496787  $   357320814  $   435927342  $     4008136  $       0      $       0      $      97      $           0  $              $2.419013      $7496787.000000      $22.822886 $27.843662 $0.256009 $     0.82  $   108.76  
52542 $  8018   $ 17794895934  $  9199905008     $     3396003  $   390101515  $   353359742  $    65428327  $       0      $       0      $      97      $           0  $              $1.934248      $3396003.000000      $24.941555 $22.592432 $4.183230 $     1.10  $     5.40  
52544 $  8018   $  3630884753  $  7845492266     $      144958  $    39999426  $    36471615  $    30280364  $      49      $       0      $      97      $           0  $              $0.462799      $144958.000000      $2.554853 $2.329524 $1.934075 $     1.10  $     1.20  
52542 $  8147   $  2433196406  $  1210560777     $      456358  $    52964867  $    48402628  $     5399679  $       0      $       0      $      97      $           0  $              $2.009974      $456358.000000      $26.277143 $24.013706 $2.678910 $     1.09  $     8.96  
52548 $  8019   $     1354044  $     3718379     $        4918  $      153000  $      151364  $        4189  $       0      $       0      $      97      $           0  $              $0.364149      $4918.000000      $9.792000 $9.687296 $0.268096 $     1.01  $    36.13  
52546 $  8021   $     4909857  $     2127718     $         930  $       79130  $       94946  $       17776  $       0      $       0      $      97      $           0  $              $2.307570      $930.000000      $2.532160 $3.038272 $0.568832 $     0.83  $     5.34  
52548 $  9021   $  3434137950  $  9152080630     $    12321324  $   383402281  $   379213394  $     5218411  $      51      $       0      $      97      $           0  $              $0.375230      $12321324.000000      $24.488768 $24.221216 $0.333312 $     1.01  $    72.67  
52546 $  9023   $ 22067005690  $  9126094555     $     7495355  $   357164486  $   435637200  $     4030569  $       0      $       0      $      97      $           0  $              $2.418012      $7495355.000000      $22.812901 $27.825130 $0.257442 $     0.82  $   108.08  
52542 $  9150   $ 19476603777  $  9740473265     $     3669423  $   423633391  $   387075029  $    43888887  $      39      $       0      $      97      $           0  $              $1.999554      $3669423.000000      $27.031443 $24.698706 $2.800487 $     1.09  $     8.82  
52548 $ 10023   $  3412587991  $  9158419046     $    12418681  $   385559567  $   381368050  $     4888714  $      51      $       0      $      97      $           0  $              $0.372618      $12418681.000000      $24.626558 $24.358839 $0.312253 $     1.01  $    78.01  
52546 $ 10025   $ 22089520443  $  9125518128     $     7475166  $   357548224  $   436036619  $     4035824  $       0      $       0      $      97      $           0  $              $2.420632      $7475166.000000      $22.837412 $27.850641 $0.257777 $     0.82  $   108.04  
52572 $  1003   $  3615742390  $  7847848051     $      102622  $    40002686  $    36413348  $    30311026  $      48      $       0      $      97      $           0  $              $0.460730      $102622.000000      $2.552515 $2.323484 $1.934103 $     1.10  $     1.20  
52542 $ 10153   $ 17198254175  $  8906067067     $     3180778  $   376603854  $   341012565  $    67492896  $       0      $       0      $      97      $           0  $              $1.931072      $3180778.000000      $24.030554 $21.759527 $4.306625 $     1.10  $     5.05  
52548 $ 11025   $  3411228180  $  9154969736     $    12416672  $   385380495  $   381205670  $     4882896  $      51      $       0      $      97      $           0  $              $0.372609      $12416672.000000      $24.615120 $24.348465 $0.311882 $     1.01  $    78.07  
52546 $ 11027   $ 22088058684  $  9120929343     $     7483009  $   357511680  $   435867540  $     3961623  $       0      $       0      $      97      $           0  $              $2.421689      $7483009.000000      $22.835077 $27.839844 $0.253038 $     0.82  $   110.02  
52572 $  2005   $  4206662167  $  9027248765     $       40439  $    47036913  $    42765339  $    35417657  $      50      $       0      $      97      $           0  $              $0.465996      $40439.000000      $3.004354 $2.731519 $2.262206 $     1.10  $     1.21  
52542 $ 11155   $ 17572203628  $  9119061403     $     3358273  $   385664157  $   348858630  $    68690962  $       0      $       0      $      97      $           0  $              $1.926975      $3358273.000000      $24.633240 $22.282387 $4.387446 $     1.11  $     5.08  
52548 $ 12027   $  3434442202  $  9152643768     $    12343596  $   383325514  $   379174045  $     5246102  $      51      $       0      $      97      $           0  $              $0.375240      $12343596.000000      $24.483864 $24.218702 $0.335080 $     1.01  $    72.28  
52546 $ 12029   $ 22108190517  $  9126384704     $     7464496  $   357931173  $   435926087  $     4217623  $       0      $       0      $      97      $           0  $              $2.422448      $7464496.000000      $22.861872 $27.843582 $0.269389 $     0.82  $   103.36  
52572 $  3008   $  4158152297  $  9036620621     $       37809  $    45253170  $    41330090  $    34556729  $      50      $       0      $      97      $           0  $              $0.460145      $37809.000000      $2.887540 $2.637214 $2.205016 $     1.09  $     1.20  
52542 $ 12158   $ 17653078327  $  9121697367     $     3380482  $   387515217  $   350566374  $    68582938  $       0      $       0      $      97      $           0  $              $1.935284      $3380482.000000      $24.726795 $22.369141 $4.376179 $     1.11  $     5.11  
52548 $ 13029   $  3412945198  $  9158887289     $    12417089  $   385643559  $   381409124  $     4899512  $      51      $       0      $      97      $           0  $              $0.372638      $12417089.000000      $24.631924 $24.361462 $0.312943 $     1.01  $    77.85  
52546 $ 13031   $ 22094642919  $  9125643714     $     7468938  $   357605739  $   435230922  $     4046467  $       0      $       0      $      97      $           0  $              $2.421160      $7468938.000000      $22.841084 $27.799179 $0.258457 $     0.82  $   107.56  
52572 $  4010   $  4206084129  $  9030981456     $       39448  $    47018128  $    42726900  $    35412700  $      50      $       0      $      97      $           0  $              $0.465739      $39448.000000      $3.003154 $2.729064 $2.261889 $     1.10  $     1.21  
52542 $ 13160   $ 17640113347  $  9122944157     $     3376113  $   387284004  $   350288955  $    68609656  $       0      $       0      $      97      $           0  $              $1.933599      $3376113.000000      $24.736702 $22.373747 $4.382254 $     1.11  $     5.11  
52548 $ 13910   $  3015849574  $  8093117680     $    10966712  $   340650966  $   337019165  $     4063907  $      43      $       0      $      97      $           0  $              $0.372644      $10966712.000000      $24.746496 $24.482664 $0.295221 $     1.01  $    82.93  
52546 $ 13912   $ 17866200275  $  7391775418     $     6040824  $   289022471  $   350917588  $     3309657  $       0      $       0      $      97      $           0  $              $2.417038      $6040824.000000      $20.995956 $25.492311 $0.240429 $     0.82  $   106.03  
52548 $ 14098   $   671668709  $  1795483309     $     2421504  $    75722395  $    75039418  $       44432  $       6      $       0      $      97      $           0  $              $0.374088      $2421504.000000      $25.777836 $25.545334 $0.015126 $     1.01  $  1688.86  
52572 $  4012   $     1550750  $     3941171     $           7  $       12887  $       12811  $       12466  $       0      $       0      $      97      $           0  $              $0.393474      $7.000000      $0.412384 $0.409952 $0.398912 $     1.01  $     1.03  
52542 $ 13162   $     4489364  $     2227063     $         601  $       98667  $       89077  $       16918  $       0      $       0      $      97      $           0  $              $2.015823      $601.000000      $3.157344 $2.850464 $0.541376 $     1.11  $     5.27  
52572 $  5014   $  4170105080  $  9018495762     $       41538  $    45403447  $    41579507  $    34593504  $      50      $       0      $      97      $           0  $              $0.462395      $41538.000000      $2.900021 $2.655777 $2.209565 $     1.09  $     1.20  
52542 $ 14164   $ 17633873206  $  9109994676     $     3373795  $   387095855  $   350169727  $    68398890  $       0      $       0      $      97      $           0  $              $1.935662      $3373795.000000      $24.724684 $22.366131 $4.368791 $     1.11  $     5.12  
52587 $   271   $  5201347790  $  2285770707     $     1788086  $    84975757  $   106207391  $     5105481  $       0      $       0      $      65      $           0  $              $2.275533      $1788086.000000      $20.068077 $25.082188 $1.205722 $     0.80  $    20.80  
52548 $ 14369   $   578178330  $  1559243090     $     2168264  $    64835691  $    64092401  $      862224  $      12      $       0      $      97      $           0  $              $0.370807      $2168264.000000      $15.311750 $15.136212 $0.203625 $     1.01  $    74.33  
52587 $  1101   $ 18452418842  $  7884527722     $     5596549  $   298924984  $   360557947  $    14275321  $       0      $       0      $      65      $           0  $              $2.340333      $5596549.000000      $23.049639 $27.802059 $1.100748 $     0.83  $    25.26  
52572 $  5016   $     3456870  $     5046493     $          60  $      103707  $       91714  $       65401  $       0      $       0      $      97      $           0  $              $0.685004      $60.000000      $3.318624 $2.934848 $2.092832 $     1.13  $     1.40  
52542 $ 14166   $     3334166  $     2724052     $         624  $       74749  $       66085  $       16374  $       0      $       0      $      97      $           0  $              $1.223973      $624.000000      $2.391968 $2.114720 $0.523968 $     1.13  $     4.04  
52572 $  6018   $  4179663941  $  9036507440     $       38815  $    46337978  $    41986282  $    35051066  $      50      $       0      $      97      $           0  $              $0.462531      $38815.000000      $2.959711 $2.681758 $2.238791 $     1.10  $     1.20  
52542 $ 15169   $ 17588193756  $  9120984070     $     3361312  $   386014408  $   349188949  $    68608838  $       0      $       0      $      97      $           0  $              $1.928322      $3361312.000000      $24.631029 $22.281250 $4.377832 $     1.11  $     5.09  
52592 $  1003   $  3316137900  $  8872828962     $    11323502  $   371245900  $   365740274  $     5823972  $      51      $       0      $      65      $           0  $              $0.373741      $11323502.000000      $23.688671 $23.337366 $0.371619 $     1.02  $    62.80  
52587 $  2104   $ 20930257600  $  9119924797     $     6625142  $   339040908  $   408113066  $    23035863  $       0      $       0      $      65      $           0  $              $2.295003      $6625142.000000      $21.633717 $26.041113 $1.469886 $     0.83  $    17.72  
52572 $  6757   $  3109115421  $  6649837147     $       29968  $    34943156  $    31719156  $    26268328  $      37      $       0      $      97      $           0  $              $0.467548      $29968.000000      $3.026200 $2.746990 $2.274930 $     1.10  $     1.21  
52542 $ 15908   $ 12451507512  $  6610175515     $     2393237  $   271167036  $   245278548  $    47802046  $       0      $       0      $      97      $           0  $              $1.883688      $2393237.000000      $23.484020 $21.241985 $4.139825 $     1.11  $     5.13  
52572 $  6762   $        4922  $      112096     $       17640  $         298  $         753  $           0  $       0      $       0      $      97      $           0  $              $0.043909      $17640.000000      $0.003814 $0.009638 $0.000000 $     0.40  $      inf  
52587 $  3851   $           0  $           0     $        6481  $           0  $           0  $           0  $       0      $       0      $      65      $           0  $              $-nan      $6481.000000      $0.000000 $0.000000 $0.000000 $     0.00  $     0.00  
52572 $  6764   $           0  $           0     $        5998  $           0  $           0  $           0  $       0      $       0      $      97      $           0  $              $-nan      $5998.000000      $0.000000 $0.000000 $0.000000 $     0.00  $     0.00  
52592 $  2752   $           0  $           0     $        5998  $           0  $           0  $           0  $       0      $       0      $      65      $           0  $              $-nan      $5998.000000      $0.000000 $0.000000 $0.000000 $     0.00  $     0.00  
