PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
29223 $  1004   $  3385405783  $  8963833375     $    10940172  $   374239504  $   367406415  $     2902568  $      33      $       0      $      97      $           0  $              $0.377674      $10940172.000000      $23.855904 $23.420328 $0.185024 $     1.02  $   126.58  
29223 $  2007   $  3530817765  $  9421290837     $    11573230  $   401222373  $   393486986  $     2729120  $      34      $       0      $      97      $           0  $              $0.374770      $11573230.000000      $25.601427 $25.107843 $0.174141 $     1.02  $   144.18  
29223 $  3010   $  3564914893  $  9640244191     $    11561684  $   413197642  $   405989611  $     2623524  $      34      $       0      $      97      $           0  $              $0.369795      $11561684.000000      $26.365551 $25.905617 $0.167403 $     1.02  $   154.75  
29223 $  4013   $  3243151468  $  9232209201     $    10227509  $   411152609  $   407015190  $     1952222  $      33      $       0      $      97      $           0  $              $0.351287      $10227509.000000      $26.235062 $25.971060 $0.124568 $     1.01  $   208.49  
29223 $  5016   $  3304142672  $  9405752154     $    10328657  $   419286425  $   414822276  $     2219500  $      33      $       0      $      97      $           0  $              $0.351290      $10328657.000000      $26.754070 $26.469217 $0.141623 $     1.01  $   186.90  
29223 $  6019   $  3386192137  $  9235144297     $    10798743  $   397599780  $   391470088  $     3115300  $      33      $       0      $      97      $           0  $              $0.366664      $10798743.000000      $25.370275 $24.979147 $0.198783 $     1.02  $   125.66  
29223 $  7022   $  3620111162  $  9659550991     $    11854022  $   411484960  $   403502397  $     3051693  $      34      $       0      $      97      $           0  $              $0.374770      $11854022.000000      $26.256269 $25.746912 $0.194724 $     1.02  $   132.22  
29223 $  8025   $  3462891245  $  9237608396     $    11300171  $   393564973  $   385959103  $     3253810  $      34      $       0      $      97      $           0  $              $0.374869      $11300171.000000      $25.112820 $24.627501 $0.207621 $     1.02  $   118.62  
29223 $  9028   $  3281921538  $  9237088640     $    10417693  $   406938298  $   402280312  $     2145717  $      33      $       0      $      97      $           0  $              $0.355298      $10417693.000000      $25.966152 $25.668934 $0.136915 $     1.01  $   187.48  
29223 $ 10030   $  3244475133  $  9234897015     $    10216585  $   411378656  $   407202760  $     2000486  $      33      $       0      $      97      $           0  $              $0.351328      $10216585.000000      $26.275682 $26.008959 $0.127776 $     1.01  $   203.55  
