PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
29623 $  1003   $  5304659928  $  9510218426     $     6019231  $   235337154  $   156663157  $   152893736  $      34      $       0      $      97      $           0  $              $0.557785      $6019231.000000      $15.016528 $9.996452 $9.755931 $     1.50  $     1.02  
29623 $  2007   $  5483075884  $  9132076911     $     6359539  $   250264110  $   166457210  $   162457408  $      34      $       0      $      97      $           0  $              $0.600419      $6359539.000000      $15.953091 $10.610819 $10.355851 $     1.50  $     1.02  
29623 $  3010   $  5464066414  $  9132892092     $     6313043  $   248219760  $   165288250  $   161319742  $      34      $       0      $      97      $           0  $              $0.598284      $6313043.000000      $15.838549 $10.546808 $10.293583 $     1.50  $     1.02  
29623 $  4013   $  5441475279  $  9133658038     $     6237460  $   245381377  $   163479228  $   159534747  $      34      $       0      $      97      $           0  $              $0.595761      $6237460.000000      $15.657435 $10.431376 $10.179685 $     1.50  $     1.02  
29623 $  5016   $  5519043242  $  9803993839     $     6336878  $   250208731  $   166402861  $   162435280  $      35      $       0      $      97      $           0  $              $0.562938      $6336878.000000      $15.965463 $10.617929 $10.364763 $     1.50  $     1.02  
29623 $  6019   $  5500064800  $  9425470647     $     6397472  $   251014540  $   167125754  $   163125712  $      35      $       0      $      97      $           0  $              $0.583532      $6397472.000000      $16.016880 $10.664057 $10.408819 $     1.50  $     1.02  
29623 $  7022   $  5503060933  $  9467793314     $     6404978  $   251068485  $   167171354  $   163191017  $      34      $       0      $      97      $           0  $              $0.581240      $6404978.000000      $16.020321 $10.666966 $10.412987 $     1.50  $     1.02  
29623 $  8025   $  5470760676  $  9131652798     $     6328338  $   249457764  $   165747056  $   161792363  $      36      $       0      $      97      $           0  $              $0.599099      $6328338.000000      $15.917544 $10.576083 $10.323740 $     1.51  $     1.02  
29623 $  9028   $  5539917957  $  9863531892     $     6476908  $   252847914  $   168511739  $   164543265  $      35      $       0      $      97      $           0  $              $0.561657      $6476908.000000      $16.133865 $10.752494 $10.499271 $     1.50  $     1.02  
29623 $ 10032   $  5459424416  $  9131951629     $     6363867  $   248904393  $   165716511  $   161754965  $      36      $       0      $      97      $           0  $              $0.597838      $6363867.000000      $15.866416 $10.563602 $10.311073 $     1.50  $     1.02  
29623 $ 11035   $  5466369262  $  9131537613     $     6346032  $   249236966  $   165766873  $   161801714  $      36      $       0      $      97      $           0  $              $0.598625      $6346032.000000      $15.903455 $10.577349 $10.324337 $     1.50  $     1.02  
29623 $ 12039   $  5459970917  $  9131404236     $     6368471  $   248906910  $   165734764  $   161783549  $      34      $       0      $      97      $           0  $              $0.597933      $6368471.000000      $15.866576 $10.564766 $10.312896 $     1.50  $     1.02  
