PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
47450 $  1003   $ 16977497307  $  8911200520     $     9733653  $   377464406  $   501313434  $     2403750  $      48      $       0      $      97      $           0  $              $1.905186      $9733653.000000      $24.085466 $31.988096 $0.153380 $     0.75  $   208.55  
47448 $  1003   $  3346092851  $  8884165501     $    11590566  $   368398253  $   362619099  $     2454508  $       0      $       0      $      97      $           0  $              $0.376636      $11590566.000000      $23.506966 $23.138208 $0.156619 $     1.02  $   147.74  
47450 $  2005   $ 17605545051  $  9168955432     $     9982508  $   391422550  $   518443729  $     1978268  $      49      $       0      $      97      $           0  $              $1.920126      $9982508.000000      $25.001041 $33.114170 $0.126356 $     0.75  $   262.07  
47448 $  2005   $  3428005257  $  9161206243     $    12172300  $   387912065  $   381716519  $     2056034  $       0      $       0      $      97      $           0  $              $0.374187      $12172300.000000      $24.776819 $24.381094 $0.131324 $     1.02  $   185.66  
47450 $  3007   $ 17593596997  $  9170556612     $    10054157  $   391471808  $   519203505  $     2020871  $      49      $       0      $      97      $           0  $              $1.918487      $10054157.000000      $25.004187 $33.162701 $0.129078 $     0.75  $   256.92  
47448 $  3007   $  3400890189  $  9163048330     $    11998642  $   389515812  $   383743426  $     2051917  $       0      $       0      $      97      $           0  $              $0.371153      $11998642.000000      $24.879253 $24.510557 $0.131061 $     1.02  $   187.02  
47450 $  4009   $ 17640820084  $  9180337864     $    10071083  $   392166827  $   520971800  $     1948085  $      48      $       0      $      97      $           0  $              $1.921587      $10071083.000000      $25.048578 $33.275646 $0.124429 $     0.75  $   267.43  
47448 $  4009   $  3222726768  $  9178563026     $    10847014  $   407259203  $   403840998  $     1597106  $       0      $       0      $      97      $           0  $              $0.351115      $10847014.000000      $26.012564 $25.794235 $0.102011 $     1.01  $   252.86  
47450 $  5011   $ 17636083472  $  9178433396     $    10013951  $   391800892  $   517674527  $     2127013  $      48      $       0      $      97      $           0  $              $1.921470      $10013951.000000      $25.025208 $33.065041 $0.135857 $     0.76  $   243.38  
47448 $  5011   $  3222523979  $  9177375634     $    10853197  $   407270727  $   403854110  $     1690615  $       0      $       0      $      97      $           0  $              $0.351138      $10853197.000000      $26.013300 $25.795073 $0.107983 $     1.01  $   238.88  
47450 $  6014   $ 17621989608  $  9173973928     $     9990590  $   391314419  $   517862174  $     2115664  $      48      $       0      $      97      $           0  $              $1.920868      $9990590.000000      $24.969215 $33.044048 $0.134998 $     0.76  $   244.78  
47448 $  6014   $  3332395962  $  9173144864     $    11400598  $   395330570  $   390728253  $     2488986  $       0      $       0      $      97      $           0  $              $0.363277      $11400598.000000      $25.225479 $24.931812 $0.158819 $     1.01  $   156.98  
47448 $  6313   $  1044304276  $  2787267133     $     3705056  $   117991344  $   116297977  $      438996  $       0      $       0      $      97      $           0  $              $0.374670      $3705056.000000      $25.255672 $24.893211 $0.093966 $     1.01  $   264.92  
47450 $  6313   $  3474882675  $  1912358770     $     1950801  $    75671321  $    99470478  $      389143  $      13      $       0      $      97      $           0  $              $1.817066      $1950801.000000      $16.197206 $21.291340 $0.083295 $     0.76  $   255.61  
47448 $  7100   $  2826910621  $  7538550560     $     9949927  $   318922001  $   314673635  $      212475  $       0      $       0      $      97      $           0  $              $0.374994      $9949927.000000      $25.935209 $25.589724 $0.017279 $     1.01  $  1480.99  
47448 $  7102   $      509364  $     1374167     $        1748  $       57352  $       56733  $          27  $       0      $       0      $      97      $           0  $              $0.370671      $1748.000000      $1.835264 $1.815456 $0.000864 $     1.01  $  2101.22  
47448 $  8104   $  3361681176  $  8991996792     $    11916856  $   380560345  $   374398491  $     3243879  $      48      $       0      $      97      $           0  $              $0.373853      $11916856.000000      $24.307247 $23.913677 $0.207194 $     1.02  $   115.42  
47468 $  1002   $ 17122433461  $  8992200198     $     9748691  $   380972245  $   505426745  $     3147825  $       0      $       0      $      97      $           0  $              $1.904143      $9748691.000000      $24.333557 $32.282745 $0.201059 $     0.75  $   160.56  
47468 $  2004   $ 17507318710  $  9121895663     $     9921680  $   389140185  $   514883958  $     2347955  $      48      $       0      $      97      $           0  $              $1.919263      $9921680.000000      $24.855261 $32.886799 $0.149969 $     0.76  $   219.29  
47448 $  9106   $  3225025120  $  9020766477     $    10696202  $   390329340  $   385948637  $     2466741  $       0      $       0      $      97      $           0  $              $0.357511      $10696202.000000      $24.931215 $24.651411 $0.157556 $     1.01  $   156.46  
47468 $  3006   $ 17587355109  $  9174901342     $    10083032  $   391362252  $   518838523  $     2573068  $      48      $       0      $      97      $           0  $              $1.916898      $10083032.000000      $24.997189 $33.139385 $0.164348 $     0.75  $   201.64  
47448 $ 10108   $  3216373358  $  9171296625     $    10633506  $   407053845  $   403192582  $     2419683  $       0      $       0      $      97      $           0  $              $0.350700      $10633506.000000      $25.999449 $25.752819 $0.154551 $     1.01  $   166.63  
47468 $  3981   $ 17117125624  $  8920607560     $     9648447  $   380377416  $   503013583  $     2477440  $      47      $       0      $      97      $           0  $              $1.918830      $9648447.000000      $24.968363 $33.018326 $0.162622 $     0.76  $   203.04  
47448 $ 11083   $  3123511540  $  8897979646     $    10290342  $   392736144  $   389092851  $     2335552  $       0      $       0      $      97      $           0  $              $0.351036      $10290342.000000      $25.779602 $25.540455 $0.153308 $     1.01  $   166.60  
