PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
49260 $  1003   $  6829971879  $  9173545522     $      126964  $    16707998  $    18450476  $       40418  $      32      $       0      $      97      $           0  $              $0.744529      $126964.000000      $1.066113 $1.177299 $0.002579 $     0.91  $   456.49  
49258 $  1004   $  4833842643  $  2261947080     $      445106  $      613525  $      654262  $        1580  $       0      $       0      $      97      $           0  $              $2.137027      $445106.000000      $0.039109 $0.041706 $0.000101 $     0.94  $   414.09  
49260 $  2006   $  7027204025  $  9431263245     $      128149  $    17287629  $    19176396  $        6361  $      33      $       0      $      97      $           0  $              $0.745097      $128149.000000      $1.103099 $1.223619 $0.000406 $     0.90  $  3014.68  
49258 $  2007   $  4955542905  $  2324456463     $      694968  $      628613  $      665159  $        1639  $       0      $       0      $      97      $           0  $              $2.131915      $694968.000000      $0.040111 $0.042443 $0.000105 $     0.95  $   405.83  
49260 $  3009   $  7103048599  $  9540256391     $      129307  $    17723105  $    19820971  $        4774  $      34      $       0      $      97      $           0  $              $0.744534      $129307.000000      $1.130886 $1.264748 $0.000305 $     0.89  $  4151.86  
49258 $  3010   $  5008227335  $  2351312057     $      693954  $      635120  $      672000  $        1501  $       0      $       0      $      97      $           0  $              $2.129971      $693954.000000      $0.040526 $0.042879 $0.000096 $     0.95  $   447.70  
49260 $  4012   $  7049585028  $  9461925148     $      128997  $    17263916  $    19098979  $        4556  $      33      $       0      $      97      $           0  $              $0.745048      $128997.000000      $1.101586 $1.218679 $0.000291 $     0.90  $  4192.05  
49258 $  4013   $  4971469913  $  2331946078     $      686434  $      630611  $      669634  $        2293  $       0      $       0      $      97      $           0  $              $2.131897      $686434.000000      $0.040238 $0.042728 $0.000146 $     0.94  $   292.03  
49260 $  5015   $  6871649944  $  9205024071     $      126599  $    16458455  $    17986427  $        4116  $      33      $       0      $      97      $           0  $              $0.746511      $126599.000000      $1.050191 $1.147688 $0.000263 $     0.92  $  4369.88  
49258 $  5016   $  4848565683  $  2269378306     $      685035  $      615223  $      650000  $        2547  $       0      $       0      $      97      $           0  $              $2.136517      $685035.000000      $0.039257 $0.041476 $0.000163 $     0.95  $   255.20  
49260 $  6018   $  6853706085  $  9205358925     $      126337  $    16657238  $    18324422  $        4144  $      33      $       0      $      97      $           0  $              $0.744534      $126337.000000      $1.062875 $1.169255 $0.000264 $     0.91  $  4421.92  
49258 $  6019   $  4838023915  $  2269419538     $      681465  $      613303  $      647999  $        3285  $       0      $       0      $      97      $           0  $              $2.131833      $681465.000000      $0.039134 $0.041348 $0.000210 $     0.95  $   197.26  
49260 $  7021   $  6859089722  $  9205111254     $      127673  $    16866491  $    18674988  $        4086  $      33      $       0      $      97      $           0  $              $0.745139      $127673.000000      $1.076227 $1.191624 $0.000261 $     0.90  $  4570.48  
49258 $  7022   $  4837820715  $  2269122556     $      682585  $      616472  $      652490  $        3348  $       0      $       0      $      97      $           0  $              $2.132023      $682585.000000      $0.039336 $0.041634 $0.000214 $     0.94  $   194.89  
49260 $  8024   $  7057739638  $  9467208928     $      127747  $    16918194  $    18489591  $        4076  $      33      $       0      $      97      $           0  $              $0.745493      $127747.000000      $1.079526 $1.179795 $0.000260 $     0.92  $  4536.21  
49258 $  8025   $  4976115473  $  2333488162     $      686186  $      634048  $      672832  $        2604  $       0      $       0      $      97      $           0  $              $2.132480      $686186.000000      $0.040458 $0.042932 $0.000166 $     0.94  $   258.38  
49260 $  9027   $  6866172418  $  9205026675     $      127176  $    16637427  $    18281269  $        3814  $      33      $       0      $      97      $           0  $              $0.745916      $127176.000000      $1.061610 $1.166502 $0.000243 $     0.91  $  4793.20  
49258 $  9028   $  4837419795  $  2269222504     $      684525  $      614007  $      653018  $        2512  $       0      $       0      $      97      $           0  $              $2.131752      $684525.000000      $0.039179 $0.041668 $0.000160 $     0.94  $   259.96  
49260 $ 10029   $  6856502525  $  9205777301     $      127416  $    17002237  $    18929452  $        3980  $      33      $       0      $      97      $           0  $              $0.744804      $127416.000000      $1.085971 $1.209067 $0.000254 $     0.90  $  4756.14  
49258 $ 10031   $  4849335231  $  2269437300     $      687120  $      614821  $      649894  $        2700  $       0      $       0      $      97      $           0  $              $2.136801      $687120.000000      $0.039231 $0.041469 $0.000172 $     0.95  $   240.70  
49258 $ 10386   $  1744976169  $   818686902     $      197352  $      221961  $      235844  $         945  $       0      $       0      $      97      $           0  $              $2.131433      $197352.000000      $0.040016 $0.042518 $0.000170 $     0.94  $   249.57  
49260 $ 10384   $  1636286652  $  2345491004     $       99267  $     3567790  $     3907716  $        1234  $      10      $       0      $      97      $           0  $              $0.697631      $99267.000000      $0.643207 $0.704490 $0.000222 $     0.91  $  3166.71  
49258 $ 11132   $  3726176324  $  1749227068     $      166698  $      471946  $      502724  $          79  $       0      $       0      $      97      $           0  $              $2.130184      $166698.000000      $0.040489 $0.043129 $0.000007 $     0.94  $  6363.59  
49258 $ 11134   $     2543129  $     1210780     $         822  $         332  $         314  $           0  $       0      $       0      $      97      $           0  $              $2.100405      $822.000000      $0.010624 $0.010048 $0.000000 $     1.06  $      inf  
49258 $ 12136   $  5016721955  $  2351812210     $      732897  $      633799  $      673056  $         298  $      32      $       0      $      97      $           0  $              $2.133130      $732897.000000      $0.040482 $0.042990 $0.000019 $     0.94  $  2258.58  
49275 $  1002   $  7094923425  $  9525299976     $      129801  $    17213401  $    19070231  $       34643  $       0      $       0      $      97      $           0  $              $0.744850      $129801.000000      $1.099459 $1.218059 $0.002213 $     0.90  $   550.48  
49275 $  2005   $  6450723214  $  8639396479     $      210991  $    14469641  $    15136385  $        2429  $      32      $       0      $      97      $           0  $              $0.746664      $210991.000000      $0.923287 $0.965831 $0.000155 $     0.96  $  6231.53  
49258 $ 13139   $  4843348335  $  2271173343     $      593326  $      616010  $      655689  $        2296  $       0      $       0      $      97      $           0  $              $2.132531      $593326.000000      $0.039307 $0.041839 $0.000147 $     0.94  $   285.58  
49275 $  3008   $  6872548785  $  9204723539     $      130235  $    15613517  $    16460753  $        1070  $      33      $       0      $      97      $           0  $              $0.746633      $130235.000000      $0.996276 $1.050337 $0.000068 $     0.95  $ 15383.88  
49258 $ 14142   $  4844518971  $  2271696961     $      690486  $      613974  $      648352  $        3176  $       0      $       0      $      97      $           0  $              $2.132555      $690486.000000      $0.039177 $0.041370 $0.000203 $     0.95  $   204.14  
49275 $  4011   $  6883440865  $  9204234665     $      128259  $    14798326  $    15090149  $         890  $      33      $       0      $      97      $           0  $              $0.747856      $128259.000000      $0.944260 $0.962881 $0.000057 $     0.98  $ 16955.22  
49258 $ 15145   $  4853455666  $  2271648074     $      692225  $      618210  $      653262  $        3359  $       0      $       0      $      97      $           0  $              $2.136535      $692225.000000      $0.039447 $0.041684 $0.000214 $     0.95  $   194.48  
49275 $  5014   $  7115922670  $  9516580632     $      129104  $    14925736  $    14968949  $         776  $      33      $       0      $      97      $           0  $              $0.747739      $129104.000000      $0.952390 $0.955147 $0.000050 $     1.00  $ 19289.88  
