PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
52610 $  1003   $  1244698690  $  6937077055     $    76864988  $   244810035  $   243672840  $      694801  $      44      $       0      $      97      $           0  $              $0.179427      $76864992.000000      $15.620979 $15.548416 $0.044334 $     1.00  $   350.71  
52608 $  1003   $  3353003504  $  8917672646     $    12303524  $   374080860  $   370578973  $      976108  $       0      $       0      $      97      $           0  $              $0.375995      $12303524.000000      $23.869566 $23.646116 $0.062284 $     1.01  $   379.65  
52610 $  2005   $  1191962340  $  6442149793     $    70346191  $   222731694  $   221774790  $      140060  $      44      $       0      $      97      $           0  $              $0.185026      $70346192.000000      $14.226376 $14.165256 $0.008946 $     1.00  $  1583.43  
52608 $  2005   $  3468130676  $  9269703224     $    12839041  $   391091765  $   387467017  $      341406  $       0      $       0      $      97      $           0  $              $0.374136      $12839041.000000      $24.979914 $24.748392 $0.021806 $     1.01  $  1134.92  
52610 $  3007   $  1099619094  $  5937907197     $    64913842  $   205576889  $   204667098  $      177134  $      43      $       0      $      97      $           0  $              $0.185186      $64913840.000000      $13.130660 $13.072550 $0.011314 $     1.00  $  1155.44  
52608 $  3007   $  3539341709  $  9394213427     $    12864982  $   393805688  $   390098454  $      670648  $       0      $       0      $      97      $           0  $              $0.376758      $12864982.000000      $25.153257 $24.916470 $0.042836 $     1.01  $   581.67  
52610 $  4009   $   994954655  $  5387169065     $    59045342  $   186349853  $   185626905  $      147853  $      42      $       0      $      97      $           0  $              $0.184690      $59045344.000000      $11.902586 $11.856409 $0.009444 $     1.00  $  1255.48  
52608 $  4009   $  3517751948  $  9403397123     $    12950156  $   396696730  $   393012295  $      338047  $       0      $       0      $      97      $           0  $              $0.374094      $12950156.000000      $25.337915 $25.102581 $0.021592 $     1.01  $  1162.60  
52610 $  5011   $  1234658458  $  6564494413     $    70022922  $   220471402  $   219576928  $       84810  $      44      $       0      $      97      $           0  $              $0.188081      $70022920.000000      $14.082006 $14.024874 $0.005417 $     1.00  $  2589.05  
52608 $  5011   $  3489496591  $  9328055550     $    12915670  $   393484995  $   389854516  $      291545  $       0      $       0      $      97      $           0  $              $0.374086      $12915670.000000      $25.132774 $24.900888 $0.018622 $     1.01  $  1337.20  
52610 $  6013   $  1170105671  $  6582035942     $    73765374  $   234722931  $   233687599  $      168797  $      44      $       0      $      97      $           0  $              $0.177773      $73765376.000000      $14.992283 $14.926154 $0.010781 $     1.00  $  1384.43  
52608 $  6014   $  3475345811  $  9220961739     $    12687697  $   386585566  $   382943951  $      650908  $       0      $       0      $      97      $           0  $              $0.376896      $12687697.000000      $24.667475 $24.435106 $0.041534 $     1.01  $   588.32  
52610 $  7015   $  1093471257  $  6058060439     $    67709465  $   213740402  $   212833271  $      140998  $      43      $       0      $      97      $           0  $              $0.180499      $67709464.000000      $13.652081 $13.594141 $0.009006 $     1.00  $  1509.48  
52608 $  7017   $  3467526525  $  9268758796     $    12826137  $   391032709  $   387400382  $      335728  $       0      $       0      $      97      $           0  $              $0.374109      $12826137.000000      $24.951239 $24.719465 $0.021422 $     1.01  $  1153.91  
52610 $  8017   $  1051995503  $  5662747612     $    61835112  $   195277256  $   194454824  $      142182  $      43      $       0      $      97      $           0  $              $0.185775      $61835112.000000      $12.472798 $12.420268 $0.009081 $     1.00  $  1367.65  
52608 $  8019   $  3517535622  $  9402503337     $    12972384  $   396652749  $   392987186  $      318545  $       0      $       0      $      97      $           0  $              $0.374106      $12972384.000000      $25.335104 $25.100979 $0.020346 $     1.01  $  1233.69  
52610 $  9019   $  1097391761  $  5747291331     $    60441951  $   190124606  $   189395201  $      112202  $      43      $       0      $      97      $           0  $              $0.190941      $60441952.000000      $12.143687 $12.097098 $0.007167 $     1.00  $  1687.98  
52608 $  9022   $  3530616990  $  9370323946     $    12809415  $   392843218  $   389151690  $      619909  $       0      $       0      $      97      $           0  $              $0.376787      $12809415.000000      $25.066767 $24.831213 $0.039556 $     1.01  $   627.76  
52610 $ 10022   $  1215825567  $  6891601227     $    77788107  $   247418785  $   246304698  $      145270  $      45      $       0      $      97      $           0  $              $0.176421      $77788104.000000      $15.787440 $15.716352 $0.009269 $     1.00  $  1695.50  
52608 $ 10025   $  3467820887  $  9269210184     $    12873794  $   391063167  $   387433884  $      345327  $       0      $       0      $      97      $           0  $              $0.374123      $12873794.000000      $24.953184 $24.721603 $0.022035 $     1.01  $  1121.93  
52610 $ 11025   $  1179325249  $  6356810809     $    69241046  $   219534490  $   218567710  $      143120  $      44      $       0      $      97      $           0  $              $0.185522      $69241048.000000      $14.008183 $13.946494 $0.009132 $     1.00  $  1527.16  
52608 $ 11028   $  3467295894  $  9268300788     $    12830474  $   391023166  $   387373886  $      319699  $       0      $       0      $      97      $           0  $              $0.374103      $12830474.000000      $24.950630 $24.717775 $0.020400 $     1.01  $  1211.68  
52610 $ 12028   $  1122252443  $  5939138690     $    63741485  $   202632929  $   201698683  $      173180  $      43      $       0      $      97      $           0  $              $0.188959      $63741484.000000      $12.929718 $12.870106 $0.011050 $     1.00  $  1164.68  
52608 $ 12031   $  3540247632  $  9395442896     $    12867107  $   393791494  $   390114819  $      665054  $       0      $       0      $      97      $           0  $              $0.376805      $12867107.000000      $25.127274 $24.892670 $0.042436 $     1.01  $   586.59  
