PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
50881 $  1003   $ 21221491899  $  8820440798     $     7320715  $   344005223  $   420671546  $     6451487  $      49      $       0      $      97      $           0  $              $2.405945      $7320715.000000      $21.950483 $26.842451 $0.411660 $     0.82  $    65.21  
50879 $  1003   $ 16982096466  $  8911172480     $     9868579  $   376915463  $   499935961  $     2692478  $       0      $       0      $      97      $           0  $              $1.905708      $9868579.000000      $24.050438 $31.900202 $0.171803 $     0.75  $   185.68  
50881 $  2006   $ 22063465311  $  9147177915     $     7502193  $   357057058  $   434163589  $     5915921  $      51      $       0      $      97      $           0  $              $2.412051      $7502193.000000      $22.783302 $27.703360 $0.377486 $     0.82  $    73.39  
50879 $  2005   $ 17623219574  $  9178529616     $    10123911  $   390949762  $   517208383  $     2225351  $       0      $       0      $      97      $           0  $              $1.920048      $10123911.000000      $24.970842 $33.035267 $0.142138 $     0.76  $   232.42  
50881 $  3008   $ 21962812124  $  9141380140     $     7578814  $   355432899  $   432903509  $     6437198  $      51      $       0      $      97      $           0  $              $2.402571      $7578814.000000      $22.702301 $27.650524 $0.411158 $     0.82  $    67.25  
50879 $  3007   $ 17597741976  $  9179215578     $    10193988  $   390766105  $   517581616  $     2376390  $       0      $       0      $      97      $           0  $              $1.917129      $10193988.000000      $24.959112 $33.059105 $0.151785 $     0.75  $   217.80  
50881 $  4010   $ 22059467210  $  9147684631     $     7644074  $   357428165  $   438482086  $     5710782  $      51      $       0      $      97      $           0  $              $2.411481      $7644074.000000      $22.829742 $28.006840 $0.364761 $     0.82  $    76.78  
50879 $  4009   $ 17619685379  $  9179215580     $    10177841  $   390758597  $   518217584  $     2235571  $       0      $       0      $      97      $           0  $              $1.919520      $10177841.000000      $24.958633 $33.099728 $0.142791 $     0.75  $   231.81  
50881 $  5012   $ 22094483688  $  9148238645     $     7546690  $   357836361  $   436664058  $     6016018  $      51      $       0      $      97      $           0  $              $2.415163      $7546690.000000      $22.855814 $27.890718 $0.384257 $     0.82  $    72.58  
50879 $  5011   $ 17626111876  $  9179458666     $    10133833  $   391039843  $   516427155  $     2203370  $       0      $       0      $      97      $           0  $              $1.920169      $10133833.000000      $24.976597 $32.985367 $0.140734 $     0.76  $   234.38  
50881 $  6014   $ 22094660471  $  9147609570     $     7545548  $   357744533  $   435095418  $     6003466  $      51      $       0      $      97      $           0  $              $2.415348      $7545548.000000      $22.849951 $27.790525 $0.383455 $     0.82  $    72.47  
50879 $  6013   $ 17613864828  $  9179103657     $    10109326  $   391169850  $   518152924  $     2332237  $       0      $       0      $      97      $           0  $              $1.918909      $10109326.000000      $24.984901 $33.095596 $0.148965 $     0.75  $   222.17  
50881 $  6346   $  7550281396  $  3117865521     $     2393174  $   121700107  $   145352130  $     1494483  $      15      $       0      $      97      $           0  $              $2.421619      $2393174.000000      $23.460260 $28.019688 $0.288093 $     0.84  $    97.26  
50879 $  6345   $  3462385383  $  1809152164     $     2028818  $    76471768  $   100458481  $      418457  $       0      $       0      $      97      $           0  $              $1.913817      $2028818.000000      $14.741546 $19.365490 $0.080666 $     0.76  $   240.07  
50881 $  7150   $ 18623274429  $  7634534076     $     5991809  $   302016596  $   371354718  $     1074075  $      30      $       0      $      97      $           0  $              $2.439347      $5991809.000000      $24.041122 $29.560575 $0.085499 $     0.81  $   345.74  
50881 $  7152   $    12807541  $     5211412     $        4842  $      207928  $      247427  $         454  $       0      $       0      $      97      $           0  $              $2.457595      $4842.000000      $6.653696 $7.917664 $0.014528 $     0.84  $   544.99  
50881 $  8155   $ 21957425489  $  9138425444     $     7503695  $   355527195  $   432729299  $     7439430  $      51      $       0      $      97      $           0  $              $2.402758      $7503695.000000      $22.685684 $27.611841 $0.474699 $     0.82  $    58.17  
50899 $  1003   $ 17140395094  $  8994707638     $     9763476  $   380839907  $   505093835  $     2570652  $       0      $       0      $      97      $           0  $              $1.905609      $9763476.000000      $24.300852 $32.229317 $0.164030 $     0.75  $   196.48  
50881 $  9157   $ 21965705399  $  9134339123     $     7510524  $   355580323  $   433172118  $     7109612  $      51      $       0      $      97      $           0  $              $2.404739      $7510524.000000      $22.711718 $27.667681 $0.454107 $     0.82  $    60.93  
50899 $  2005   $ 17591637718  $  9163676917     $     9875923  $   390431716  $   516104460  $     2099804  $       0      $       0      $      97      $           0  $              $1.919714      $9875923.000000      $24.937754 $32.964756 $0.134119 $     0.76  $   245.79  
50881 $ 10159   $ 21937168934  $  9139973178     $     7489910  $   354980263  $   432399878  $     7331529  $      51      $       0      $      97      $           0  $              $2.400135      $7489910.000000      $22.673389 $27.618355 $0.468281 $     0.82  $    58.98  
50899 $  3007   $ 17586653390  $  9169931176     $    10089923  $   390778866  $   518509416  $     2186824  $       0      $       0      $      97      $           0  $              $1.917861      $10089923.000000      $24.959929 $33.118366 $0.139677 $     0.75  $   237.11  
50881 $ 11161   $ 21975355188  $  9134423525     $     7508060  $   355791380  $   433245312  $     7134498  $      51      $       0      $      97      $           0  $              $2.405774      $7508060.000000      $22.725199 $27.672356 $0.455696 $     0.82  $    60.73  
50899 $  4009   $ 17599876790  $  9163763566     $     9962804  $   390660638  $   516525025  $     2034670  $       0      $       0      $      97      $           0  $              $1.920595      $9962804.000000      $24.952375 $32.991619 $0.129959 $     0.76  $   253.86  
50881 $ 12164   $ 21981480463  $  9134107436     $     7509755  $   355910656  $   433390072  $     7187567  $      51      $       0      $      97      $           0  $              $2.406528      $7509755.000000      $22.710152 $27.654003 $0.458628 $     0.82  $    60.30  
50899 $  5011   $ 17586781854  $  9163190008     $     9930421  $   390464846  $   515787316  $     2161740  $       0      $       0      $      97      $           0  $              $1.919286      $9930421.000000      $24.939869 $32.944500 $0.138075 $     0.76  $   238.60  
50881 $ 13166   $ 21951089920  $  9134227458     $     7480240  $   355261979  $   432694227  $     7283838  $      51      $       0      $      97      $           0  $              $2.403169      $7480240.000000      $22.691383 $27.637157 $0.465235 $     0.82  $    59.40  
50899 $  6013   $ 17588649629  $  9163486291     $     9916070  $   390778484  $   516819909  $     2201057  $       0      $       0      $      97      $           0  $              $1.919428      $9916070.000000      $24.959904 $33.010452 $0.140586 $     0.76  $   234.81  
50881 $ 13447   $  6261836835  $  2612648082     $     2115133  $   101344106  $   123521784  $     1557663  $      13      $       0      $      97      $           0  $              $2.396739      $2115133.000000      $23.081932 $28.133076 $0.354770 $     0.82  $    79.30  
50899 $  6294   $  3422233211  $  1792249217     $     1942076  $    75925490  $   100121097  $      407052  $       0      $       0      $      97      $           0  $              $1.909463      $1942076.000000      $17.292639 $22.803381 $0.092709 $     0.76  $   245.97  
