PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
51222 $  1003   $  3323451884  $  8793792689     $    40553194  $   236491701  $   203540361  $    34193190  $      47      $       0      $      97      $           0  $              $0.377932      $40553192.000000      $15.090198 $12.987620 $2.181819 $     1.16  $     5.95  
51220 $  1003   $ 14553419084  $  8768941493     $       91492  $  1834663289  $     6327796  $     5135358  $       0      $       0      $      97      $           0  $              $1.659655      $91492.000000      $117.067245 $0.403768 $0.327680 $   289.94  $     1.23  
51222 $  2006   $  3544671123  $  9142136848     $    40818748  $   245877002  $   210667713  $    39640832  $      48      $       0      $      97      $           0  $              $0.387729      $40818748.000000      $15.689061 $13.442407 $2.529425 $     1.17  $     5.31  
51220 $  2006   $ 15173448357  $  9094792716     $       81512  $  1914837396  $     6231876  $     5228057  $       0      $       0      $      97      $           0  $              $1.668367      $81512.000000      $122.183044 $0.397647 $0.333595 $   307.27  $     1.19  
51222 $  3009   $  3354535839  $  9139602131     $    47244003  $   271899813  $   235467395  $    38145591  $      48      $       0      $      97      $           0  $              $0.367033      $47244004.000000      $17.349539 $15.024838 $2.434016 $     1.15  $     6.17  
51220 $  3009   $ 15185416316  $  9093274485     $       80129  $  1916754521  $     6229994  $     5236317  $       0      $       0      $      97      $           0  $              $1.669961      $80129.000000      $122.305374 $0.397527 $0.334122 $   307.67  $     1.19  
51222 $  4011   $  3499602680  $  9141113533     $    43416698  $   256882759  $   220487146  $    39751569  $      48      $       0      $      97      $           0  $              $0.382842      $43416696.000000      $16.407681 $14.083012 $2.539022 $     1.17  $     5.55  
51220 $  4011   $ 15188192538  $  9093071093     $       81252  $  1917143537  $     6230152  $     5249557  $       0      $       0      $      97      $           0  $              $1.670304      $81252.000000      $122.452286 $0.397934 $0.335301 $   307.72  $     1.19  
51222 $  5013   $  3388921094  $  9144458830     $    44741356  $   260433237  $   225238472  $    37983428  $      48      $       0      $      97      $           0  $              $0.370598      $44741356.000000      $16.634459 $14.386489 $2.426087 $     1.16  $     5.93  
51220 $  5013   $ 15179157567  $  9102594475     $       77627  $  1918968606  $     5925683  $     5019704  $       0      $       0      $      97      $           0  $              $1.667564      $77627.000000      $122.568848 $0.378487 $0.320620 $   323.84  $     1.18  
