PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
52880 $  1003   $  4028681432  $  5078494707     $      945560  $   149239426  $    28209905  $    14659217  $      37      $       0      $      97      $           0  $              $0.793283      $945560.000000      $9.522755 $1.800034 $0.935384 $     5.29  $     1.92  
52878 $  1003   $  3975613380  $  8756118171     $    33020432  $   228726261  $   168683163  $    39065913  $       0      $       0      $      97      $           0  $              $0.454038      $33020432.000000      $14.594696 $10.763433 $2.492740 $     1.36  $     4.32  
52880 $  2005   $  4738031823  $  5799838294     $     1598840  $   184544617  $    35668160  $    21687833  $      39      $       0      $      97      $           0  $              $0.816925      $1598840.000000      $11.787281 $2.278206 $1.385251 $     5.17  $     1.64  
52878 $  2005   $  4146604720  $  9331540199     $    40162042  $   273615124  $   201582569  $    46287034  $       0      $       0      $      97      $           0  $              $0.444364      $40162040.000000      $17.476416 $12.875534 $2.956457 $     1.36  $     4.36  
52880 $  3007   $ 15120589544  $  8986878919     $    10162320  $   702942592  $   116099982  $    66381154  $      48      $       0      $      97      $           0  $              $1.682518      $10162320.000000      $44.898529 $7.415568 $4.239914 $     6.05  $     1.75  
52878 $  3007   $  4016037816  $  9111057297     $    35664774  $   240194488  $   175676973  $    43802083  $       0      $       0      $      97      $           0  $              $0.440787      $35664776.000000      $15.341764 $11.220884 $2.797738 $     1.37  $     4.01  
52878 $  3482   $  1935465666  $  4462051049     $    19600249  $   127307247  $    95955598  $    21217119  $       0      $       0      $      97      $           0  $              $0.433761      $19600248.000000      $17.152977 $12.928755 $2.858728 $     1.33  $     4.52  
52880 $  3482   $  4585992613  $  2532915019     $     2733949  $   213251581  $    33201953  $    19373323  $      20      $       0      $      97      $           0  $              $1.810559      $2733949.000000      $28.732845 $4.473526 $2.610301 $     6.42  $     1.71  
52878 $  4183   $  3085529097  $  6406736712     $    27424091  $   196139878  $   142880671  $    33949345  $       0      $       0      $      97      $           0  $              $0.481607      $27424092.000000      $17.907207 $13.044741 $3.099512 $     1.37  $     4.21  
52878 $  4186   $      341909  $     1454523     $       16013  $       80024  $       66070  $        5113  $       0      $       0      $      97      $           0  $              $0.235066      $16013.000000      $1.707179 $1.409493 $0.109077 $     1.21  $    12.92  
52878 $  5189   $  3944564821  $  8700559678     $    38631739  $   259553012  $   192791260  $    43142544  $      39      $       0      $      97      $           0  $              $0.453369      $38631740.000000      $16.561707 $12.301736 $2.752864 $     1.35  $     4.47  
52899 $  1003   $  3779942955  $  4994615407     $      987698  $   137616683  $    27475615  $    13887617  $       0      $       0      $      97      $           0  $              $0.756804      $987698.000000      $8.781125 $1.753180 $0.886149 $     5.01  $     1.98  
52899 $  2005   $  4696797172  $  5686603384     $     1614560  $   181383553  $    35133014  $    19305824  $      39      $       0      $      97      $           0  $              $0.825941      $1614560.000000      $11.585377 $2.244025 $1.233106 $     5.16  $     1.82  
52878 $  6191   $  4065290254  $  9011086339     $    35013490  $   245235604  $   179665973  $    43601131  $       0      $       0      $      97      $           0  $              $0.451143      $35013488.000000      $15.663751 $11.475671 $2.784903 $     1.36  $     4.12  
52899 $  3007   $ 15528791340  $  8982981443     $    11157593  $   721130486  $   124878205  $    62115740  $      48      $       0      $      97      $           0  $              $1.728690      $11157593.000000      $46.060230 $7.976253 $3.967472 $     5.77  $     2.01  
52878 $  7193   $  3928514507  $  9102057406     $    39633767  $   258660217  $   192281847  $    43891300  $       0      $       0      $      97      $           0  $              $0.431607      $39633768.000000      $16.521212 $12.281475 $2.803436 $     1.35  $     4.38  
52878 $  7566   $  1519187219  $  3453552727     $    13848116  $    92213301  $    68202533  $    16422785  $       0      $       0      $      97      $           0  $              $0.439891      $13848116.000000      $15.822122 $11.702312 $2.817851 $     1.35  $     4.15  
52899 $  3381   $  4514053741  $  2508047746     $     2847152  $   209789915  $    34711805  $    17729150  $      16      $       0      $      97      $           0  $              $1.799828      $2847152.000000      $35.899879 $5.939988 $3.033865 $     6.04  $     1.96  
52878 $  8269   $  3155179334  $  6673974933     $    28649547  $   202959010  $   148530708  $    34615137  $       0      $       0      $      97      $           0  $              $0.472759      $28649548.000000      $18.477064 $13.521998 $3.151307 $     1.37  $     4.29  
52878 $  8271   $      384767  $     1634670     $       16828  $       90013  $       73581  $        4001  $       0      $       0      $      97      $           0  $              $0.235379      $16828.000000      $2.880416 $2.354592 $0.128032 $     1.22  $    18.39  
52904 $   650   $  1004944971  $  3290504751     $      290327  $    19735389  $    11601705  $     8361015  $       0      $       0      $      97      $           0  $              $0.305408      $290327.000000      $1.943177 $1.142322 $0.823238 $     1.70  $     1.39  
52878 $  8921   $  2436189812  $  5376894933     $    23764926  $   161278686  $   119701884  $    26800090  $      24      $       0      $      97      $           0  $              $0.453085      $23764926.000000      $15.879747 $11.786032 $2.638778 $     1.35  $     4.47  
