PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
53807 $  1003   $ 13921825079  $  8745088054     $      104032  $  1740614822  $     6264120  $     5076166  $      49      $       0      $      97      $           0  $              $1.591959      $104032.000000      $111.066147 $0.399705 $0.323903 $   277.87  $     1.23  
53805 $  1003   $  5058481190  $  8855800466     $     5591442  $   222700158  $   148566662  $   144152752  $       0      $       0      $      97      $           0  $              $0.571205      $5591442.000000      $14.210179 $9.479827 $9.198181 $     1.50  $     1.03  
53807 $  2005   $ 14627971203  $  9071198903     $       72902  $  1838055698  $     5848088  $     4982125  $      51      $       0      $      97      $           0  $              $1.612573      $72902.000000      $117.400764 $0.373531 $0.318220 $   314.30  $     1.17  
53805 $  2005   $  5269159785  $  9120931278     $     6035528  $   239140424  $   159862667  $   155214822  $       0      $       0      $      97      $           0  $              $0.577700      $6035528.000000      $15.274438 $10.210790 $9.913920 $     1.50  $     1.03  
53807 $  3007   $ 14324838545  $  9058634863     $       74934  $  1787423772  $     6146941  $     5170754  $      50      $       0      $      97      $           0  $              $1.581346      $74934.000000      $114.166786 $0.392619 $0.330268 $   290.78  $     1.19  
53805 $  3007   $  5250025708  $  9117418201     $     5979760  $   238224269  $   159016845  $   154389341  $       0      $       0      $      97      $           0  $              $0.575824      $5979760.000000      $15.215921 $10.156765 $9.861196 $     1.50  $     1.03  
53807 $  4009   $ 14547630475  $  9060157699     $       73703  $  1825771287  $     5847309  $     4973500  $      50      $       0      $      97      $           0  $              $1.605671      $73703.000000      $116.616127 $0.373481 $0.317669 $   312.24  $     1.18  
53805 $  4009   $  5261228048  $  9109620324     $     6006941  $   238770948  $   159504553  $   154859378  $       0      $       0      $      97      $           0  $              $0.577546      $6006941.000000      $15.250838 $10.187916 $9.891217 $     1.50  $     1.03  
53807 $  5011   $ 14407560639  $  9060142975     $       75867  $  1800396014  $     6148450  $     5181368  $      50      $       0      $      97      $           0  $              $1.590213      $75867.000000      $114.995354 $0.392715 $0.330946 $   292.82  $     1.19  
53805 $  5012   $  5256747973  $  9118583559     $     6001015  $   238533906  $   159272761  $   154640319  $       0      $       0      $      97      $           0  $              $0.576487      $6001015.000000      $15.220509 $10.162969 $9.867378 $     1.50  $     1.03  
53807 $  6014   $ 14544104844  $  9069724011     $       73286  $  1825026808  $     5842895  $     4971571  $      50      $       0      $      97      $           0  $              $1.603588      $73286.000000      $116.452362 $0.372827 $0.317229 $   312.35  $     1.18  
53805 $  6015   $  5262662067  $  9119648718     $     6005455  $   238790765  $   159520462  $   154879355  $       0      $       0      $      97      $           0  $              $0.577069      $6005455.000000      $15.236898 $10.178773 $9.882631 $     1.50  $     1.03  
53807 $  7017   $ 14494408820  $  9065038333     $       75663  $  1813914242  $     6168516  $     5188530  $      50      $       0      $      97      $           0  $              $1.598935      $75663.000000      $115.743279 $0.393604 $0.331073 $   294.06  $     1.19  
53805 $  7018   $  5263338953  $  9121755118     $     6015369  $   238839635  $   159568135  $   154924291  $       0      $       0      $      97      $           0  $              $0.577009      $6015369.000000      $15.240016 $10.181815 $9.885498 $     1.50  $     1.03  
53807 $  8020   $ 14540081644  $  9070355128     $       73762  $  1824366359  $     5830705  $     4969917  $      50      $       0      $      97      $           0  $              $1.603033      $73762.000000      $116.410217 $0.372049 $0.317123 $   312.89  $     1.17  
53805 $  8021   $  5282994286  $  9120942377     $     6088900  $   241285612  $   161161362  $   156480070  $       0      $       0      $      97      $           0  $              $0.579216      $6088900.000000      $15.396091 $10.283477 $9.984770 $     1.50  $     1.03  
53807 $  9023   $ 14407368711  $  9062049591     $       75640  $  1800316114  $     6150125  $     5181396  $      50      $       0      $      97      $           0  $              $1.589858      $75640.000000      $114.875610 $0.392431 $0.330617 $   292.73  $     1.19  
53805 $  9024   $  5302179536  $  9121150256     $     6161135  $   244274321  $   162973337  $   158249356  $       0      $       0      $      97      $           0  $              $0.581306      $6161135.000000      $15.586796 $10.399096 $10.097666 $     1.50  $     1.03  
53807 $ 10025   $ 14539422901  $  9070838489     $       72931  $  1824222277  $     5839306  $     4970180  $      50      $       0      $      97      $           0  $              $1.602875      $72931.000000      $116.517197 $0.372970 $0.317457 $   312.40  $     1.17  
53805 $ 10027   $  5285044191  $  9122084374     $     6068221  $   241267197  $   160994056  $   156300821  $       0      $       0      $      97      $           0  $              $0.579368      $6068221.000000      $15.394916 $10.272800 $9.973332 $     1.50  $     1.03  
53807 $ 11028   $ 14484506048  $  9064513201     $       74565  $  1812308774  $     6160246  $     5185986  $      50      $       0      $      97      $           0  $              $1.597935      $74565.000000      $115.640839 $0.393077 $0.330910 $   294.19  $     1.19  
53805 $ 11030   $  5262659698  $  9120925151     $     6009055  $   238834213  $   159568421  $   154918728  $       0      $       0      $      97      $           0  $              $0.576988      $6009055.000000      $15.239671 $10.181833 $9.885142 $     1.50  $     1.03  
53807 $ 12031   $ 14544689434  $  9071492760     $       73215  $  1824965295  $     5849458  $     4973022  $      50      $       0      $      97      $           0  $              $1.603340      $73215.000000      $116.448433 $0.373246 $0.317321 $   311.99  $     1.18  
53805 $ 12033   $  5263042606  $  9121164819     $     6011898  $   238809546  $   159559915  $   154911663  $       0      $       0      $      97      $           0  $              $0.577014      $6011898.000000      $15.238097 $10.181291 $9.884692 $     1.50  $     1.03  
53807 $ 12976   $ 13858075132  $  8643044858     $       68570  $  1737078209  $     5647258  $     4797365  $      46      $       0      $      97      $           0  $              $1.603379      $68570.000000      $117.643394 $0.382460 $0.324901 $   307.60  $     1.18  
53805 $ 12978   $  4342910693  $  7516542856     $     5068131  $   198149777  $   132374141  $   128534708  $       0      $       0      $      97      $           0  $              $0.577780      $5068131.000000      $13.419667 $8.965021 $8.704996 $     1.50  $     1.03  
53807 $ 13151   $  2714210841  $  1633725584     $       15381  $   339148597  $     1367311  $      894384  $       6      $       0      $      97      $           0  $              $1.661363      $15381.000000      $124.031494 $0.500045 $0.327089 $   248.04  $     1.53  
53807 $ 13153   $     8761176  $     5164111     $          25  $     1123252  $        2339  $        1602  $       0      $       0      $      97      $           0  $              $1.696551      $25.000000      $35.944065 $0.074848 $0.051264 $   480.23  $     1.46  
53807 $ 14155   $ 14576358423  $  9074548283     $       73051  $  1829160530  $     5851892  $     4962845  $      50      $       0      $      97      $           0  $              $1.606290      $73051.000000      $116.832611 $0.373774 $0.316988 $   312.58  $     1.18  
53825 $  1003   $  5095816418  $  8898600737     $     5585604  $   224593078  $   149387645  $   145255003  $       0      $       0      $      97      $           0  $              $0.572654      $5585604.000000      $14.330964 $9.532213 $9.268515 $     1.50  $     1.03  
53807 $ 15157   $ 14413354386  $  9060706504     $       74584  $  1801085186  $     6158064  $     5180981  $      50      $       0      $      97      $           0  $              $1.590754      $74584.000000      $115.039375 $0.393329 $0.330921 $   292.48  $     1.19  
53825 $  2006   $  5256907624  $  9114056450     $     5936100  $   238534338  $   158946006  $   154644926  $       0      $       0      $      97      $           0  $              $0.576791      $5936100.000000      $15.220536 $10.142118 $9.867672 $     1.50  $     1.03  
53825 $  2274   $  1417690559  $  2427033258     $     1623811  $    64790390  $    43181438  $    42005973  $       0      $       0      $      97      $           0  $              $0.584125      $1623811.000000      $15.472332 $10.311986 $10.031277 $     1.50  $     1.03  
