PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
54578 $  1003   $ 21016457914  $  8770670177     $     3626361  $   328782587  $   328841708  $    12592311  $      47      $       0      $      97      $           0  $              $2.396220      $3626361.000000      $20.979149 $20.982920 $0.803497 $     1.00  $    26.11  
54576 $  1003   $  3326704629  $  8742940725     $    42870871  $   236780906  $   195999736  $    34318299  $       0      $       0      $      97      $           0  $              $0.380502      $42870872.000000      $15.108652 $12.506464 $2.189802 $     1.21  $     5.71  
54578 $  2005   $ 21895521879  $  9110532964     $     3758652  $   342536790  $   342567308  $    12922496  $      49      $       0      $      97      $           0  $              $2.403320      $3758652.000000      $21.878597 $21.880547 $0.825389 $     1.00  $    26.51  
54576 $  2005   $  3544989984  $  9119700438     $    43381120  $   246662877  $   203488919  $    39828723  $       0      $       0      $      97      $           0  $              $0.388718      $43381120.000000      $15.754914 $12.997295 $2.543950 $     1.21  $     5.11  
54578 $  3007   $ 21824404191  $  9103215131     $     3755145  $   341207807  $   341254336  $    13173868  $      49      $       0      $      97      $           0  $              $2.397439      $3755145.000000      $21.793713 $21.796684 $0.841445 $     1.00  $    25.90  
54576 $  3007   $  3369158605  $  9119303804     $    49721241  $   271199131  $   225803076  $    38404808  $       0      $       0      $      97      $           0  $              $0.369453      $49721240.000000      $17.322100 $14.422551 $2.453002 $     1.20  $     5.88  
54578 $  4009   $ 21794878483  $  9103164765     $     3743729  $   340679042  $   340728709  $    12986397  $      49      $       0      $      97      $           0  $              $2.394209      $3743729.000000      $21.759939 $21.763111 $0.829470 $     1.00  $    26.24  
54576 $  4009   $  3491798522  $  9119712147     $    46578778  $   260975565  $   215662297  $    39997746  $       0      $       0      $      97      $           0  $              $0.382885      $46578776.000000      $16.669098 $13.774837 $2.554746 $     1.21  $     5.39  
54578 $  5011   $ 21945104734  $  9110987066     $     3779741  $   343308456  $   343341291  $    12691369  $      49      $       0      $      97      $           0  $              $2.408642      $3779741.000000      $21.927885 $21.929981 $0.810626 $     1.00  $    27.05  
54576 $  5011   $  3418047775  $  9120416534     $    46463302  $   256744349  $   213505547  $    38235087  $       0      $       0      $      97      $           0  $              $0.374769      $46463304.000000      $16.398840 $13.637081 $2.442161 $     1.20  $     5.58  
