PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
55982 $  1004   $  1471296193  $  4690972459     $    11369682  $    87138404  $    62664468  $     7171250  $      42      $       0      $      97      $           0  $              $0.313644      $11369682.000000      $5.554639 $3.994548 $0.457131 $     1.39  $     8.74  
55980 $  1004   $ 21726462374  $  9014084329     $     7078796  $   352048629  $   429341383  $     4765212  $       0      $       0      $      97      $           0  $              $2.410279      $7078796.000000      $22.441347 $27.368374 $0.303759 $     0.82  $    90.10  
55982 $  2007   $  1072701431  $  4097314255     $    14689112  $   107890442  $    83692440  $     8424675  $      42      $       0      $      97      $           0  $              $0.261806      $14689112.000000      $6.884335 $5.340295 $0.537566 $     1.29  $     9.93  
55980 $  2006   $ 22758400433  $  9421867212     $     7599916  $   368906877  $   453412997  $     3729745  $       0      $       0      $      97      $           0  $              $2.415487      $7599916.000000      $23.562914 $28.960510 $0.238227 $     0.81  $   121.57  
55982 $  3009   $  1641572728  $  5341013119     $    13933553  $   107577822  $    79111815  $     9911185  $      43      $       0      $      97      $           0  $              $0.307352      $13933553.000000      $6.871238 $5.053050 $0.633050 $     1.36  $     7.98  
55980 $  3008   $ 22615710485  $  9360891300     $     7449272  $   366117035  $   445747026  $     4094964  $       0      $       0      $      97      $           0  $              $2.415978      $7449272.000000      $23.384720 $28.470869 $0.261555 $     0.82  $   108.85  
55982 $  4012   $  1558696910  $  5089307363     $    13490938  $   104383204  $    78657905  $    10897803  $      43      $       0      $      97      $           0  $              $0.306269      $13490938.000000      $6.660543 $5.019049 $0.695373 $     1.33  $     7.22  
55980 $  4011   $ 22354928045  $  9288204166     $     7301986  $   361831315  $   441346756  $     5219229  $       0      $       0      $      97      $           0  $              $2.406808      $7301986.000000      $23.087940 $28.161707 $0.333032 $     0.82  $    84.56  
55982 $  5015   $  1152867597  $  4329634896     $    15143981  $   109708068  $    83741091  $     7434907  $      42      $       0      $      97      $           0  $              $0.266274      $15143981.000000      $7.000315 $5.343400 $0.474411 $     1.31  $    11.26  
55980 $  5014   $ 22853871428  $  9422158435     $     7421460  $   369795475  $   449798228  $     3444017  $       0      $       0      $      97      $           0  $              $2.425545      $7421460.000000      $23.596123 $28.700985 $0.219758 $     0.82  $   130.60  
55982 $  6018   $  1725109848  $  5494400166     $    13495937  $   105706999  $    78102305  $    10929608  $      44      $       0      $      97      $           0  $              $0.313976      $13495937.000000      $6.745013 $4.983597 $0.697403 $     1.35  $     7.15  
55980 $  6017   $ 22421569674  $  9321669978     $     7395319  $   362859758  $   441073699  $     4348612  $       0      $       0      $      97      $           0  $              $2.405317      $7395319.000000      $23.153563 $28.144283 $0.277479 $     0.82  $   101.43  
55980 $  6418   $  9009961153  $  3717307997     $     2982690  $   146083858  $   180438645  $     1257473  $       0      $       0      $      97      $           0  $              $2.423787      $2982690.000000      $23.315128 $28.798187 $0.200694 $     0.81  $   143.49  
55982 $  6419   $   109118684  $   769101207     $     4926758  $    31794761  $    25975255  $     1109753  $      16      $       0      $      97      $           0  $              $0.141878      $4926758.000000      $5.074475 $4.145677 $0.177118 $     1.22  $    23.41  
55980 $  7110   $ 16166318496  $  6594050090     $     5144282  $   261640938  $   317899825  $      724507  $       0      $       0      $      97      $           0  $              $2.451652      $5144282.000000      $24.198006 $29.401142 $0.067006 $     0.82  $   438.78  
55980 $  7113   $     3413775  $     1384473     $         607  $       54643  $       58308  $         293  $       0      $       0      $      97      $           0  $              $2.465758      $607.000000      $1.165717 $1.243904 $0.006251 $     0.94  $   199.00  
55980 $  8116   $ 18001962875  $  7720401916     $     5972643  $   289138384  $   351350395  $     3930463  $      39      $       0      $      97      $           0  $              $2.331739      $5972643.000000      $18.449507 $22.419168 $0.250797 $     0.82  $    89.39  
56000 $  1003   $  1470982448  $  4704580508     $    11289786  $    86915553  $    62856868  $     7173137  $       0      $       0      $      97      $           0  $              $0.312670      $11289786.000000      $5.545958 $4.010807 $0.457708 $     1.38  $     8.76  
