PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
54263 $  1003   $ 11089879094  $  8813356662     $     1685632  $   173381731  $   173561401  $    29502757  $      48      $       0      $      97      $           0  $              $1.258304      $1685632.000000      $11.063241 $11.074706 $1.882529 $     1.00  $     5.88  
54261 $  1003   $  4706690632  $  8839074316     $     4877206  $   204789828  $   136997075  $   132777815  $       0      $       0      $      97      $           0  $              $0.532487      $4877206.000000      $13.067347 $8.741588 $8.472363 $     1.49  $     1.03  
54263 $  2005   $ 10883164930  $  9108102970     $     1609014  $   170131058  $   170306322  $    31466253  $      49      $       0      $      97      $           0  $              $1.194888      $1609014.000000      $10.866654 $10.877849 $2.009820 $     1.00  $     5.41  
54261 $  2005   $  4912496194  $  9111990923     $     5354030  $   223676486  $   149761813  $   145257129  $       0      $       0      $      97      $           0  $              $0.539124      $5354030.000000      $14.286721 $9.565624 $9.277901 $     1.49  $     1.03  
54263 $  3007   $ 10823290025  $  9109090711     $     1594635  $   169198542  $   169374187  $    31466060  $      49      $       0      $      97      $           0  $              $1.188186      $1594635.000000      $10.807093 $10.818312 $2.009808 $     1.00  $     5.38  
54261 $  3008   $  4932804130  $  9113762471     $     5388447  $   225563785  $   150659623  $   146110790  $       0      $       0      $      97      $           0  $              $0.541248      $5388447.000000      $14.392904 $9.613376 $9.323121 $     1.50  $     1.03  
54263 $  4009   $ 11067492675  $  9102049202     $     1642360  $   172771737  $   172943859  $    31014871  $      49      $       0      $      97      $           0  $              $1.215934      $1642360.000000      $11.035321 $11.046314 $1.980990 $     1.00  $     5.58  
54261 $  4011   $  4888804276  $  9114022558     $     5228836  $   219868112  $   147161495  $   142723336  $       0      $       0      $      97      $           0  $              $0.536405      $5228836.000000      $14.029470 $9.390164 $9.106972 $     1.49  $     1.03  
54263 $  5012   $ 10656508963  $  9110429422     $     1555569  $   166886117  $   167041556  $    32249962  $      49      $       0      $      97      $           0  $              $1.169704      $1555569.000000      $10.648765 $10.658683 $2.057824 $     1.00  $     5.18  
54261 $  5014   $  4934624821  $  9113357200     $     5465359  $   226989059  $   152059083  $   147479941  $       0      $       0      $      97      $           0  $              $0.541472      $5465359.000000      $14.483848 $9.702674 $9.410484 $     1.49  $     1.03  
