PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
55207 $  1003   $  3277194679  $  8703482702     $    30418504  $   183166261  $   140257693  $    31497388  $      45      $       0      $      97      $           0  $              $0.376538      $30418504.000000      $11.687577 $8.949644 $2.009804 $     1.31  $     4.45  
55205 $  1003   $  4683070725  $  7711846009     $      130561  $   126967629  $   128673064  $   119436029  $       0      $       0      $      97      $           0  $              $0.607257      $130561.000000      $8.101624 $8.210444 $7.621043 $     0.99  $     1.08  
55207 $  2005   $  3279866708  $  9110027960     $    38244637  $   222490040  $   171052841  $    36305594  $      47      $       0      $      97      $           0  $              $0.360028      $38244636.000000      $14.210941 $10.925531 $2.318920 $     1.30  $     4.71  
55205 $  2006   $  5258675458  $  9110858998     $      114408  $   162700313  $   162748269  $   159225226  $       0      $       0      $      97      $           0  $              $0.577188      $114408.000000      $10.381676 $10.384735 $10.159935 $     1.00  $     1.02  
55207 $  3007   $  3474182998  $  9110258876     $    31988650  $   199393574  $   149902931  $    37821954  $      47      $       0      $      97      $           0  $              $0.381348      $31988650.000000      $12.735717 $9.574638 $2.415773 $     1.33  $     3.96  
55205 $  3008   $  5207140120  $  9111325647     $      125663  $   164531439  $   164576869  $   161085500  $       0      $       0      $      97      $           0  $              $0.571502      $125663.000000      $10.508994 $10.511895 $10.288895 $     1.00  $     1.02  
55207 $  4009   $  3291999011  $  9110690639     $    37840720  $   218739622  $   169553841  $    36559787  $      47      $       0      $      97      $           0  $              $0.361334      $37840720.000000      $13.971393 $10.829786 $2.335156 $     1.29  $     4.64  
55205 $  4010   $  5275958720  $  9111246256     $      116684  $   165775727  $   165824467  $   162230408  $       0      $       0      $      97      $           0  $              $0.579060      $116684.000000      $10.588470 $10.591582 $10.362021 $     1.00  $     1.02  
55207 $  5011   $  3301161424  $  9110880625     $    37858759  $   220764447  $   169603494  $    36390839  $      47      $       0      $      97      $           0  $              $0.362332      $37858760.000000      $14.100723 $10.832957 $2.324365 $     1.30  $     4.66  
55205 $  5012   $  5291913612  $  9111249857     $      117902  $   163452889  $   163499133  $   159961551  $       0      $       0      $      97      $           0  $              $0.580811      $117902.000000      $10.440105 $10.443059 $10.217105 $     1.00  $     1.02  
55207 $  6014   $  3472655131  $  9110908932     $    31971590  $   199224686  $   149771715  $    37821364  $      47      $       0      $      97      $           0  $              $0.381154      $31971590.000000      $12.712243 $9.556720 $2.413327 $     1.33  $     3.96  
55205 $  6015   $  5274886090  $  9111712338     $      128096  $   165734883  $   165779512  $   162238368  $       0      $       0      $      97      $           0  $              $0.578913      $128096.000000      $10.575306 $10.578155 $10.352199 $     1.00  $     1.02  
55207 $  7016   $  3281946294  $  9111193417     $    38233710  $   220735219  $   171242759  $    36565361  $      47      $       0      $      97      $           0  $              $0.360210      $38233712.000000      $14.098856 $10.937661 $2.335512 $     1.29  $     4.68  
55205 $  7018   $  5246751341  $  9111688577     $      113821  $   164847052  $   164895012  $   161319287  $       0      $       0      $      97      $           0  $              $0.575826      $113821.000000      $10.518656 $10.521715 $10.293553 $     1.00  $     1.02  
55207 $  8018   $  3480622347  $  9111774527     $    37677573  $   228233229  $   174592397  $    38789108  $      47      $       0      $      97      $           0  $              $0.381992      $37677572.000000      $14.577771 $11.151610 $2.477548 $     1.31  $     4.50  
55205 $  8020   $  5649367070  $  9111005564     $      116852  $   152978261  $   153023079  $   149832411  $       0      $       0      $      97      $           0  $              $0.620060      $116852.000000      $9.771067 $9.773929 $9.570134 $     1.00  $     1.02  
55207 $  8526   $  2207902140  $  4840766630     $    19809744  $   137825466  $   105599398  $    24077741  $      18      $       0      $      97      $           0  $              $0.456106      $19809744.000000      $17.363838 $13.303862 $3.033416 $     1.31  $     4.39  
55205 $  8528   $  1937981035  $  1060103789     $      391343  $    14288848  $    14294973  $    14282754  $       0      $       0      $      97      $           0  $              $1.828105      $391343.000000      $1.800170 $1.800941 $1.799402 $     1.00  $     1.00  
55207 $  9104   $  2562168662  $  5504716106     $    22308512  $   158604200  $   120441914  $    27617897  $      18      $       0      $      97      $           0  $              $0.465450      $22308512.000000      $17.561710 $13.336128 $3.058037 $     1.32  $     4.36  
55207 $  9106   $     1488467  $     6555170     $       68386  $      348361  $      300486  $       20012  $       0      $       0      $      97      $           0  $              $0.227068      $68386.000000      $11.147552 $9.615552 $0.640384 $     1.16  $    15.02  
55207 $ 10108   $  3545843999  $  9115280031     $    34778913  $   217991460  $   165902199  $    38925095  $      47      $       0      $      97      $           0  $              $0.389000      $34778912.000000      $13.923606 $10.596547 $2.486234 $     1.31  $     4.26  
55235 $  1002   $  4593009322  $  7654339683     $      120012  $   124469619  $   126100914  $   116944196  $       0      $       0      $      97      $           0  $              $0.600053      $120012.000000      $7.950155 $8.054350 $7.469489 $     0.99  $     1.08  
55235 $  1324   $  1712544818  $  2913971620     $       33872  $    53880896  $    53899036  $    52698838  $       0      $       0      $      97      $           0  $              $0.587701      $33872.000000      $10.709247 $10.712852 $10.474303 $     1.00  $     1.02  
55207 $ 10430   $   998054008  $  2876828597     $    14503214  $    79092977  $    62258525  $    11687755  $      15      $       0      $      97      $           0  $              $0.346929      $14503214.000000      $15.720343 $12.374365 $2.323032 $     1.27  $     5.33  
