PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
51957 $  1002   $  3356039424  $  8791357247     $    40976080  $   237473487  $   197510681  $    34454268  $      41      $       0      $      97      $           0  $              $0.381743      $40976080.000000      $15.167967 $12.615453 $2.200672 $     1.20  $     5.73  
51955 $  1002   $  6698404287  $  9046602674     $      108004  $    15306976  $    16340736  $     3045716  $       0      $       0      $      97      $           0  $              $0.740433      $108004.000000      $0.977691 $1.043720 $0.194537 $     0.94  $     5.37  
51957 $  2004   $  3544782225  $  9146307669     $    42811390  $   253712699  $   210434815  $    39980374  $      43      $       0      $      97      $           0  $              $0.387564      $42811392.000000      $16.205202 $13.440947 $2.553637 $     1.21  $     5.26  
51955 $  2004   $  6776090950  $  9142282131     $      107019  $    15543061  $    16606478  $     3271298  $       0      $       0      $      97      $           0  $              $0.741182      $107019.000000      $0.992770 $1.060693 $0.208945 $     0.94  $     5.08  
51957 $  3006   $  3414536847  $  9146043589     $    45840624  $   264166547  $   220831504  $    38329465  $      43      $       0      $      97      $           0  $              $0.373335      $45840624.000000      $16.872913 $14.105006 $2.448189 $     1.20  $     5.76  
51955 $  3006   $  6774181320  $  9141409104     $      106216  $    15398323  $    16329684  $     3222866  $       0      $       0      $      97      $           0  $              $0.741044      $106216.000000      $0.983526 $1.043014 $0.205852 $     0.94  $     5.07  
51957 $  4008   $  3474830320  $  9145110547     $    46950726  $   273092353  $   227011444  $    40175849  $      43      $       0      $      97      $           0  $              $0.379966      $46950728.000000      $17.443024 $14.499733 $2.566122 $     1.20  $     5.65  
51955 $  4008   $  6773333679  $  9140597739     $      104790  $    15136165  $    15878207  $     3359715  $       0      $       0      $      97      $           0  $              $0.741016      $104790.000000      $0.966781 $1.014177 $0.214593 $     0.95  $     4.73  
51957 $  5011   $  3558485315  $  9146530801     $    41864830  $   249210342  $   206578266  $    39903408  $      43      $       0      $      97      $           0  $              $0.389053      $41864832.000000      $15.901756 $13.181465 $2.546180 $     1.21  $     5.18  
51955 $  5011   $  6773084234  $  9142283883     $      105248  $    15209701  $    16027490  $     3231523  $       0      $       0      $      97      $           0  $              $0.740852      $105248.000000      $0.970509 $1.022691 $0.206199 $     0.95  $     4.96  
51957 $  6013   $  3384311352  $  9145118606     $    47557825  $   272173058  $   227674388  $    38396874  $      43      $       0      $      97      $           0  $              $0.370068      $47557824.000000      $17.384308 $14.542076 $2.452495 $     1.20  $     5.93  
51955 $  6014   $  6776785415  $  9140580950     $      104197  $    15191068  $    15984981  $     3277625  $       0      $       0      $      97      $           0  $              $0.741395      $104197.000000      $0.969320 $1.019979 $0.209141 $     0.95  $     4.88  
51957 $  7015   $  3504718801  $  9145378694     $    45192682  $   264894745  $   219996510  $    40089548  $      43      $       0      $      97      $           0  $              $0.383223      $45192680.000000      $16.919426 $14.051674 $2.560610 $     1.20  $     5.49  
51955 $  7016   $  6771315712  $  9140950254     $      105749  $    15484705  $    16493286  $     3330833  $       0      $       0      $      97      $           0  $              $0.740767      $105749.000000      $0.989043 $1.053463 $0.212748 $     0.94  $     4.95  
51957 $  8017   $  3451342407  $  9144705655     $    43460242  $   252947932  $   211226129  $    38190763  $      43      $       0      $      97      $           0  $              $0.377414      $43460240.000000      $16.156355 $13.491489 $2.439330 $     1.20  $     5.53  
51955 $  8018   $  6768610520  $  9140861518     $      107005  $    15620474  $    16725790  $     3149834  $       0      $       0      $      97      $           0  $              $0.740478      $107005.000000      $0.997715 $1.068314 $0.201187 $     0.93  $     5.31  
51957 $  9019   $  3463928051  $  9144453136     $    47755852  $   277010891  $   230364570  $    40224288  $      43      $       0      $      97      $           0  $              $0.378801      $47755852.000000      $17.693310 $14.713905 $2.569216 $     1.20  $     5.73  
51955 $  9020   $  6782633731  $  9139740075     $      106038  $    14724198  $    15201252  $     3385137  $       0      $       0      $      97      $           0  $              $0.742104      $106038.000000      $0.940468 $0.970938 $0.216216 $     0.97  $     4.49  
51957 $ 10021   $  3532517094  $  9147451502     $    43590147  $   257381993  $   213570015  $    40031165  $      43      $       0      $      97      $           0  $              $0.386175      $43590148.000000      $16.439569 $13.641198 $2.556881 $     1.21  $     5.34  
51955 $ 10022   $  6774861185  $  9143317716     $      106305  $    15542970  $    16613541  $     3298584  $       0      $       0      $      97      $           0  $              $0.740963      $106305.000000      $0.992765 $1.061144 $0.210688 $     0.94  $     5.04  
51957 $ 10623   $  2107206310  $  5564012101     $    27868211  $   162035856  $   134970658  $    23953861  $      24      $       0      $      97      $           0  $              $0.378721      $27868212.000000      $17.226404 $14.349040 $2.546590 $     1.20  $     5.63  
51955 $ 10624   $  3283984814  $  4521939857     $      122178  $     7643984  $     8374123  $     1543718  $       0      $       0      $      97      $           0  $              $0.726234      $122178.000000      $0.812649 $0.890272 $0.164116 $     0.91  $     5.42  
51957 $ 10666   $    84650350  $   343678935     $     3404715  $    16821264  $    14508331  $      994485  $       1      $       0      $      97      $           0  $              $0.246306      $3404715.000000      $25.036301 $21.593796 $1.480164 $     1.16  $    14.59  
51975 $  1003   $  6822368345  $  9164928974     $      123525  $    17626703  $    19893578  $       31724  $      30      $       0      $      65      $           0  $              $0.744399      $123525.000000      $1.124735 $1.269381 $0.002024 $     0.89  $   627.08  
