PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
51335 $  1003   $  3627072364  $  7835093486     $      110012  $    40153930  $    36601729  $    30436263  $      44      $       0      $      97      $           0  $              $0.462926      $110012.000000      $2.562165 $2.335504 $1.942095 $     1.10  $     1.20  
51333 $  1003   $ 14585226456  $  8772636393     $       81573  $  1837923015  $     6475324  $     5120789  $       0      $       0      $      97      $           0  $              $1.662582      $81573.000000      $117.275253 $0.413181 $0.326750 $   283.83  $     1.26  
51335 $  2006   $  4237059907  $  9070351473     $       32995  $    47336390  $    43165023  $    35683432  $      47      $       0      $      97      $           0  $              $0.467133      $32995.000000      $3.020468 $2.754299 $2.276909 $     1.10  $     1.21  
51333 $  2006   $ 15139590833  $  9098879413     $       74245  $  1907484745  $     6405640  $     5228543  $       0      $       0      $      97      $           0  $              $1.663896      $74245.000000      $121.713882 $0.408735 $0.333626 $   297.78  $     1.23  
51335 $  3008   $  4240678467  $  9068254088     $       33113  $    47373619  $    43198885  $    35717242  $      47      $       0      $      97      $           0  $              $0.467640      $33113.000000      $3.025860 $2.759210 $2.281341 $     1.10  $     1.21  
51333 $  3008   $ 15166411701  $  9096071240     $       74659  $  1911870476  $     6403432  $     5228801  $       0      $       0      $      97      $           0  $              $1.667359      $74659.000000      $122.115479 $0.409002 $0.333975 $   298.57  $     1.22  
51335 $  4010   $  4191034127  $  9075250166     $       32512  $    45580728  $    41730284  $    34830209  $      47      $       0      $      97      $           0  $              $0.461809      $32512.000000      $2.911344 $2.665407 $2.224684 $     1.09  $     1.20  
51333 $  4010   $ 15168470988  $  9096687649     $       75132  $  1912158124  $     6409236  $     5230161  $       0      $       0      $      97      $           0  $              $1.667472      $75132.000000      $122.133850 $0.409372 $0.334062 $   298.34  $     1.23  
51335 $  5012   $  4235437583  $  9067852464     $       33883  $    47369058  $    43187767  $    35685553  $      47      $       0      $      97      $           0  $              $0.467083      $33883.000000      $3.025568 $2.758500 $2.279317 $     1.10  $     1.21  
51333 $  5012   $ 15185448991  $  9102761167     $       70488  $  1918105484  $     6077429  $     5010786  $       0      $       0      $      97      $           0  $              $1.668224      $70488.000000      $122.513725 $0.388179 $0.320050 $   315.61  $     1.21  
