PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
47995 $  1003   $  6753101408  $  9087661381     $       39883  $    15923617  $    17171680  $      731614  $      44      $       0      $      97      $           0  $              $0.743107      $39883.000000      $1.016063 $1.095700 $0.046683 $     0.93  $    23.47  
47993 $  1004   $  3353313486  $  8899428149     $      929646  $   368620743  $   363275646  $     1354377  $       0      $       0      $      97      $           0  $              $0.376801      $929646.000000      $23.497736 $23.157013 $0.086335 $     1.01  $   268.22  
47995 $  2005   $  6821659980  $  9173348207     $       33018  $    16109718  $    17390664  $      618748  $      45      $       0      $      97      $           0  $              $0.743639      $33018.000000      $1.028964 $1.110781 $0.039521 $     0.93  $    28.11  
47993 $  2006   $  3430433208  $  9167406826     $      761048  $   387423173  $   381879972  $      761236  $       0      $       0      $      97      $           0  $              $0.374199      $761048.000000      $24.745592 $24.391535 $0.048622 $     1.01  $   501.66  
47995 $  3007   $  6833440996  $  9173427119     $       35142  $    15458863  $    16293937  $      662289  $      45      $       0      $      97      $           0  $              $0.744917      $35142.000000      $0.987392 $1.040730 $0.042302 $     0.95  $    24.60  
47993 $  3008   $  3401966221  $  9168205992     $      998250  $   389298999  $   383954500  $      998339  $       0      $       0      $      97      $           0  $              $0.371061      $998250.000000      $24.865406 $24.524040 $0.063766 $     1.01  $   384.59  
47995 $  4009   $  6839600123  $  9176522986     $       28768  $    15771813  $    16787855  $      569566  $      44      $       0      $      97      $           0  $              $0.745337      $28768.000000      $1.007381 $1.072278 $0.036379 $     0.94  $    29.47  
47993 $  4010   $  3222583354  $  9173509790     $      568453  $   406649402  $   403828732  $      568560  $       0      $       0      $      97      $           0  $              $0.351292      $568453.000000      $25.973616 $25.793451 $0.036315 $     1.01  $   710.27  
47995 $  5011   $  6843898083  $  9174304701     $       57434  $    14980850  $    15432317  $     1179856  $      44      $       0      $      97      $           0  $              $0.745985      $57434.000000      $0.956861 $0.985697 $0.075360 $     0.97  $    13.08  
47993 $  5012   $  3221310435  $  9171743760     $      662157  $   406503159  $   403678942  $      662274  $       0      $       0      $      97      $           0  $              $0.351221      $662157.000000      $25.964273 $25.783884 $0.042301 $     1.01  $   609.53  
47995 $  6014   $  6845738019  $  9177102751     $       43975  $    14363794  $    14402009  $      869998  $      45      $       0      $      97      $           0  $              $0.745959      $43975.000000      $0.916533 $0.918972 $0.055513 $     1.00  $    16.55  
47993 $  6015   $  3333659183  $  9174667205     $     1010134  $   393995967  $   389849843  $     1290818  $       0      $       0      $      97      $           0  $              $0.363355      $1010134.000000      $25.140322 $24.875763 $0.082365 $     1.01  $   302.02  
47995 $  7017   $  6840447653  $  9176853146     $       33156  $    14460511  $    14567514  $      606792  $      45      $       0      $      97      $           0  $              $0.745402      $33156.000000      $0.922705 $0.929532 $0.038719 $     0.99  $    24.01  
47993 $  7018   $  3433889844  $  9176576450     $      780667  $   387720523  $   382276685  $      780701  $       0      $       0      $      97      $           0  $              $0.374202      $780667.000000      $24.739893 $24.392529 $0.049815 $     1.01  $   489.66  
47995 $  8019   $  6835041090  $  9176282186     $       35441  $    14727322  $    14994184  $      646380  $      45      $       0      $      97      $           0  $              $0.744860      $35441.000000      $0.940667 $0.957712 $0.041286 $     0.98  $    23.20  
47993 $  8020   $  3432752798  $  9176083722     $      872101  $   387684483  $   382147762  $      872118  $       0      $       0      $      97      $           0  $              $0.374098      $872101.000000      $24.762281 $24.408640 $0.055704 $     1.01  $   438.18  
47995 $  9021   $  6846272612  $  9176803439     $       27697  $    15005728  $    15427333  $      541929  $      45      $       0      $      97      $           0  $              $0.746041      $27697.000000      $0.958450 $0.985379 $0.034614 $     0.97  $    28.47  
47993 $  9022   $  3298907815  $  9175404567     $      818287  $   399145551  $   395248096  $      818260  $       0      $       0      $      97      $           0  $              $0.359538      $818287.000000      $25.494326 $25.245388 $0.052264 $     1.01  $   483.03  
47995 $ 10023   $  6847379674  $  9174678625     $       46615  $    14885522  $    15257504  $      930972  $      44      $       0      $      97      $           0  $              $0.746335      $46615.000000      $0.950772 $0.974531 $0.059463 $     0.98  $    16.39  
47993 $ 10024   $  3221400609  $  9172145573     $      645619  $   406527431  $   403692790  $      645723  $       0      $       0      $      97      $           0  $              $0.351216      $645619.000000      $25.965824 $25.784769 $0.041244 $     1.01  $   625.18  
47993 $ 10507   $  1574640307  $  4483138810     $      257383  $   198655749  $   197316023  $      257439  $       0      $       0      $      97      $           0  $              $0.351236      $257383.000000      $26.322914 $26.145393 $0.034112 $     1.01  $   766.46  
47995 $ 10506   $  2646932435  $  3622250377     $       23363  $     5536974  $     5659351  $      452989  $      20      $       0      $      97      $           0  $              $0.730743      $23363.000000      $0.733678 $0.749893 $0.060023 $     0.98  $    12.49  
47993 $ 11049   $  1802554565  $  5118262658     $       64596  $   223411979  $   222006526  $       64118  $       0      $       0      $      97      $           0  $              $0.352181      $64596.000000      $26.380751 $26.214792 $0.007571 $     1.01  $  3462.47  
48013 $  1003   $  6887592098  $  9434670711     $        3008  $    19298965  $    22561162  $       32077  $      31      $       0      $      65      $           0  $              $0.730030      $3008.000000      $1.231439 $1.439596 $0.002047 $     0.86  $   703.34  
