PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
48589 $  1003   $  3332373449  $  8861185083     $     3983956  $   366272131  $   362090291  $     4405167  $      47      $       0      $      97      $           0  $              $0.376064      $3983956.000000      $23.371302 $23.104465 $0.281087 $     1.01  $    82.20  
48587 $  1003   $  3066063625  $  8734047241     $     3958093  $   383200833  $   380223299  $     4378746  $       0      $       0      $      97      $           0  $              $0.351047      $3958093.000000      $24.451498 $24.261507 $0.279402 $     1.01  $    86.83  
48589 $  2006   $  3423134928  $  9157363699     $     3920872  $   386846685  $   382544297  $     3920918  $      48      $       0      $      97      $           0  $              $0.373812      $3920872.000000      $24.684135 $24.409605 $0.250188 $     1.01  $    97.56  
48587 $  2006   $  3195450400  $  9149404391     $     3896047  $   404843268  $   401829414  $     3896076  $       0      $       0      $      97      $           0  $              $0.349252      $3896047.000000      $25.832472 $25.640162 $0.248603 $     1.01  $   103.14  
48589 $  3009   $  3396216371  $  9160063266     $     4094054  $   389046504  $   384839535  $     4093974  $      48      $       0      $      97      $           0  $              $0.370763      $4094054.000000      $24.824503 $24.556061 $0.261231 $     1.01  $    94.00  
48587 $  3009   $  3195141789  $  9152807979     $     4088661  $   404768869  $   401788738  $     4088604  $       0      $       0      $      97      $           0  $              $0.349089      $4088661.000000      $25.827724 $25.637566 $0.260888 $     1.01  $    98.27  
48589 $  4011   $  3201194948  $  9174121767     $     3966536  $   405678534  $   402534518  $     3966576  $      48      $       0      $      97      $           0  $              $0.348938      $3966536.000000      $25.911602 $25.710789 $0.253354 $     1.01  $   101.48  
48587 $  4011   $  3198549273  $  9162109333     $     3912686  $   405185288  $   402237594  $     3912880  $       0      $       0      $      97      $           0  $              $0.349106      $3912686.000000      $25.880098 $25.691822 $0.249924 $     1.01  $   102.80  
48589 $  5013   $  3200846873  $  9173092158     $     3937885  $   405610834  $   402485338  $     3937903  $      48      $       0      $      97      $           0  $              $0.348939      $3937885.000000      $25.907280 $25.707647 $0.251523 $     1.01  $   102.21  
48587 $  5013   $  3198284321  $  9162239507     $     3865671  $   405214327  $   402206589  $     3865864  $       0      $       0      $      97      $           0  $              $0.349072      $3865671.000000      $25.881954 $25.689842 $0.246921 $     1.01  $   104.04  
48589 $  6015   $  3311774202  $  9170837617     $     4292308  $   396127043  $   392490504  $     4571541  $      48      $       0      $      97      $           0  $              $0.361120      $4292308.000000      $25.301527 $25.069254 $0.291995 $     1.01  $    85.86  
48587 $  6015   $  3189872183  $  9159090130     $     4351277  $   404388200  $   401139517  $     4351303  $       0      $       0      $      97      $           0  $              $0.348274      $4351277.000000      $25.829185 $25.621685 $0.277928 $     1.01  $    92.19  
48589 $  7017   $  3428784130  $  9169609389     $     4034960  $   387503213  $   383190810  $     4034991  $      49      $       0      $      97      $           0  $              $0.373929      $4034960.000000      $24.750704 $24.475262 $0.257724 $     1.01  $    94.97  
48587 $  7017   $  3193332879  $  9159609567     $     4109003  $   404997436  $   401582865  $     4109075  $       0      $       0      $      97      $           0  $              $0.348632      $4109003.000000      $25.868099 $25.650003 $0.262456 $     1.01  $    97.73  
48589 $  8020   $  3428445082  $  9169987975     $     4024277  $   387458664  $   383149808  $     4024255  $      49      $       0      $      97      $           0  $              $0.373877      $4024277.000000      $24.723185 $24.448244 $0.256782 $     1.01  $    95.21  
48587 $  8019   $  3192991467  $  9159457893     $     4101106  $   404961843  $   401541967  $     4101149  $       0      $       0      $      97      $           0  $              $0.348600      $4101106.000000      $25.865828 $25.647390 $0.261950 $     1.01  $    97.91  
48589 $  9023   $  3284139073  $  9162588282     $     4141389  $   397465905  $   393974310  $     4141316  $      48      $       0      $      97      $           0  $              $0.358429      $4141389.000000      $25.361734 $25.138939 $0.264251 $     1.01  $    95.13  
48587 $  9022   $  3224010019  $  9152698133     $     4334627  $   402419384  $   399267978  $     4620647  $       0      $       0      $      97      $           0  $              $0.352247      $4334627.000000      $25.677807 $25.476719 $0.294837 $     1.01  $    86.41  
48589 $ 10025   $  3199111780  $  9161675392     $     3714706  $   405280060  $   402260265  $     3714723  $      48      $       0      $      97      $           0  $              $0.349184      $3714706.000000      $25.886152 $25.693270 $0.237268 $     1.01  $   108.29  
48587 $ 10024   $  3198888805  $  9159711935     $     3995843  $   405384684  $   402269132  $     3995882  $       0      $       0      $      97      $           0  $              $0.349235      $3995843.000000      $25.892834 $25.693836 $0.255226 $     1.01  $   100.67  
48589 $ 11027   $  3199986318  $  9164671211     $     3780403  $   405409469  $   402375452  $     3780401  $      48      $       0      $      97      $           0  $              $0.349165      $3780403.000000      $25.894417 $25.700628 $0.241463 $     1.01  $   106.44  
48587 $ 11026   $  3198904306  $  9162479264     $     4132376  $   405313779  $   402265961  $     4132312  $       0      $       0      $      97      $           0  $              $0.349131      $4132376.000000      $25.888306 $25.693634 $0.263940 $     1.01  $    97.35  
48587 $ 11199   $   570455161  $  1632173251     $      399573  $    72118034  $    71728667  $      399576  $       0      $       0      $      97      $           0  $              $0.349506      $399573.000000      $26.679502 $26.535460 $0.147820 $     1.01  $   179.51  
48589 $ 11200   $   278355796  $   794663453     $      337030  $    34320807  $    34068322  $      336031  $       7      $       0      $      97      $           0  $              $0.350281      $337030.000000      $12.696715 $12.603309 $0.124312 $     1.01  $   101.38  
48587 $ 12112   $  3053571387  $  8744440619     $      114854  $   384981739  $   383865829  $      114860  $       0      $       0      $      97      $           0  $              $0.349201      $114854.000000      $26.986671 $26.908447 $0.008052 $     1.00  $  3342.03  
48587 $ 12114   $      559913  $     1624983     $          28  $       70870  $       70543  $          26  $       0      $       0      $      97      $           0  $              $0.344565      $28.000000      $2.267840 $2.257376 $0.000832 $     1.00  $  2713.19  
48587 $ 13117   $  3162950267  $  9058405457     $     4477987  $   400289909  $   397813122  $     4477993  $      48      $       0      $      97      $           0  $              $0.349173      $4477987.000000      $25.541929 $25.383888 $0.285734 $     1.01  $    88.84  
48607 $  1003   $  3372911674  $  8947039075     $     5315203  $   373295969  $   365744145  $     5742352  $       0      $       0      $      97      $           0  $              $0.376986      $5315203.000000      $23.819483 $23.337614 $0.366411 $     1.02  $    63.69  
48607 $  2006   $  3395177778  $  9079253608     $    12858260  $   388883553  $   378728704  $    12858449  $      48      $       0      $      97      $           0  $              $0.373949      $12858260.000000      $24.814104 $24.166138 $0.820479 $     1.03  $    29.45  
48587 $ 14120   $  3071509863  $  8810051862     $     7365229  $   384786291  $   380764431  $     7365108  $       0      $       0      $      97      $           0  $              $0.348637      $7365229.000000      $24.552666 $24.296034 $0.469957 $     1.01  $    51.70  
48607 $  3009   $  3396919349  $  9149425364     $     9209935  $   391730647  $   382919938  $     9210030  $      48      $       0      $      97      $           0  $              $0.371271      $9209935.000000      $24.995775 $24.433575 $0.587679 $     1.02  $    41.58  
48587 $ 15123   $  3182635346  $  9151928532     $     5873155  $   404598801  $   400358351  $     5873157  $       0      $       0      $      97      $           0  $              $0.347756      $5873155.000000      $25.816874 $25.546295 $0.374758 $     1.01  $    68.17  
48607 $  4011   $  3209064601  $  9167333527     $     4053495  $   407439212  $   402357193  $     4053393  $      48      $       0      $      97      $           0  $              $0.350054      $4053495.000000      $26.024061 $25.699461 $0.258899 $     1.01  $    99.26  
48587 $ 16125   $  3191617279  $  9165751922     $     5136067  $   405063230  $   401413658  $     5136034  $       0      $       0      $      97      $           0  $              $0.348211      $5136067.000000      $25.872303 $25.639196 $0.328050 $     1.01  $    78.16  
48607 $  4158   $   468282164  $  1334915260     $      445609  $    59249723  $    58682456  $      445586  $       6      $       0      $      97      $           0  $              $0.350795      $445609.000000      $25.795797 $25.548824 $0.193997 $     1.01  $   131.70  
48587 $ 16272   $   455938653  $  1304245227     $      727859  $    56525298  $    56066183  $      726883  $       0      $       0      $      97      $           0  $              $0.349580      $727859.000000      $24.609653 $24.409767 $0.316466 $     1.01  $    77.13  
