PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
49385 $  1003   $ 22001308413  $  8803162810     $      862208  $   344219355  $   344270544  $     4630695  $      49      $       0      $      97      $           0  $              $2.499250      $862208.000000      $21.964146 $21.967411 $0.295478 $     1.00  $    74.35  
49383 $  1003   $  3053592844  $  8719400190     $     5288022  $   382185578  $   378769081  $     5709291  $       0      $       0      $      97      $           0  $              $0.350207      $5288022.000000      $24.386717 $24.168716 $0.364302 $     1.01  $    66.34  
49385 $  2005   $ 22949910062  $  9136308249     $      775311  $   358849925  $   358884895  $     4033078  $      51      $       0      $      97      $           0  $              $2.511946      $775311.000000      $22.920553 $22.922789 $0.257602 $     1.00  $    88.99  
49383 $  2005   $  3175390040  $  9137462676     $     5474463  $   402983198  $   399408238  $     5474454  $       0      $       0      $      97      $           0  $              $0.347513      $5474463.000000      $25.739447 $25.511105 $0.349666 $     1.01  $    72.96  
49385 $  3007   $ 23034863933  $  9143662697     $      724815  $   360379088  $   360398891  $     3896940  $      51      $       0      $      97      $           0  $              $2.519216      $724815.000000      $23.018225 $23.019489 $0.248906 $     1.00  $    92.48  
49383 $  3007   $  3175756226  $  9138380308     $     5493017  $   403187797  $   399469924  $     5492976  $       0      $       0      $      97      $           0  $              $0.347519      $5493017.000000      $25.752514 $25.515045 $0.350849 $     1.01  $    72.72  
49385 $  4009   $ 22944327720  $  9135297038     $      842302  $   358760763  $   358796283  $     4444221  $      50      $       0      $      97      $           0  $              $2.511612      $842302.000000      $22.914860 $22.917128 $0.283862 $     1.00  $    80.73  
49383 $  4009   $  3171434622  $  9136824410     $     5538443  $   402915798  $   398997286  $     5538551  $       0      $       0      $      97      $           0  $              $0.347105      $5538443.000000      $25.735142 $25.484856 $0.353760 $     1.01  $    72.04  
49385 $  5012   $ 22951350639  $  9138327728     $      833775  $   358874272  $   358906795  $     4418910  $      50      $       0      $      97      $           0  $              $2.511548      $833775.000000      $22.899256 $22.901331 $0.281964 $     1.00  $    81.22  
49383 $  5012   $  3172864883  $  9140178115     $     5527239  $   403071791  $   399179014  $     5527362  $       0      $       0      $      97      $           0  $              $0.347134      $5527239.000000      $25.719435 $25.471043 $0.352693 $     1.01  $    72.22  
49385 $  6015   $ 23052831790  $  9147713251     $      774660  $   360659925  $   360683194  $     4205416  $      50      $       0      $      97      $           0  $              $2.520065      $774660.000000      $23.013197 $23.014681 $0.268342 $     1.00  $    85.77  
49383 $  6015   $  3178415339  $  9142995559     $     5631176  $   403451505  $   399816263  $     5631144  $       0      $       0      $      97      $           0  $              $0.347634      $5631176.000000      $25.743666 $25.511705 $0.359315 $     1.01  $    71.00  
49385 $  7017   $ 22981230489  $  9143291208     $      838783  $   359343361  $   359380193  $     4377516  $      50      $       0      $      97      $           0  $              $2.513453      $838783.000000      $22.952070 $22.954424 $0.279602 $     1.00  $    82.10  
49383 $  7017   $  3181394464  $  9144870245     $     5705773  $   403483385  $   400150166  $     5705761  $       0      $       0      $      97      $           0  $              $0.347888      $5705773.000000      $25.771395 $25.558495 $0.364440 $     1.01  $    70.13  
49385 $  8019   $ 22982034887  $  9142708586     $      828748  $   359353840  $   359386040  $     4344437  $      50      $       0      $      97      $           0  $              $2.513701      $828748.000000      $22.952742 $22.954798 $0.277489 $     1.00  $    82.72  
49383 $  8019   $  3181379805  $  9143953495     $     5690221  $   403457326  $   400141508  $     5690218  $       0      $       0      $      97      $           0  $              $0.347922      $5690221.000000      $25.769728 $25.557940 $0.363447 $     1.01  $    70.32  
49385 $  9021   $ 23022687161  $  9144240115     $      761002  $   360187864  $   360208460  $     4077476  $      50      $       0      $      97      $           0  $              $2.517725      $761002.000000      $23.006012 $23.007326 $0.260438 $     1.00  $    88.34  
49383 $  9021   $  3210352308  $  9146142362     $     5692611  $   401029331  $   397551707  $     5980836  $       0      $       0      $      97      $           0  $              $0.351006      $5692611.000000      $25.614649 $25.392525 $0.382009 $     1.01  $    66.47  
49385 $ 10023   $ 22961583922  $  9136858475     $      773642  $   359038650  $   359072353  $     3977111  $      50      $       0      $      97      $           0  $              $2.513072      $773642.000000      $22.932610 $22.934761 $0.254027 $     1.00  $    90.28  
49383 $ 10023   $  3182391891  $  9154081852     $     5507856  $   403753732  $   400286644  $     5507852  $       0      $       0      $      97      $           0  $              $0.347647      $5507856.000000      $25.788662 $25.567211 $0.351799 $     1.01  $    72.68  
49385 $ 11025   $ 22951797601  $  9133391817     $      782564  $   358881016  $   358911498  $     4013040  $      50      $       0      $      97      $           0  $              $2.512954      $782564.000000      $22.922541 $22.924486 $0.256322 $     1.00  $    89.44  
49383 $ 11025   $  3180224669  $  9152361898     $     5595327  $   403546358  $   400019678  $     5595244  $       0      $       0      $      97      $           0  $              $0.347476      $5595327.000000      $25.775417 $25.550159 $0.357381 $     1.01  $    71.49  
49385 $ 12027   $ 23035608349  $  9143560776     $      763230  $   360391298  $   360413602  $     4121287  $      50      $       0      $      97      $           0  $              $2.519326      $763230.000000      $23.019005 $23.020430 $0.263236 $     1.00  $    87.45  
49383 $ 12027   $  3179850492  $  9153138963     $     5471628  $   403935959  $   400062571  $     5471695  $       0      $       0      $      97      $           0  $              $0.347405      $5471628.000000      $25.800301 $25.552898 $0.349490 $     1.01  $    73.11  
49385 $ 13030   $ 22954475765  $  9138101436     $      832220  $   358920341  $   358952686  $     4346727  $      50      $       0      $      97      $           0  $              $2.511952      $832220.000000      $22.902197 $22.904259 $0.277358 $     1.00  $    82.58  
49383 $ 13030   $  3178619246  $  9154561817     $     5567464  $   403723998  $   399907461  $     5567582  $       0      $       0      $      97      $           0  $              $0.347217      $5567464.000000      $25.761053 $25.517525 $0.355259 $     1.01  $    71.83  
49385 $ 14033   $ 22960792549  $  9138484979     $      833330  $   359019944  $   359049790  $     4355338  $      50      $       0      $      97      $           0  $              $2.512538      $833330.000000      $22.908550 $22.910456 $0.277908 $     1.00  $    82.44  
49383 $ 14033   $  3181594229  $  9156071901     $     5664220  $   403821918  $   400230433  $     5664242  $       0      $       0      $      97      $           0  $              $0.347485      $5664220.000000      $25.767302 $25.538134 $0.361427 $     1.01  $    70.66  
49385 $ 15035   $ 23068137620  $  9149169693     $      764580  $   360896968  $   360919487  $     4057784  $      50      $       0      $      97      $           0  $              $2.521337      $764580.000000      $23.051302 $23.052742 $0.259180 $     1.00  $    88.94  
49383 $ 15036   $  3190092475  $  9159607611     $     5624717  $   404480695  $   401240728  $     5624701  $       0      $       0      $      97      $           0  $              $0.348278      $5624717.000000      $25.809338 $25.602600 $0.358904 $     1.01  $    71.34  
49383 $ 15193   $   514899625  $  1473395332     $      504164  $    65114402  $    64745771  $      504156  $       0      $       0      $      97      $           0  $              $0.349465      $504164.000000      $26.543449 $26.393181 $0.205516 $     1.01  $   128.42  
49385 $ 15192   $  1852043770  $   738929185     $       50274  $    28942451  $    28938538  $      274848  $       6      $       0      $      97      $           0  $              $2.506389      $50274.000000      $11.798197 $11.796601 $0.112040 $     1.00  $   105.29  
49383 $ 16112   $  3182407329  $  9077213870     $      124185  $   401091351  $   400053584  $      124159  $       0      $       0      $      97      $           0  $              $0.350593      $124185.000000      $27.932369 $27.860096 $0.008647 $     1.00  $  3222.11  
49383 $ 16114   $      535937  $     1534492     $          33  $       67492  $       67359  $          31  $       0      $       0      $      97      $           0  $              $0.349260      $33.000000      $2.159744 $2.155488 $0.000992 $     1.00  $  2172.87  
49403 $   147   $  2579738952  $  1087177627     $      281010  $    40442611  $    40469938  $     1756080  $       0      $       0      $      97      $           0  $              $2.372877      $281010.000000      $17.607668 $17.619564 $0.764552 $     1.00  $    23.05  
49383 $ 16261   $   420424237  $  1197235621     $     1101827  $    49641768  $    49330039  $     1100871  $       6      $       0      $      97      $           0  $              $0.351162      $1101827.000000      $21.612743 $21.477024 $0.479291 $     1.01  $    44.81  
