PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
51122 $  1003   $  3306234363  $  8798654639     $     1830405  $   369151676  $   365282716  $     2254310  $      47      $       0      $      97      $           0  $              $0.375766      $1830405.000000      $23.555042 $23.308170 $0.143844 $     1.01  $   162.04  
51120 $  1003   $ 16981069724  $  8896993739     $      579249  $   376954408  $   500119713  $     2021049  $       0      $       0      $      97      $           0  $              $1.908630      $579249.000000      $24.052923 $31.911926 $0.128960 $     0.75  $   247.46  
51122 $  2005   $  3430849685  $  9177060418     $     1619153  $   387332570  $   383347195  $     1619121  $      49      $       0      $      97      $           0  $              $0.373851      $1619153.000000      $24.739805 $24.485250 $0.103417 $     1.01  $   236.76  
51120 $  2005   $ 17649035867  $  9173624997     $      491488  $   391567300  $   517929350  $     1500865  $       0      $       0      $      97      $           0  $              $1.923889      $491488.000000      $25.010286 $33.081314 $0.095864 $     0.76  $   345.09  
51122 $  3007   $  3455013006  $  9174634950     $     1786190  $   385285233  $   381335615  $     1993645  $      49      $       0      $      97      $           0  $              $0.376583      $1786190.000000      $24.609037 $24.356766 $0.127339 $     1.01  $   191.28  
51120 $  3007   $ 17636752598  $  9178684045     $      519376  $   391792458  $   520059220  $     1617509  $       0      $       0      $      97      $           0  $              $1.921490      $519376.000000      $25.024668 $33.217358 $0.103314 $     0.75  $   321.52  
51122 $  4009   $  3430477306  $  9176555332     $     1650627  $   387287112  $   383305378  $     1650601  $      49      $       0      $      97      $           0  $              $0.373831      $1650627.000000      $24.736900 $24.482578 $0.105428 $     1.01  $   232.22  
51120 $  4009   $ 17644011070  $  9174466334     $      490541  $   391827905  $   519147674  $     1498930  $       0      $       0      $      97      $           0  $              $1.923165      $490541.000000      $25.026932 $33.159134 $0.095740 $     0.75  $   346.35  
51122 $  5012   $  3430503058  $  9175951727     $     1614169  $   387249077  $   383308029  $     1614191  $      49      $       0      $      97      $           0  $              $0.373858      $1614169.000000      $24.709812 $24.458340 $0.102999 $     1.01  $   237.46  
51120 $  5012   $ 17643494140  $  9173838798     $      492848  $   391667308  $   517793393  $     1514956  $       0      $       0      $      97      $           0  $              $1.923240      $492848.000000      $24.991732 $33.039658 $0.096667 $     0.76  $   341.79  
51122 $  6015   $  3452498147  $  9168538118     $     1752277  $   384920537  $   380940394  $     1961815  $      49      $       0      $      97      $           0  $              $0.376559      $1752277.000000      $24.561232 $24.307262 $0.125181 $     1.01  $   194.18  
51120 $  6015   $ 17642389717  $  9171716134     $      497865  $   391427811  $   517737210  $     1574775  $       0      $       0      $      97      $           0  $              $1.923565      $497865.000000      $24.976450 $33.036072 $0.100484 $     0.76  $   328.77  
51122 $  6312   $  1044123803  $  2792168141     $      332397  $   117820515  $   116658684  $      332381  $      13      $       0      $      97      $           0  $              $0.373947      $332397.000000      $25.388931 $25.138573 $0.071624 $     1.01  $   350.98  
51120 $  6312   $  3284473010  $  1718835550     $       93371  $    72767266  $    96188156  $      280150  $       0      $       0      $      97      $           0  $              $1.910871      $93371.000000      $15.680488 $20.727415 $0.060369 $     0.76  $   343.35  
