PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
51592 $  1003   $ 21191190886  $  8824812183     $     1114804  $   343574345  $   420287951  $     6424745  $      49      $       0      $      97      $           0  $              $2.401319      $1114804.000000      $21.922989 $26.817974 $0.409954 $     0.82  $    65.42  
51590 $  1003   $ 17000993141  $  8917767126     $      736473  $   377098145  $   499902598  $     2605189  $       0      $       0      $      97      $           0  $              $1.906418      $736473.000000      $24.062096 $31.898071 $0.166233 $     0.75  $   191.89  
51592 $  2005   $ 22045368653  $  9148622659     $      965773  $   356976753  $   433922959  $     5988317  $      51      $       0      $      97      $           0  $              $2.409693      $965773.000000      $22.800911 $27.715637 $0.382487 $     0.82  $    72.46  
51590 $  2005   $ 17636277200  $  9179700263     $      648111  $   390866272  $   516613038  $     2094027  $       0      $       0      $      97      $           0  $              $1.921226      $648111.000000      $24.965511 $32.997238 $0.133750 $     0.76  $   246.71  
51592 $  3008   $ 21943788314  $  9146476129     $     1025626  $   355190201  $   431999038  $     6320867  $      51      $       0      $      97      $           0  $              $2.399152      $1025626.000000      $22.664181 $27.565243 $0.403325 $     0.82  $    68.34  
51590 $  3008   $ 17611992420  $  9179487694     $      706096  $   390796923  $   518057098  $     2248019  $       0      $       0      $      97      $           0  $              $1.918625      $706096.000000      $24.936195 $33.056484 $0.143443 $     0.75  $   230.45  
51592 $  4010   $ 22008044045  $  9145949428     $      973715  $   356804122  $   437314056  $     5990059  $      51      $       0      $      97      $           0  $              $2.406316      $973715.000000      $22.789885 $27.932234 $0.382599 $     0.82  $    73.01  
51590 $  4010   $ 17631402215  $  9180503676     $      655278  $   390976773  $   517725483  $     2120335  $       0      $       0      $      97      $           0  $              $1.920527      $655278.000000      $24.972569 $33.068295 $0.135431 $     0.76  $   244.17  
51592 $  5012   $ 22063582783  $  9144248837     $     1020865  $   357530973  $   436836084  $     6112604  $      51      $       0      $      97      $           0  $              $2.412837      $1020865.000000      $22.836309 $27.901707 $0.390426 $     0.82  $    71.46  
51590 $  5012   $ 17618401143  $  9175530634     $      694053  $   390682412  $   516110769  $     2225305  $       0      $       0      $      97      $           0  $              $1.920151      $694053.000000      $24.953766 $32.965160 $0.142135 $     0.76  $   231.93  
51592 $  6014   $ 22022741753  $  9142180544     $     1026050  $   356674574  $   434213072  $     6097597  $      51      $       0      $      97      $           0  $              $2.408916      $1026050.000000      $22.781609 $27.734167 $0.389467 $     0.82  $    71.21  
51590 $  6014   $ 17616451905  $  9173055768     $      684208  $   390562021  $   516525428  $     2199069  $       0      $       0      $      97      $           0  $              $1.920456      $684208.000000      $24.946077 $32.991646 $0.140459 $     0.76  $   234.88  
51592 $  6312   $  6830819869  $  2794405132     $      217591  $   110457733  $   133737480  $     1320035  $      13      $       0      $      97      $           0  $              $2.444463      $217591.000000      $23.722467 $28.722143 $0.283497 $     0.83  $   101.31  
51590 $  6313   $  3397138851  $  1778695695     $      126636  $    75216543  $    99046032  $      411604  $       0      $       0      $      97      $           0  $              $1.909904      $126636.000000      $16.099863 $21.200489 $0.088103 $     0.76  $   240.63  
51592 $  7118   $ 18515718267  $  7628875209     $       91950  $   299819327  $   366065310  $      744209  $      30      $       0      $      97      $           0  $              $2.427058      $91950.000000      $23.806993 $29.067221 $0.059094 $     0.82  $   491.89  
51592 $  7120   $    14801487  $     6124532     $          20  $      249247  $      398780  $         204  $       0      $       0      $      97      $           0  $              $2.416754      $20.000000      $7.975904 $12.760960 $0.006528 $     0.63  $  1954.80  
51592 $  8123   $ 21997725375  $  9144634379     $     1037255  $   356277564  $   435175265  $     6275505  $      51      $       0      $      97      $           0  $              $2.405534      $1037255.000000      $22.733564 $27.767914 $0.400431 $     0.82  $    69.35  
51610 $  1003   $ 17161577345  $  9002238338     $      716867  $   381138429  $   505003740  $     2567797  $       0      $       0      $      97      $           0  $              $1.906368      $716867.000000      $24.319901 $32.223568 $0.163847 $     0.75  $   196.67  
51592 $  9126   $ 22041049858  $  9143245305     $     1055628  $   357071078  $   434708387  $     6367215  $      51      $       0      $      97      $           0  $              $2.410638      $1055628.000000      $22.784197 $27.738123 $0.406283 $     0.82  $    68.27  
51610 $  2005   $ 17600440502  $  9174000381     $      658645  $   391068791  $   517097050  $     2135217  $       0      $       0      $      97      $           0  $              $1.918513      $658645.000000      $24.978447 $33.028156 $0.136381 $     0.76  $   242.18  
51592 $ 10129   $ 22007017509  $  9143467007     $     1025630  $   356348885  $   433603853  $     6221348  $      51      $       0      $      97      $           0  $              $2.406857      $1025630.000000      $22.738115 $27.667643 $0.396975 $     0.82  $    69.70  
51610 $  3008   $ 17593456138  $  9174195073     $      661790  $   391338830  $   520744613  $     2157351  $       0      $       0      $      97      $           0  $              $1.917711      $661790.000000      $24.970772 $33.227970 $0.137657 $     0.75  $   241.38  
51592 $ 11132   $ 22000253381  $  9143785068     $     1019106  $   356279836  $   433961072  $     6246649  $      51      $       0      $      97      $           0  $              $2.406033      $1019106.000000      $22.733709 $27.690439 $0.398590 $     0.82  $    69.47  
51610 $  4011   $ 17597042098  $  9174108890     $      649822  $   391222037  $   517848881  $     2115161  $       0      $       0      $      97      $           0  $              $1.918120      $649822.000000      $24.963322 $33.043201 $0.134965 $     0.76  $   244.83  
51592 $ 12135   $ 22018560505  $  9146776066     $     1041789  $   356582082  $   434570624  $     6312524  $      51      $       0      $      97      $           0  $              $2.407248      $1041789.000000      $22.752995 $27.729332 $0.402793 $     0.82  $    68.84  
51610 $  5014   $ 17603873831  $  9174811939     $      645349  $   391101087  $   517083456  $     2120649  $       0      $       0      $      97      $           0  $              $1.918718      $645349.000000      $24.955603 $32.994358 $0.135316 $     0.76  $   243.83  
51592 $ 13137   $ 21974477452  $  9144267871     $     1068821  $   355691011  $   433471181  $     6453830  $      51      $       0      $      97      $           0  $              $2.403088      $1068821.000000      $22.718786 $27.686781 $0.412221 $     0.82  $    67.16  
51610 $  6017   $ 17590120319  $  9175103351     $      704225  $   391106558  $   518082948  $     2265811  $       0      $       0      $      97      $           0  $              $1.917158      $704225.000000      $24.955952 $33.058132 $0.144578 $     0.75  $   228.65  
51592 $ 13417   $  6373383371  $  2603511094     $      189638  $   102910390  $   123070661  $     1189431  $      13      $       0      $      97      $           0  $              $2.447995      $189638.000000      $23.522375 $28.130438 $0.271870 $     0.84  $   103.47  
51610 $  6298   $  3395292490  $  1855617856     $      123039  $    74334619  $    98025300  $      395683  $       0      $       0      $      97      $           0  $              $1.829737      $123039.000000      $16.930304 $22.326046 $0.090120 $     0.76  $   247.74  
51592 $ 13793   $  8876485608  $  3654748604     $       50113  $   143554905  $   174654830  $      401846  $      14      $       0      $      97      $           0  $              $2.428754      $50113.000000      $24.434879 $29.728481 $0.068399 $     0.82  $   434.63  
51615 $  1004   $ 17333565670  $  9020743140     $       97066  $   384025512  $   507677405  $      535261  $      34      $       0      $      65      $           0  $              $1.921523      $97066.000000      $24.479713 $32.361908 $0.034120 $     0.76  $   948.47  
