PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
51902 $  1004   $  1470889442  $  4690715529     $     2990196  $    87490610  $    63411302  $     7082002  $      41      $       0      $      97      $           0  $              $0.313575      $2990196.000000      $5.577091 $4.042155 $0.451442 $     1.38  $     8.95  
51900 $  1004   $ 14997093848  $  8992087435     $      674346  $  1893563360  $     6498736  $     5038576  $       0      $       0      $      97      $           0  $              $1.667810      $674346.000000      $120.705238 $0.414262 $0.321184 $   291.37  $     1.29  
51902 $  2006   $  1097075160  $  4142192307     $     3551407  $   107863657  $    84062642  $     8572192  $      42      $       0      $      97      $           0  $              $0.264854      $3551407.000000      $6.889495 $5.369270 $0.547525 $     1.28  $     9.81  
51900 $  2006   $ 15773327397  $  9423761071     $      651712  $  1992842933  $     6459199  $     5115186  $       0      $       0      $      97      $           0  $              $1.673783      $651712.000000      $127.287369 $0.412564 $0.326718 $   308.53  $     1.26  
51902 $  3008   $  1617458081  $  5294806548     $     3575008  $   108500878  $    80013207  $     9523846  $      43      $       0      $      97      $           0  $              $0.305480      $3575008.000000      $6.930196 $5.110624 $0.608310 $     1.36  $     8.40  
51900 $  3008   $ 15662789879  $  9363901563     $      657729  $  1978467911  $     6430266  $     5143465  $       0      $       0      $      97      $           0  $              $1.672678      $657729.000000      $126.369209 $0.410716 $0.328525 $   307.68  $     1.25  
51902 $  4011   $  1598451813  $  5184541215     $     3453099  $   104726605  $    79497546  $    10778514  $      43      $       0      $      97      $           0  $              $0.308311      $3453099.000000      $6.682456 $5.072625 $0.687762 $     1.32  $     7.38  
51900 $  4011   $ 15528476917  $  9286133618     $      658513  $  1961159529  $     6395777  $     5103165  $       0      $       0      $      97      $           0  $              $1.672222      $658513.000000      $125.138794 $0.408105 $0.325626 $   306.63  $     1.25  
51902 $  5014   $  1112635235  $  4235144098     $     3639732  $   110113914  $    84651712  $     7311085  $      42      $       0      $      97      $           0  $              $0.262715      $3639732.000000      $7.026212 $5.401505 $0.466510 $     1.30  $    11.58  
51900 $  5014   $ 15742367698  $  9425932576     $      704073  $  1984300973  $     6800249  $     5320652  $       0      $       0      $      97      $           0  $              $1.670112      $704073.000000      $126.615410 $0.433914 $0.339503 $   291.80  $     1.28  
51902 $  6017   $  1725273407  $  5493730049     $     3490861  $   106362097  $    78777901  $    10819144  $      43      $       0      $      97      $           0  $              $0.314044      $3490861.000000      $6.786814 $5.026706 $0.690354 $     1.35  $     7.28  
51900 $  6017   $ 15604274664  $  9335156312     $      656491  $  1970646495  $     6425011  $     5117714  $       0      $       0      $      97      $           0  $              $1.671560      $656491.000000      $125.744148 $0.409971 $0.326554 $   306.71  $     1.26  
51900 $  6393   $  5873455048  $  3493402295     $      210994  $   744972283  $     2187233  $     1784879  $       0      $       0      $      97      $           0  $              $1.681299      $210994.000000      $126.803795 $0.372295 $0.303809 $   340.60  $     1.23  
51902 $  6394   $   104537588  $   716818719     $      973913  $    29090053  $    24158607  $      974999  $      14      $       0      $      97      $           0  $              $0.145835      $973913.000000      $4.938364 $4.101196 $0.165517 $     1.20  $    24.78  
51900 $  7109   $ 11584100602  $  6922648301     $      450795  $  1460399325  $     5053120  $     3445570  $       0      $       0      $      97      $           0  $              $1.673363      $450795.000000      $130.538483 $0.451676 $0.307984 $   289.01  $     1.47  
51900 $  7112   $     2408123  $     1425044     $          12  $      309022  $         634  $         436  $       0      $       0      $      97      $           0  $              $1.689859      $12.000000      $6.592469 $0.013525 $0.009301 $   487.42  $     1.45  
51900 $  8115   $ 14048628882  $  8558624999     $      579920  $  1764254790  $     5563240  $     4564297  $      41      $       0      $      97      $           0  $              $1.641459      $579920.000000      $112.574585 $0.354982 $0.291241 $   317.13  $     1.22  
51926 $  1003   $  1471073389  $  4704265632     $     2994133  $    87320844  $    63028195  $     7093939  $       0      $       0      $      97      $           0  $              $0.312711      $2994133.000000      $5.571819 $4.021739 $0.452654 $     1.39  $     8.88  
51926 $  2005   $  1038066827  $  4004642099     $     3513458  $   107248447  $    83036977  $     7819445  $      40      $       0      $      97      $           0  $              $0.259216      $3513458.000000      $6.850200 $5.303759 $0.499446 $     1.29  $    10.62  
51900 $  9117   $ 13769718241  $  8491448678     $      563300  $  1721442635  $     5538674  $     4432430  $       0      $       0      $      97      $           0  $              $1.621598      $563300.000000      $109.952431 $0.353768 $0.283109 $   310.80  $     1.25  
51926 $  3007   $  1673516530  $  5399378636     $     3526276  $   107386118  $    79168212  $    10187985  $      44      $       0      $      97      $           0  $              $0.309946      $3526276.000000      $6.858994 $5.056652 $0.650730 $     1.36  $     7.77  
51900 $ 10119   $ 15650040761  $  9355669005     $      662555  $  1976814888  $     6426748  $     5133884  $       0      $       0      $      97      $           0  $              $1.672787      $662555.000000      $126.263626 $0.410491 $0.327913 $   307.59  $     1.25  
51926 $  4010   $  1551055211  $  5069253370     $     3441856  $   104672841  $    79184022  $    10771651  $      43      $       0      $      97      $           0  $              $0.305973      $3441856.000000      $6.679025 $5.052619 $0.687324 $     1.32  $     7.35  
51900 $ 11122   $ 15540301767  $  9287053363     $      650670  $  1962859978  $     6395847  $     5083072  $       0      $       0      $      97      $           0  $              $1.673330      $650670.000000      $125.247299 $0.408110 $0.324344 $   306.90  $     1.26  
51926 $  5013   $  1161309938  $  4350192006     $     3635981  $   110209323  $    83974835  $     7304716  $      42      $       0      $      97      $           0  $              $0.266956      $3635981.000000      $7.032300 $5.358315 $0.466104 $     1.31  $    11.50  
51900 $ 12125   $ 15769772202  $  9424836941     $      659220  $  1992173972  $     6453562  $     5147224  $       0      $       0      $      97      $           0  $              $1.673214      $659220.000000      $127.117783 $0.411793 $0.328437 $   308.69  $     1.25  
51926 $  6016   $  1724362595  $  5491145112     $     3474554  $   106084887  $    78606539  $    10802947  $      43      $       0      $      97      $           0  $              $0.314026      $3474554.000000      $6.769125 $5.015771 $0.689321 $     1.35  $     7.28  
51900 $ 13128   $ 15613045225  $  9329126016     $      653704  $  1972259824  $     6410851  $     5100581  $       0      $       0      $      97      $           0  $              $1.673581      $653704.000000      $125.847092 $0.409067 $0.325461 $   307.64  $     1.26  
51900 $ 13524   $  6133715052  $  3666831310     $      264415  $   773733016  $     2610127  $     1996966  $       0      $       0      $      97      $           0  $              $1.672756      $264415.000000      $125.047760 $0.421839 $0.322742 $   296.43  $     1.31  
51926 $  6412   $   109450013  $   760001751     $     1049771  $    31317810  $    25524891  $     1050628  $      15      $       0      $      97      $           0  $              $0.144013      $1049771.000000      $5.061464 $4.125235 $0.169798 $     1.23  $    24.29  
51900 $ 14214   $ 11376003014  $  6784125479     $      397696  $  1438158808  $     4650455  $     3226023  $       0      $       0      $      97      $           0  $              $1.676856      $397696.000000      $133.394440 $0.431347 $0.299225 $   309.25  $     1.44  
51900 $ 14216   $     2538166  $     1505538     $          20  $      325713  $         662  $         591  $       0      $       0      $      97      $           0  $              $1.685886      $20.000000      $10.422816 $0.021184 $0.018912 $   492.01  $     1.12  
51931 $   270   $   287457347  $   773470766     $      374955  $     7927876  $     4237176  $      796269  $       0      $       0      $      97      $           0  $              $0.371646      $374955.000000      $1.879200 $1.004368 $0.188745 $     1.87  $     5.32  
51900 $ 14486   $  2896812000  $  1779903409     $      112092  $   363453121  $     1080371  $      915560  $       9      $       0      $      97      $           0  $              $1.627511      $112092.000000      $86.151848 $0.256088 $0.217022 $   336.42  $     1.18  
