PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
52393 $  1003   $ 17496565333  $  8887897704     $     3024218  $   380389424  $   346956460  $    45652265  $      53      $       0      $      97      $           0  $              $1.968583      $3024218.000000      $24.272108 $22.138796 $2.913006 $     1.10  $     7.60  
52391 $  1003   $ 14567383421  $  8761484919     $      675126  $  1834995388  $     6611163  $     5168746  $       0      $       0      $      97      $           0  $              $1.662661      $675126.000000      $117.088432 $0.421849 $0.329810 $   277.56  $     1.28  
52393 $  2006   $ 18216685219  $  9130436549     $     3046712  $   397032566  $   362086398  $    47046884  $      54      $       0      $      97      $           0  $              $1.995160      $3046712.000000      $25.334084 $23.104218 $3.001995 $     1.10  $     7.70  
52391 $  2006   $ 15129716432  $  9068817493     $      653265  $  1906731428  $     6520617  $     5280939  $       0      $       0      $      97      $           0  $              $1.668323      $653265.000000      $121.665810 $0.416071 $0.336969 $   292.42  $     1.23  
52393 $  3008   $ 18243182257  $  9142641406     $     3049324  $   397549883  $   362595773  $    47081756  $      54      $       0      $      97      $           0  $              $1.995395      $3049324.000000      $25.392408 $23.159809 $3.007218 $     1.10  $     7.70  
52391 $  3009   $ 15152037547  $  9082442580     $      657850  $  1909494043  $     6533750  $     5286537  $       0      $       0      $      97      $           0  $              $1.668278      $657850.000000      $121.842094 $0.416909 $0.337326 $   292.25  $     1.24  
52393 $  4010   $ 18182114182  $  9143381695     $     3096944  $   396230391  $   361317698  $    47261601  $      54      $       0      $      97      $           0  $              $1.988554      $3096944.000000      $25.308130 $23.078176 $3.018705 $     1.10  $     7.65  
52391 $  4011   $ 15152790100  $  9082305627     $      659224  $  1909700200  $     6510926  $     5288635  $       0      $       0      $      97      $           0  $              $1.668386      $659224.000000      $121.976860 $0.415868 $0.337797 $   293.31  $     1.23  
52393 $  5012   $ 18247556372  $  9142876720     $     3040892  $   397673965  $   362677539  $    46917056  $      54      $       0      $      97      $           0  $              $1.995822      $3040892.000000      $25.400331 $23.165031 $2.996698 $     1.10  $     7.73  
52391 $  5013   $ 15198735977  $  9088363354     $      598813  $  1920138750  $     6187061  $     5061106  $       0      $       0      $      97      $           0  $              $1.672329      $598813.000000      $122.643593 $0.395182 $0.323264 $   310.35  $     1.22  
52393 $  6014   $ 18245174832  $  9143965250     $     3048652  $   397595904  $   362630824  $    47063521  $      54      $       0      $      97      $           0  $              $1.995324      $3048652.000000      $25.395348 $23.162048 $3.006053 $     1.10  $     7.71  
52391 $  6015   $ 15150916346  $  9082062503     $      656874  $  1909334732  $     6522654  $     5286506  $       0      $       0      $      97      $           0  $              $1.668224      $656874.000000      $121.953522 $0.416617 $0.337661 $   292.72  $     1.23  
52393 $  7016   $ 18180277839  $  9141436489     $     3100981  $   396189577  $   361293528  $    47306661  $      54      $       0      $      97      $           0  $              $1.988777      $3100981.000000      $25.305521 $23.076633 $3.021583 $     1.10  $     7.64  
52391 $  7017   $ 15149363190  $  9081061138     $      659948  $  1909203063  $     6512337  $     5286141  $       0      $       0      $      97      $           0  $              $1.668237      $659948.000000      $121.945107 $0.415958 $0.337638 $   293.17  $     1.23  
52393 $  8018   $ 18244601135  $  9143723078     $     3048605  $   397617842  $   362608304  $    47085545  $      54      $       0      $      97      $           0  $              $1.995314      $3048605.000000      $25.396749 $23.160612 $3.007460 $     1.10  $     7.70  
52391 $  8019   $ 15152055230  $  9082091906     $      656007  $  1909545670  $     6525833  $     5286906  $       0      $       0      $      97      $           0  $              $1.668344      $656007.000000      $121.966995 $0.416820 $0.337687 $   292.61  $     1.23  
52393 $  9020   $ 18244763164  $  9143440362     $     3049541  $   397622945  $   362633102  $    47084537  $      54      $       0      $      97      $           0  $              $1.995394      $3049541.000000      $25.397074 $23.162193 $3.007396 $     1.10  $     7.70  
52391 $  9021   $ 15153312899  $  9083023892     $      658394  $  1909765917  $     6500675  $     5287064  $       0      $       0      $      97      $           0  $              $1.668311      $658394.000000      $121.981056 $0.415213 $0.337697 $   293.78  $     1.23  
52393 $ 10022   $ 18245429139  $  9143135097     $     3047263  $   397616739  $   362649189  $    47064017  $      54      $       0      $      97      $           0  $              $1.995533      $3047263.000000      $25.396677 $23.163221 $3.006085 $     1.10  $     7.71  
52391 $ 10023   $ 15150985705  $  9082253840     $      659045  $  1909386601  $     6511863  $     5286707  $       0      $       0      $      97      $           0  $              $1.668197      $659045.000000      $121.956833 $0.415927 $0.337674 $   293.22  $     1.23  
52393 $ 11025   $ 18181356322  $  9142676685     $     3100597  $   396186656  $   361290071  $    47278925  $      54      $       0      $      97      $           0  $              $1.988625      $3100597.000000      $25.280106 $23.053406 $3.016801 $     1.10  $     7.64  
52391 $ 11026   $ 15150705893  $  9082498253     $      659575  $  1909378681  $     6504746  $     5287568  $       0      $       0      $      97      $           0  $              $1.668121      $659575.000000      $121.834732 $0.415059 $0.337392 $   293.54  $     1.23  
