PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
54249 $  1003   $ 17218202702  $  8881491152     $     3693718  $   369198920  $   341117719  $    56821273  $      49      $       0      $      97      $           0  $              $1.938661      $3693718.000000      $23.558056 $21.766235 $3.625684 $     1.08  $     6.00  
54247 $  1003   $  6669561925  $  9057936644     $      482023  $    15560672  $    16812607  $    10025970  $       0      $       0      $      97      $           0  $              $0.736322      $482023.000000      $0.992904 $1.072789 $0.639743 $     0.93  $     1.68  
54249 $  2005   $ 17957468648  $  9128262997     $     3755590  $   386042626  $   356623365  $    58832148  $      50      $       0      $      97      $           0  $              $1.967238      $3755590.000000      $24.657413 $22.778337 $3.757742 $     1.08  $     6.06  
54247 $  2005   $  6722695258  $  9121131937     $      497192  $    15556675  $    16723140  $    10354162  $       0      $       0      $      97      $           0  $              $0.737046      $497192.000000      $0.993640 $1.068145 $0.661344 $     0.93  $     1.62  
54249 $  3008   $ 17944972414  $  9129692756     $     3754186  $   385639381  $   356346056  $    58827330  $      50      $       0      $      97      $           0  $              $1.965562      $3754186.000000      $24.607100 $22.737934 $3.753688 $     1.08  $     6.06  
54247 $  3007   $  6736932206  $  9121380335     $      493116  $    14690779  $    15174893  $    10349863  $       0      $       0      $      97      $           0  $              $0.738587      $493116.000000      $0.938333 $0.969255 $0.661069 $     0.97  $     1.47  
54249 $  4011   $ 17880129252  $  9130301436     $     3799719  $   384210113  $   354977015  $    58975763  $      50      $       0      $      97      $           0  $              $1.958328      $3799719.000000      $24.515900 $22.650578 $3.763160 $     1.08  $     6.02  
54247 $  4010   $  6737021136  $  9122624057     $      496365  $    14234669  $    14433707  $    10348944  $       0      $       0      $      97      $           0  $              $0.738496      $496365.000000      $0.908294 $0.920994 $0.660351 $     0.99  $     1.39  
54249 $  5014   $ 17913714071  $  9130389859     $     3749063  $   385146926  $   355756237  $    58741713  $      50      $       0      $      97      $           0  $              $1.961988      $3749063.000000      $24.575676 $22.700298 $3.748225 $     1.08  $     6.06  
54247 $  5013   $  6737080564  $  9123085355     $      496375  $    14220767  $    14397196  $    10341397  $       0      $       0      $      97      $           0  $              $0.738465      $496375.000000      $0.907407 $0.918665 $0.659870 $     0.99  $     1.39  
54249 $  6017   $ 17932329779  $  9129635893     $     3753906  $   385440301  $   356100681  $    58819724  $      50      $       0      $      97      $           0  $              $1.964189      $3753906.000000      $24.594395 $22.722277 $3.753203 $     1.08  $     6.05  
54247 $  6016   $  6731604823  $  9121464163     $      495763  $    14716774  $    15244196  $    10334592  $       0      $       0      $      97      $           0  $              $0.737996      $495763.000000      $0.939056 $0.972710 $0.659436 $     0.97  $     1.48  
54249 $  7019   $ 17943185693  $  9129912652     $     3755228  $   385619201  $   356311747  $    58820665  $      50      $       0      $      97      $           0  $              $1.965318      $3755228.000000      $24.630367 $22.758434 $3.757009 $     1.08  $     6.06  
54247 $  7018   $  6725870156  $  9121869781     $      493264  $    15537870  $    16664906  $    10327414  $       0      $       0      $      97      $           0  $              $0.737335      $493264.000000      $0.992439 $1.064425 $0.659635 $     0.93  $     1.61  
54249 $  8021   $ 17884119830  $  9130336814     $     3797549  $   384350044  $   355072238  $    58929273  $      50      $       0      $      97      $           0  $              $1.958758      $3797549.000000      $24.549305 $22.679264 $3.763946 $     1.08  $     6.03  
54247 $  8020   $  6720861118  $  9123105223     $      495763  $    15413561  $    16494274  $    10342329  $       0      $       0      $      97      $           0  $              $0.736686      $495763.000000      $0.984499 $1.053527 $0.660588 $     0.93  $     1.59  
54249 $  9023   $ 17964592050  $  9129733513     $     3755783  $   386220828  $   356764036  $    58819936  $      50      $       0      $      97      $           0  $              $1.967702      $3755783.000000      $24.668797 $22.787323 $3.756962 $     1.08  $     6.07  
54247 $  9022   $  6713327416  $  9121368452     $      495317  $    16228153  $    17891562  $    10334787  $       0      $       0      $      97      $           0  $              $0.736000      $495317.000000      $1.036529 $1.142774 $0.660106 $     0.91  $     1.73  
54249 $ 10025   $ 17937453918  $  9127802969     $     3754635  $   385496713  $   356193543  $    58796022  $      50      $       0      $      97      $           0  $              $1.965145      $3754635.000000      $24.622543 $22.750885 $3.755435 $     1.08  $     6.06  
54247 $ 10024   $  6726123567  $  9119310438     $      493651  $    15038293  $    15829480  $    10335554  $       0      $       0      $      97      $           0  $              $0.737569      $493651.000000      $0.960530 $1.011065 $0.660155 $     0.95  $     1.53  
54249 $ 10721   $ 12648834101  $  6419832706     $     2498005  $   271508318  $   251150833  $    38652897  $      33      $       0      $      97      $           0  $              $1.970275      $2498005.000000      $24.966282 $23.094330 $3.554289 $     1.08  $     6.50  
54247 $ 10720   $  3762312546  $  5226936378     $      268998  $     8461539  $     9115475  $     5559733  $       0      $       0      $      97      $           0  $              $0.719793      $268998.000000      $0.778073 $0.838205 $0.511240 $     0.93  $     1.64  
54249 $ 11147   $  8059152471  $  4045425808     $     1236918  $   172035840  $   159937234  $    18153360  $      17      $       0      $      97      $           0  $              $1.992164      $1236918.000000      $25.845760 $24.028130 $2.727265 $     1.08  $     8.81  
54249 $ 11149   $    11655018  $     5761287     $        1458  $      249242  $      231248  $       22298  $       0      $       0      $      97      $           0  $              $2.022989      $1458.000000      $7.975744 $7.399936 $0.713536 $     1.08  $    10.37  
54249 $ 12151   $ 17953693514  $  9131497878     $     3782884  $   386023165  $   356543130  $    59039624  $      50      $       0      $      97      $           0  $              $1.966128      $3782884.000000      $24.656170 $22.773214 $3.770994 $     1.08  $     6.04  
54267 $  1002   $  6716976415  $  9120068757     $      494802  $    15837887  $    17192364  $    10359034  $       0      $       0      $      97      $           0  $              $0.736505      $494802.000000      $1.011602 $1.098115 $0.661655 $     0.92  $     1.66  
54249 $ 13153   $ 17950953466  $  9128968845     $     3780046  $   385845213  $   356468930  $    59034360  $      50      $       0      $      97      $           0  $              $1.966372      $3780046.000000      $24.644804 $22.768475 $3.770658 $     1.08  $     6.04  
54267 $  2004   $  6732875415  $  9124300572     $      496026  $    15873525  $    17236310  $    10367461  $       0      $       0      $      97      $           0  $              $0.737906      $496026.000000      $1.013878 $1.100922 $0.662193 $     0.92  $     1.66  
54249 $ 14155   $ 17915842111  $  9131507149     $     3829801  $   385043062  $   355698230  $    59244501  $      50      $       0      $      97      $           0  $              $1.961981      $3829801.000000      $24.593569 $22.719250 $3.784080 $     1.08  $     6.00  
54267 $  3006   $  6727733731  $  9126122641     $      497044  $    16145015  $    17705229  $    10385516  $       0      $       0      $      97      $           0  $              $0.737195      $497044.000000      $1.031219 $1.130873 $0.663346 $     0.91  $     1.70  
54249 $ 15157   $ 17959641041  $  9130430592     $     3779585  $   386192070  $   356668916  $    59026735  $      50      $       0      $      97      $           0  $              $1.967009      $3779585.000000      $24.666958 $22.781248 $3.770171 $     1.08  $     6.04  
54267 $  4008   $  6739657186  $  9125421180     $      495938  $    15076616  $    15853899  $    10374807  $       0      $       0      $      97      $           0  $              $0.738558      $495938.000000      $0.962977 $1.012624 $0.662662 $     0.95  $     1.53  
54267 $  4507   $  3343175270  $  4534339141     $      246027  $     7540702  $     7970710  $     5126077  $       0      $       0      $      97      $           0  $              $0.737302      $246027.000000      $0.967144 $1.022295 $0.657453 $     0.95  $     1.55  
54249 $ 15657   $  8873902447  $  4511321437     $     1836314  $   190482873  $   176059536  $    28946991  $      25      $       0      $      97      $           0  $              $1.967029      $1836314.000000      $24.381809 $22.535620 $3.705215 $     1.08  $     6.08  
