PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
54731 $  1003   $  6911192902  $  9305996216     $      101911  $    16659373  $    18162329  $     1955106  $      36      $       0      $      97      $           0  $              $0.742660      $101911.000000      $1.063011 $1.158912 $0.124753 $     0.92  $     9.29  
54729 $  1003   $  4400593849  $  5174301358     $    12861534  $   165667079  $    33329900  $    14725272  $       0      $       0      $      97      $           0  $              $0.850471      $12861534.000000      $10.570980 $2.126733 $0.939599 $     4.97  $     2.26  
54731 $  2005   $  6967906955  $  9370196639     $      128991  $    16187212  $    17301878  $     2442221  $      38      $       0      $      97      $           0  $              $0.743624      $128991.000000      $1.033914 $1.105110 $0.155990 $     0.94  $     7.08  
54729 $  2005   $  5680528681  $  5928052406     $    19155482  $   229369444  $    47986666  $    26152807  $       0      $       0      $      97      $           0  $              $0.958245      $19155482.000000      $14.650344 $3.065017 $1.670439 $     4.78  $     1.83  
54731 $  3007   $  6728754261  $  9136785584     $      425645  $    16616937  $    18442425  $     8563151  $      47      $       0      $      97      $           0  $              $0.736447      $425645.000000      $1.061361 $1.177959 $0.546948 $     0.90  $     2.15  
54729 $  3007   $ 17010142731  $  9016620819     $    38440778  $   787175498  $   144135352  $    67186242  $       0      $       0      $      97      $           0  $              $1.886532      $38440776.000000      $50.278675 $9.206250 $4.291337 $     5.46  $     2.15  
54731 $  3182   $  1231575546  $  1651646551     $       38108  $     2877757  $     3098686  $      785574  $       6      $       0      $      97      $           0  $              $0.745665      $38108.000000      $1.052437 $1.133234 $0.287296 $     0.93  $     3.94  
54729 $  3183   $  1495969206  $   728783682     $     1632471  $    67569353  $    10281403  $     4926553  $       0      $       0      $      97      $           0  $              $2.052693      $1632471.000000      $24.570673 $3.738692 $1.791474 $     6.57  $     2.09  
54731 $  4081   $  6377900755  $  8547741695     $          59  $    14245061  $    14816534  $         225  $      28      $       0      $      97      $           0  $              $0.746150      $59.000000      $1.014109 $1.054792 $0.000016 $     0.96  $ 65851.27  
54731 $  4083   $     3742207  $     5267472     $           8  $        8112  $        8145  $           1  $       0      $       0      $      97      $           0  $              $0.710437      $8.000000      $0.259584 $0.260640 $0.000032 $     1.00  $  8145.00  
54731 $  5086   $  6828165898  $  9184346372     $       97151  $    15900049  $    16975158  $     1863489  $      37      $       0      $      97      $           0  $              $0.743457      $97151.000000      $1.014560 $1.083161 $0.118907 $     0.94  $     9.11  
54749 $  1003   $  4269059571  $  5073093792     $    12436807  $   160095274  $    29566277  $    14287525  $       0      $       0      $      97      $           0  $              $0.841510      $12436807.000000      $10.215451 $1.886582 $0.911667 $     5.41  $     2.07  
54731 $  6088   $  6957321932  $  9366708369     $      132934  $    16990687  $    18679955  $     2533908  $      38      $       0      $      97      $           0  $              $0.742771      $132934.000000      $1.085234 $1.193131 $0.161846 $     0.91  $     7.37  
54749 $  2005   $  5627179362  $  5916587004     $    19337408  $   228212867  $    45029598  $    26300831  $       0      $       0      $      97      $           0  $              $0.951085      $19337408.000000      $14.576470 $2.876142 $1.679893 $     5.07  $     1.71  
54731 $  7090   $  6736524178  $  9130220113     $      424547  $    15627533  $    16723104  $     8622869  $      47      $       0      $      97      $           0  $              $0.737827      $424547.000000      $0.998166 $1.068142 $0.550762 $     0.93  $     1.94  
54749 $  3007   $ 17458009997  $  9013714331     $    39553376  $   810289614  $   131875154  $    68317317  $       0      $       0      $      97      $           0  $              $1.936828      $39553376.000000      $51.755024 $8.423163 $4.363581 $     6.14  $     1.93  
54731 $  7271   $  1286586114  $  1734641186     $       32488  $     2936936  $     3103633  $      661699  $       6      $       0      $      97      $           0  $              $0.741702      $32488.000000      $1.038475 $1.097417 $0.233971 $     0.95  $     4.69  
54749 $  3188   $  1100002475  $   508899417     $      976376  $    51044077  $     6187219  $     4213919  $       0      $       0      $      97      $           0  $              $2.161532      $976376.000000      $18.048735 $2.187746 $1.490005 $     8.25  $     1.47  
54731 $  8193   $  6315130731  $  8460068968     $          38  $    14324403  $    15025198  $         218  $      27      $       0      $      97      $           0  $              $0.746463      $38.000000      $0.994319 $1.042964 $0.000015 $     0.95  $ 68922.93  
54731 $  8195   $     3641116  $     5358181     $           7  $        8256  $        7740  $           0  $       0      $       0      $      97      $           0  $              $0.679543      $7.000000      $0.264192 $0.247680 $0.000000 $     1.07  $      inf  
54731 $  9197   $  6823851220  $  9181627432     $       89316  $    16425522  $    17879863  $     1723300  $      37      $       0      $      97      $           0  $              $0.743207      $89316.000000      $1.049135 $1.142027 $0.110071 $     0.92  $    10.38  
54754 $  1002   $  4142251238  $  5086136744     $    12030288  $   153083564  $    34538045  $    13883489  $       0      $       0      $      97      $           0  $              $0.814420      $12030288.000000      $9.777793 $2.206023 $0.886770 $     4.43  $     2.49  
54731 $ 10199   $  6958199223  $  9364562178     $      130327  $    16460506  $    17758728  $     2474099  $      38      $       0      $      97      $           0  $              $0.743035      $130327.000000      $1.051370 $1.134290 $0.158026 $     0.93  $     7.18  
54754 $  2004   $  5421915824  $  5896317525     $    18486035  $   217590242  $    49751658  $    25407294  $       0      $       0      $      97      $           0  $              $0.919543      $18486036.000000      $13.897980 $3.177751 $1.622821 $     4.37  $     1.96  
54754 $  2133   $  2270552534  $  1079050139     $     3184934  $   100721936  $    16552011  $     4618254  $       0      $       0      $      97      $           0  $              $2.104214      $3184934.000000      $49.970573 $8.211850 $2.291227 $     6.09  $     3.58  
54731 $ 10328   $   790150218  $  1144807733     $       36398  $     1642071  $     1747076  $      717756  $       6      $       0      $      97      $           0  $              $0.690203      $36398.000000      $0.814671 $0.866766 $0.356096 $     0.94  $     2.43  
