PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
54872 $  1003   $  3961032992  $  8762638895     $    13691939  $   228627877  $   175103657  $    38959269  $      37      $       0      $      97      $           0  $              $0.452037      $13691939.000000      $14.588419 $11.173115 $2.485935 $     1.31  $     4.49  
54870 $  1004   $  3972959422  $  5103017162     $    12229681  $   146077058  $    30470075  $    14518770  $       0      $       0      $      97      $           0  $              $0.778551      $12229681.000000      $9.311685 $1.942316 $0.925499 $     4.79  $     2.10  
54872 $  2005   $  4078843874  $  9332672150     $    16388575  $   271702952  $   208385548  $    45316026  $      39      $       0      $      97      $           0  $              $0.437050      $16388575.000000      $17.354280 $13.310055 $2.894437 $     1.30  $     4.60  
54870 $  2006   $  4758403268  $  5789999372     $    17069310  $   184412542  $    37330255  $    20792563  $       0      $       0      $      97      $           0  $              $0.821831      $17069310.000000      $11.778845 $2.384368 $1.328068 $     4.94  $     1.80  
54872 $  3007   $  4008773409  $  9108241568     $    14876075  $   236046316  $   179414621  $    43604836  $      48      $       0      $      97      $           0  $              $0.440126      $14876075.000000      $15.076811 $11.459617 $2.785139 $     1.32  $     4.11  
54870 $  3009   $ 14850068284  $  8974134685     $    38620886  $   689216678  $   127277781  $    65182979  $       0      $       0      $      97      $           0  $              $1.654763      $38620888.000000      $43.977936 $8.121414 $4.159233 $     5.42  $     1.95  
54872 $  3441   $  1778953044  $  4015401608     $     8092172  $   131597648  $   101968795  $    20575773  $      19      $       0      $      97      $           0  $              $0.443032      $8092172.000000      $19.406105 $15.036873 $3.034215 $     1.29  $     4.96  
54870 $  3443   $  5007462732  $  2837387532     $    10468731  $   230199722  $    40588075  $    19746846  $       0      $       0      $      97      $           0  $              $1.764815      $10468731.000000      $33.946503 $5.985338 $2.911977 $     5.67  $     2.06  
54872 $  4108   $  2930488216  $  6307043869     $    10793192  $   183604369  $   140743303  $    31853932  $      22      $       0      $      97      $           0  $              $0.464637      $10793192.000000      $17.617210 $13.504604 $3.056449 $     1.30  $     4.42  
54872 $  4110   $     2106115  $     5321969     $         838  $       17115  $       16899  $       16336  $       0      $       0      $      97      $           0  $              $0.395740      $838.000000      $0.547680 $0.540768 $0.522752 $     1.01  $     1.03  
54872 $  5113   $  4045686843  $  9144722595     $    15674744  $   263308309  $   202004754  $    44226276  $      38      $       0      $      97      $           0  $              $0.442407      $15674744.000000      $16.801327 $12.889635 $2.822016 $     1.30  $     4.57  
54890 $  1003   $  3525355450  $  5014016790     $    11023410  $   126361337  $    24544233  $    13343370  $       0      $       0      $      97      $           0  $              $0.703100      $11023410.000000      $8.062937 $1.566132 $0.851421 $     5.15  $     1.84  
54872 $  6116   $  4225733441  $  9331727373     $    15561984  $   257943656  $   196077089  $    46317994  $      39      $       0      $      97      $           0  $              $0.452835      $15561984.000000      $16.459017 $12.511399 $2.955485 $     1.32  $     4.23  
54890 $  2006   $  4705746861  $  5710886974     $    16268361  $   182610096  $    33920342  $    19949712  $       0      $       0      $      97      $           0  $              $0.823996      $16268361.000000      $11.652090 $2.164409 $1.272963 $     5.38  $     1.70  
54872 $  7118   $  3913531202  $  9113390345     $    16323198  $   256618322  $   197716848  $    44018688  $      48      $       0      $      97      $           0  $              $0.429426      $16323198.000000      $16.390791 $12.628621 $2.811573 $     1.30  $     4.49  
54890 $  3008   $ 14862151908  $  8983829356     $    41019881  $   693799869  $   116644630  $    67803145  $       0      $       0      $      97      $           0  $              $1.654323      $41019880.000000      $44.314564 $7.450356 $4.330739 $     5.95  $     1.72  
54872 $  7555   $  1813417960  $  4052618034     $     6601011  $   110119254  $    83234909  $    19580922  $      19      $       0      $      97      $           0  $              $0.447468      $6601011.000000      $16.127306 $12.190010 $2.867687 $     1.32  $     4.25  
54890 $  3445   $  5351701084  $  2899312431     $    11400485  $   246581123  $    37229181  $    20807983  $       0      $       0      $      97      $           0  $              $1.845852      $11400485.000000      $36.112568 $5.452328 $3.047394 $     6.62  $     1.79  
54872 $  8213   $  2894006680  $  6266683548     $    11178823  $   189933636  $   146096486  $    31801194  $      21      $       0      $      97      $           0  $              $0.461808      $11178823.000000      $18.473787 $14.209992 $3.093125 $     1.30  $     4.59  
54872 $  8215   $     1202471  $     5173050     $       16014  $      281353  $      240680  $       16011  $       0      $       0      $      97      $           0  $              $0.232449      $16014.000000      $9.003296 $7.701760 $0.512352 $     1.17  $    15.03  
54895 $   588   $   925902934  $  3341522039     $     8093141  $    19213259  $    11095196  $     8372825  $       0      $       0      $      97      $           0  $              $0.277090      $8093141.000000      $2.091239 $1.207640 $0.911328 $     1.73  $     1.33  
54872 $  8803   $  2362724159  $  5319665922     $     9486048  $   154987429  $   118903904  $    26419381  $      22      $       0      $      97      $           0  $              $0.444149      $9486048.000000      $16.869379 $12.941921 $2.875579 $     1.30  $     4.50  
