PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
55019 $  1003   $  4819291151  $  8998462856     $    26776101  $   207066423  $   138009205  $   134603408  $      38      $       0      $      97      $           0  $              $0.535568      $26776100.000000      $13.212613 $8.806170 $8.588852 $     1.50  $     1.03  
55017 $  1003   $  1970060953  $  4365369547     $     8787326  $    57201145  $    16426041  $    12646988  $       0      $       0      $      97      $           0  $              $0.451293      $8787326.000000      $3.649924 $1.048122 $0.806986 $     3.48  $     1.30  
55019 $  2006   $  4472064241  $  9249095467     $    26121928  $   205816867  $   137605493  $   134561446  $      42      $       0      $      97      $           0  $              $0.483514      $26121928.000000      $13.132880 $8.780410 $8.586174 $     1.50  $     1.02  
55017 $  2006   $  3409822736  $  6376040876     $    14696110  $   128369411  $    27461806  $    18152338  $       0      $       0      $      97      $           0  $              $0.534787      $14696110.000000      $8.191069 $1.752299 $1.158275 $     4.67  $     1.51  
55019 $  3009   $  4439446005  $  9101766080     $    25139849  $   198987044  $   133184910  $   130057484  $      46      $       0      $      97      $           0  $              $0.487757      $25139848.000000      $12.697080 $8.498340 $8.298783 $     1.49  $     1.02  
55017 $  3008   $  8901814352  $  7563762307     $    19972583  $   400709447  $    62150063  $    31515830  $       0      $       0      $      97      $           0  $              $1.176903      $19972584.000000      $25.594215 $3.969665 $2.012987 $     6.45  $     1.97  
55019 $  4011   $  4198665076  $  9092041546     $    23887936  $   191375204  $   127606390  $   124707388  $      48      $       0      $      97      $           0  $              $0.461796      $23887936.000000      $12.223566 $8.150508 $7.965343 $     1.50  $     1.02  
55017 $  4010   $ 10227886917  $  9089941421     $    24282315  $   473719476  $    82394460  $    42842350  $       0      $       0      $      97      $           0  $              $1.125187      $24282316.000000      $30.257532 $5.262720 $2.736438 $     5.75  $     1.92  
55019 $  4554   $  2458601439  $  5013665429     $    14652867  $   114067686  $    76340708  $    74577752  $      24      $       0      $      97      $           0  $              $0.490380      $14652867.000000      $13.444442 $8.997799 $8.790011 $     1.49  $     1.02  
55017 $  4553   $  4074646174  $  3551963075     $     8881965  $   188763522  $    31510025  $    17034753  $       0      $       0      $      97      $           0  $              $1.147153      $8881965.000000      $22.248371 $3.713889 $2.007779 $     5.99  $     1.85  
