PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
55074 $  1002   $  3338130599  $  8776666989     $    14306863  $   229460412  $   191131430  $    33831869  $      37      $       0      $      97      $           0  $              $0.380342      $14306863.000000      $14.656155 $12.207995 $2.160918 $     1.20  $     5.65  
55072 $  1002   $  4201482433  $  5143153339     $    12822657  $   156955789  $    30103436  $    14957108  $       0      $       0      $      97      $           0  $              $0.816908      $12822657.000000      $10.025121 $1.922774 $0.955344 $     5.21  $     2.01  
55074 $  2004   $  3441513707  $  9338636975     $    15674850  $   248066284  $   207587291  $    37922681  $      39      $       0      $      97      $           0  $              $0.368524      $15674850.000000      $15.844553 $13.259068 $2.422207 $     1.19  $     5.47  
55072 $  2004   $  4778156194  $  5860628488     $    18100709  $   189750482  $    41104230  $    25159571  $       0      $       0      $      97      $           0  $              $0.815298      $18100708.000000      $12.119791 $2.625420 $1.606999 $     4.62  $     1.63  
55074 $  3006   $  3321624090  $  9118111285     $    16683096  $   255101858  $   212046426  $    39117858  $      48      $       0      $      97      $           0  $              $0.364289      $16683096.000000      $16.293930 $13.543884 $2.498546 $     1.20  $     5.42  
55072 $  3006   $ 16223565600  $  8986780802     $    39170039  $   751228773  $   123571519  $    65938819  $       0      $       0      $      97      $           0  $              $1.805270      $39170040.000000      $47.982677 $7.892792 $4.211661 $     6.08  $     1.87  
55074 $  3330   $  1087136882  $  3024754834     $     5611563  $    89887589  $    75365939  $    12572143  $      13      $       0      $      97      $           0  $              $0.359413      $5611563.000000      $17.755573 $14.887098 $2.483386 $     1.19  $     5.99  
55072 $  3330   $  3277057961  $  1809313499     $     7999696  $   151695201  $    25282852  $    13547881  $       0      $       0      $      97      $           0  $              $1.811216      $7999696.000000      $29.964483 $4.994143 $2.676125 $     6.00  $     1.87  
55074 $  4110   $  2793492875  $  7413311368     $    12817580  $   210187230  $   175916947  $    31141981  $      25      $       0      $      97      $           0  $              $0.376821      $12817580.000000      $17.246132 $14.434211 $2.555239 $     1.19  $     5.65  
55074 $  4112   $     2112560  $     5342758     $        1010  $       17034  $       16909  $       16303  $       0      $       0      $      97      $           0  $              $0.395406      $1010.000000      $0.545088 $0.541088 $0.521696 $     1.01  $     1.04  
55074 $  5115   $  3428945905  $  9153290528     $    15735634  $   252597619  $   209966748  $    39170305  $      39      $       0      $      97      $           0  $              $0.374613      $15735634.000000      $16.117893 $13.397679 $2.499401 $     1.20  $     5.36  
55092 $  1003   $  3755006437  $  5050209395     $    11657921  $   136434613  $    31322500  $    13874932  $       0      $       0      $      97      $           0  $              $0.743535      $11657921.000000      $8.705698 $1.998644 $0.885340 $     4.36  $     2.26  
55074 $  6117   $  3384739777  $  9337576477     $    16595018  $   264276771  $   221521448  $    38175722  $      40      $       0      $      97      $           0  $              $0.362486      $16595018.000000      $16.879953 $14.149074 $2.438369 $     1.19  $     5.80  
55092 $  2005   $  5000890441  $  5797463886     $    17654702  $   195743451  $    41220232  $    21338891  $       0      $       0      $      97      $           0  $              $0.862600      $17654702.000000      $12.502576 $2.632829 $1.362963 $     4.75  $     1.93  
55074 $  7120   $  3399310144  $  9113930544     $    16059035  $   244302672  $   202780245  $    39197365  $      48      $       0      $      97      $           0  $              $0.372980      $16059035.000000      $15.588605 $12.939118 $2.501128 $     1.20  $     5.17  
55092 $  3008   $ 15667722700  $  8979977175     $    40282472  $   727049657  $   143928689  $    67456032  $       0      $       0      $      97      $           0  $              $1.744740      $40282472.000000      $46.392002 $9.183885 $4.304273 $     5.05  $     2.13  
