PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
55630 $  1003   $ 14708658156  $  8808965596     $      670879  $  1856821162  $     6332676  $     4970792  $      49      $       0      $      97      $           0  $              $1.669737      $670879.000000      $118.481110 $0.404079 $0.317179 $   293.21  $     1.27  
55628 $  1003   $  3308238365  $  8822801027     $     1856923  $   369543974  $   365648527  $     2292993  $       0      $       0      $      97      $           0  $              $0.374965      $1856923.000000      $23.580074 $23.331511 $0.146313 $     1.01  $   159.46  
55630 $  2005   $ 15312238263  $  9137258682     $      655200  $  1933909034  $     6241441  $     5058813  $      50      $       0      $      97      $           0  $              $1.675802      $655200.000000      $123.523132 $0.398655 $0.323118 $   309.85  $     1.23  
55628 $  2005   $  3423863626  $  9181559260     $     1765720  $   386621515  $   382584507  $     1765734  $       0      $       0      $      97      $           0  $              $0.372907      $1765720.000000      $24.694387 $24.436535 $0.112781 $     1.01  $   216.67  
55630 $  3007   $ 15307872192  $  9135044232     $      654230  $  1933321566  $     6244989  $     5057935  $      50      $       0      $      97      $           0  $              $1.675730      $654230.000000      $123.485611 $0.398882 $0.323062 $   309.58  $     1.23  
55628 $  3007   $  3445388756  $  9175125823     $     1940789  $   384500048  $   380466695  $     2146399  $       0      $       0      $      97      $           0  $              $0.375514      $1940789.000000      $24.558884 $24.301266 $0.137095 $     1.01  $   177.26  
55630 $  4009   $ 15305415059  $  9133561802     $      653464  $  1933013510  $     6235359  $     5055865  $      50      $       0      $      97      $           0  $              $1.675733      $653464.000000      $123.465935 $0.398266 $0.322930 $   310.01  $     1.23  
55628 $  4009   $  3422722895  $  9178766494     $     1768138  $   386437610  $   382455885  $     1768147  $       0      $       0      $      97      $           0  $              $0.372896      $1768138.000000      $24.682642 $24.428320 $0.112936 $     1.01  $   216.30  
55630 $  5011   $ 15309015261  $  9135602689     $      656727  $  1933486893  $     6238120  $     5058854  $      50      $       0      $      97      $           0  $              $1.675753      $656727.000000      $123.496162 $0.398443 $0.323120 $   309.95  $     1.23  
55628 $  5011   $  3423737033  $  9181121414     $     1762037  $   386586297  $   382570478  $     1762075  $       0      $       0      $      97      $           0  $              $0.372911      $1762037.000000      $24.692139 $24.435638 $0.112548 $     1.01  $   217.11  
55630 $  6014   $ 15316074933  $  9138286963     $      653528  $  1934321714  $     6249064  $     5064959  $      50      $       0      $      97      $           0  $              $1.676033      $653528.000000      $123.426308 $0.398744 $0.323188 $   309.54  $     1.23  
55628 $  6014   $  3446529167  $  9177323256     $     1909777  $   384649864  $   380615782  $     2115174  $       0      $       0      $      97      $           0  $              $0.375548      $1909777.000000      $24.543959 $24.286551 $0.134966 $     1.01  $   179.95  
55630 $  7017   $ 15304594302  $  9133307048     $      656857  $  1932879065  $     6242283  $     5060490  $      50      $       0      $      97      $           0  $              $1.675690      $656857.000000      $123.334259 $0.398311 $0.322903 $   309.64  $     1.23  
55628 $  7017   $  3423095944  $  9180045826     $     1764284  $   386493678  $   382498117  $     1764309  $       0      $       0      $      97      $           0  $              $0.372884      $1764284.000000      $24.661610 $24.406660 $0.112578 $     1.01  $   216.80  
55630 $  8019   $ 15310418682  $  9135492279     $      656649  $  1933676444  $     6240997  $     5065034  $      50      $       0      $      97      $           0  $              $1.675927      $656649.000000      $123.508270 $0.398627 $0.323515 $   309.83  $     1.23  
55628 $  8020   $  3424287996  $  9181683419     $     1722094  $   386643797  $   382632100  $     1722102  $       0      $       0      $      97      $           0  $              $0.372948      $1722094.000000      $24.671190 $24.415209 $0.109885 $     1.01  $   222.19  
55630 $  9021   $ 15351303281  $  9140900627     $      603797  $  1943440457  $     5922327  $     4855566  $      50      $       0      $      97      $           0  $              $1.679408      $603797.000000      $124.131927 $0.378272 $0.310136 $   328.15  $     1.22  
55628 $  9022   $  3446037884  $  9173835581     $     1854499  $   384542048  $   380527012  $     2061489  $       0      $       0      $      97      $           0  $              $0.375638      $1854499.000000      $24.561567 $24.305119 $0.131672 $     1.01  $   184.59  
55630 $ 10023   $ 15308093030  $  9134492252     $      655725  $  1933435679  $     6235736  $     5058353  $      50      $       0      $      97      $           0  $              $1.675856      $655725.000000      $123.492897 $0.398291 $0.323088 $   310.06  $     1.23  
55628 $ 10024   $  3423364430  $  9180182758     $     1765163  $   386529638  $   382529127  $     1765182  $       0      $       0      $      97      $           0  $              $0.372908      $1765163.000000      $24.688519 $24.432997 $0.112746 $     1.01  $   216.71  
55630 $ 11025   $ 15306443294  $  9133596982     $      654721  $  1933141661  $     6240191  $     5058964  $      50      $       0      $      97      $           0  $              $1.675840      $654721.000000      $123.474113 $0.398575 $0.323127 $   309.79  $     1.23  
55628 $ 11026   $  3423532714  $  9180664028     $     1760643  $   386551327  $   382548464  $     1760668  $       0      $       0      $      97      $           0  $              $0.372907      $1760643.000000      $24.689905 $24.434235 $0.112458 $     1.01  $   217.27  
55630 $ 12027   $ 15305593592  $  9134005502     $      654003  $  1932984051  $     6234638  $     5060726  $      50      $       0      $      97      $           0  $              $1.675672      $654003.000000      $123.464050 $0.398220 $0.323240 $   310.04  $     1.23  
55628 $ 12028   $  3444807625  $  9173285819     $     1938759  $   384436995  $   380403431  $     2144455  $       0      $       0      $      97      $           0  $              $0.375526      $1938759.000000      $24.554857 $24.297224 $0.136971 $     1.01  $   177.39  
55630 $ 13029   $ 15306084828  $  9133841761     $      654661  $  1933106594  $     6236441  $     5056840  $      50      $       0      $      97      $           0  $              $1.675755      $654661.000000      $123.471878 $0.398336 $0.322992 $   309.97  $     1.23  
55628 $ 13030   $  3423180378  $  9179555289     $     1756542  $   386528025  $   382510397  $     1756565  $       0      $       0      $      97      $           0  $              $0.372914      $1756542.000000      $24.688417 $24.431803 $0.112196 $     1.01  $   217.76  
55630 $ 14032   $ 15307061543  $  9133788482     $      653415  $  1933229251  $     6240203  $     5058121  $      50      $       0      $      97      $           0  $              $1.675872      $653415.000000      $123.356606 $0.398178 $0.322751 $   309.80  $     1.23  
55628 $ 14033   $  3422914669  $  9180042116     $     1761602  $   386472591  $   382479651  $     1761630  $       0      $       0      $      97      $           0  $              $0.372865      $1761602.000000      $24.660265 $24.405481 $0.112407 $     1.01  $   217.12  
55630 $ 14303   $  4208917400  $  2512703384     $      179751  $   531249163  $     1747811  $     1362565  $      12      $       0      $      97      $           0  $              $1.675055      $179751.000000      $125.461052 $0.412767 $0.321787 $   303.95  $     1.28  
55628 $ 14305   $   681075249  $  1824253745     $      296418  $    76287850  $    75495422  $      295473  $       0      $       0      $      97      $           0  $              $0.373345      $296418.000000      $17.950083 $17.763630 $0.069523 $     1.01  $   255.51  
55630 $ 14521   $  3423615920  $  2042448046     $      100384  $   434222536  $     1214389  $      910283  $       7      $       0      $      97      $           0  $              $1.676232      $100384.000000      $127.478172 $0.356518 $0.267239 $   357.56  $     1.33  
55687 $  1004   $  3350718218  $  8891061676     $     4964419  $   376699055  $   369392063  $     5385703  $      33      $       0      $      65      $           0  $              $0.376864      $4964419.000000      $24.012688 $23.546904 $0.343312 $     1.02  $    68.59  
