PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
56704 $  1003   $  3998310275  $  5068211094     $    12327435  $   147901002  $    27829899  $    14613521  $      37      $       0      $      97      $           0  $              $0.788900      $12327435.000000      $9.437352 $1.775786 $0.932468 $     5.31  $     1.90  
56702 $  1003   $  3930939629  $  8732267112     $    13674093  $   228458184  $   183091389  $    38800884  $       0      $       0      $      97      $           0  $              $0.450163      $13674093.000000      $14.577591 $11.682800 $2.475829 $     1.25  $     4.72  
56704 $  2006   $  4763596428  $  5793154745     $    17179326  $   186174052  $    35800196  $    21746693  $      39      $       0      $      97      $           0  $              $0.822280      $17179326.000000      $11.879500 $2.284359 $1.387625 $     5.20  $     1.65  
56702 $  2006   $  4020783980  $  9336542448     $    16003400  $   266002791  $   213859867  $    44251601  $       0      $       0      $      97      $           0  $              $0.430650      $16003400.000000      $16.973259 $13.646093 $2.823632 $     1.24  $     4.83  
56704 $  3009   $ 15257907715  $  8986000889     $    39366777  $   708986504  $   116852057  $    65278456  $      48      $       0      $      97      $           0  $              $1.697964      $39366776.000000      $45.239418 $7.456163 $4.165325 $     6.07  $     1.79  
56702 $  3009   $  3965892183  $  9110207459     $    15149529  $   238130245  $   190264661  $    43737204  $       0      $       0      $      97      $           0  $              $0.435324      $15149529.000000      $15.194751 $12.140516 $2.790809 $     1.25  $     4.35  
56702 $  3420   $  1701404533  $  3825335305     $     6903348  $   114944961  $    91271815  $    18998681  $       0      $       0      $      97      $           0  $              $0.444773      $6903348.000000      $17.898972 $14.212643 $2.958432 $     1.26  $     4.80  
56704 $  3420   $  4451807654  $  2511585722     $     9426667  $   207092559  $    32696274  $    18655981  $      17      $       0      $      97      $           0  $              $1.772509      $9426667.000000      $32.247990 $5.091391 $2.905067 $     6.33  $     1.75  
56702 $  4120   $  3110817803  $  6667818348     $    12004062  $   203497485  $   163679771  $    34699981  $       0      $       0      $      97      $           0  $              $0.466542      $12004062.000000      $18.605484 $14.965008 $3.172570 $     1.24  $     4.72  
56702 $  4123   $      593302  $     1457645     $           2  $           2  $          15  $           0  $       0      $       0      $      97      $           0  $              $0.407028      $2.000000      $0.000043 $0.000320 $0.000000 $     0.13  $      inf  
56702 $  5126   $  4053679277  $  9087729481     $    15165662  $   254140480  $   203142124  $    43944397  $      38      $       0      $      97      $           0  $              $0.446061      $15165662.000000      $16.216341 $12.962210 $2.804029 $     1.25  $     4.62  
56722 $  1003   $  3500229938  $  5030282760     $    10948207  $   125206920  $    25131660  $    13267094  $       0      $       0      $      97      $           0  $              $0.695832      $10948207.000000      $7.989275 $1.603615 $0.846554 $     4.98  $     1.89  
56722 $  2006   $  4884672086  $  5655573304     $    16608875  $   189988814  $    35711753  $    20276733  $      38      $       0      $      97      $           0  $              $0.863692      $16608875.000000      $12.122915 $2.278716 $1.293829 $     5.32  $     1.76  
56702 $  6129   $  3839846824  $  8431136953     $    12846279  $   212716555  $   168799105  $    38474032  $       0      $       0      $      97      $           0  $              $0.455436      $12846279.000000      $13.573140 $10.770830 $2.454973 $     1.26  $     4.39  
56722 $  3008   $ 15219361220  $  8998120484     $    39962622  $   709124055  $   120678644  $    66684400  $      48      $       0      $      97      $           0  $              $1.691393      $39962624.000000      $45.293350 $7.708017 $4.259283 $     5.88  $     1.81  
56702 $  7131   $  3866541274  $  9119153122     $    16744683  $   264944052  $   214474962  $    43844411  $       0      $       0      $      97      $           0  $              $0.424002      $16744683.000000      $16.922573 $13.698999 $2.800442 $     1.24  $     4.89  
56702 $  7549   $  1665099986  $  3885332327     $     5774243  $    93290413  $    75048318  $    17534409  $       0      $       0      $      97      $           0  $              $0.428561      $5774243.000000      $14.283700 $11.490652 $2.684694 $     1.24  $     4.28  
56722 $  3427   $  4878403207  $  2726967462     $    10494558  $   225807894  $    35876354  $    19760637  $      18      $       0      $      97      $           0  $              $1.788948      $10494558.000000      $34.490944 $5.479920 $3.018331 $     6.29  $     1.82  
56702 $  8227   $  3105111945  $  6672771000     $    12011259  $   204166695  $   162530524  $    34340772  $       0      $       0      $      97      $           0  $              $0.465341      $12011259.000000      $19.272371 $15.342114 $3.241607 $     1.26  $     4.73  
56702 $  8230   $      308099  $     1350905     $        4002  $       72071  $       65289  $        4000  $       0      $       0      $      97      $           0  $              $0.228069      $4002.000000      $1.537515 $1.392832 $0.085333 $     1.10  $    16.32  
56727 $   778   $  1113121072  $  3633185361     $     8099359  $    20436675  $    12304341  $     8543187  $       0      $       0      $      97      $           0  $              $0.306376      $8099359.000000      $1.681166 $1.012182 $0.702781 $     1.66  $     1.44  
56702 $  9008   $  3119270848  $  6893012473     $    12416219  $   205470686  $   165434464  $    34528274  $      29      $       0      $      97      $           0  $              $0.452527      $12416219.000000      $16.902473 $13.609005 $2.840372 $     1.24  $     4.79  
