PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
57053 $  1003   $ 16258244350  $  8833091949     $     4253191  $   355787197  $   321945292  $    65338421  $      50      $       0      $      97      $           0  $              $1.840606      $4253191.000000      $22.702274 $20.542870 $4.169151 $     1.11  $     4.93  
57051 $  1003   $  3938376726  $  8737715013     $    13752355  $   228759176  $   177776766  $    39089266  $       0      $       0      $      97      $           0  $              $0.450733      $13752355.000000      $14.596796 $11.343682 $2.494230 $     1.29  $     4.55  
57053 $  2005   $ 16882440754  $  9102766795     $     4470898  $   371064900  $   335289833  $    69563303  $      52      $       0      $      97      $           0  $              $1.854649      $4470898.000000      $23.700752 $21.415718 $4.443165 $     1.11  $     4.82  
57051 $  2005   $  4176512115  $  9095722216     $    16371990  $   273872364  $   212676544  $    46386058  $       0      $       0      $      97      $           0  $              $0.459173      $16371990.000000      $17.492846 $13.584130 $2.962782 $     1.29  $     4.58  
57053 $  3007   $ 16905578331  $  9099652861     $     4453908  $   371496175  $   335764048  $    69416693  $      52      $       0      $      97      $           0  $              $1.857827      $4453908.000000      $23.728298 $21.446007 $4.433801 $     1.11  $     4.84  
57051 $  3007   $  4092262357  $  9093347884     $    15890931  $   266664612  $   206506788  $    44628335  $       0      $       0      $      97      $           0  $              $0.450028      $15890931.000000      $17.032471 $13.190054 $2.850513 $     1.29  $     4.63  
57053 $  4010   $ 16866271643  $  9102497136     $     4458125  $   370517543  $   334871099  $    69266009  $      52      $       0      $      97      $           0  $              $1.852928      $4458125.000000      $23.642197 $21.367647 $4.419765 $     1.11  $     4.83  
57051 $  4010   $  4222740712  $  9096405229     $    15436639  $   257942908  $   199653603  $    46222007  $       0      $       0      $      97      $           0  $              $0.464221      $15436639.000000      $16.458969 $12.739612 $2.949360 $     1.29  $     4.32  
57053 $  5013   $ 16915256675  $  9102757201     $     4453351  $   371721130  $   335937728  $    69409107  $      52      $       0      $      97      $           0  $              $1.858256      $4453351.000000      $23.718994 $21.435707 $4.428896 $     1.11  $     4.84  
57051 $  5013   $  4200593145  $  9096357192     $    15501277  $   259225910  $   201274020  $    45962839  $       0      $       0      $      97      $           0  $              $0.461789      $15501277.000000      $16.540834 $12.843008 $2.932823 $     1.29  $     4.38  
57053 $  6016   $ 16911376482  $  9101011048     $     4499712  $   371492679  $   335796092  $    69779897  $      52      $       0      $      97      $           0  $              $1.858187      $4499712.000000      $23.704418 $21.426670 $4.452556 $     1.11  $     4.81  
57051 $  6016   $  4085131829  $  9094138983     $    16125106  $   269015430  $   211193161  $    45063419  $       0      $       0      $      97      $           0  $              $0.449205      $16125106.000000      $17.165491 $13.475935 $2.875432 $     1.27  $     4.69  
57053 $  7019   $ 16877907352  $  9098621868     $     4470718  $   370934168  $   335189427  $    69531872  $      52      $       0      $      97      $           0  $              $1.854996      $4470718.000000      $23.668781 $21.387960 $4.436729 $     1.11  $     4.82  
57051 $  7019   $  4173377295  $  9092632466     $    16383271  $   273866778  $   212672183  $    46380697  $       0      $       0      $      97      $           0  $              $0.458984      $16383271.000000      $17.475050 $13.570309 $2.959486 $     1.29  $     4.59  
57053 $  8022   $ 16897817856  $  9102166123     $     4460857  $   371372339  $   335601444  $    69457947  $      52      $       0      $      97      $           0  $              $1.856461      $4460857.000000      $23.696741 $21.414249 $4.432013 $     1.11  $     4.83  
57051 $  8022   $  4108465628  $  9095959017     $    16180046  $   271246111  $   210318170  $    45164461  $       0      $       0      $      97      $           0  $              $0.451680      $16180046.000000      $17.307827 $13.420103 $2.881880 $     1.29  $     4.66  
57053 $  8859   $ 14438364327  $  7680435791     $     3507154  $   316665339  $   286826569  $    54454679  $      41      $       0      $      97      $           0  $              $1.879889      $3507154.000000      $24.213360 $21.931780 $4.163799 $     1.10  $     5.27  
57051 $  8859   $  2961596843  $  6373574031     $    11122352  $   185463879  $   144427290  $    32612535  $       0      $       0      $      97      $           0  $              $0.464668      $11122352.000000      $14.181228 $11.043426 $2.493671 $     1.28  $     4.43  
57053 $  9155   $  5541626988  $  2788356393     $      815713  $   120329079  $   110220663  $    12234705  $      11      $       0      $      97      $           0  $              $1.987417      $815713.000000      $26.017097 $23.831495 $2.645342 $     1.09  $     9.01  
57053 $  9156   $    10775176  $     5343089     $        1396  $      235080  $      214984  $       21433  $       0      $       0      $      97      $           0  $              $2.016657      $1396.000000      $15.045120 $13.758976 $1.371712 $     1.09  $    10.03  
57053 $ 10158   $ 17057875418  $  9102827190     $     4329432  $   374500574  $   338853963  $    67537509  $      51      $       0      $      97      $           0  $              $1.873909      $4329432.000000      $23.920197 $21.643366 $4.313773 $     1.11  $     5.02  
57082 $  1003   $  3979565758  $  8816496898     $    13824077  $   229062504  $   169038904  $    39418157  $       0      $       0      $      97      $           0  $              $0.451377      $13824077.000000      $14.616151 $10.786132 $2.515216 $     1.36  $     4.29  
57053 $ 11160   $ 16849018001  $  9097036667     $     4472631  $   370217408  $   334571237  $    69382792  $      52      $       0      $      97      $           0  $              $1.852144      $4472631.000000      $23.646622 $21.369820 $4.431635 $     1.11  $     4.82  
57082 $  2005   $  4172031405  $  9092802189     $    16463730  $   273857110  $   201823260  $    46411431  $       0      $       0      $      97      $           0  $              $0.458828      $16463730.000000      $17.491873 $12.890907 $2.964403 $     1.36  $     4.35  
57053 $ 12162   $ 16887120023  $  9100218546     $     4451940  $   371095787  $   335377939  $    69367013  $      52      $       0      $      97      $           0  $              $1.855683      $4451940.000000      $23.702724 $21.421347 $4.430628 $     1.11  $     4.83  
57082 $  3007   $  4104894042  $  9095462965     $    16220096  $   271015566  $   200474242  $    45107052  $       0      $       0      $      97      $           0  $              $0.451312      $16220096.000000      $17.310375 $12.804742 $2.881089 $     1.35  $     4.44  
57053 $ 13164   $ 16882469396  $  9100663389     $     4458152  $   371021291  $   335292423  $    69316103  $      52      $       0      $      97      $           0  $              $1.855081      $4458152.000000      $23.697966 $21.415882 $4.427376 $     1.11  $     4.84  
57082 $  4009   $  4187439081  $  9096129439     $    15509108  $   258445263  $   189781841  $    45710214  $       0      $       0      $      97      $           0  $              $0.460354      $15509108.000000      $16.507483 $12.121794 $2.919615 $     1.36  $     4.15  
57053 $ 14166   $ 16820136894  $  9099302336     $     4501032  $   369569059  $   333966074  $    69416974  $      52      $       0      $      97      $           0  $              $1.848508      $4501032.000000      $23.605209 $21.331167 $4.433819 $     1.11  $     4.81  
57082 $  5011   $  4227210031  $  9095405546     $    15535512  $   258507218  $   189449090  $    46304316  $       0      $       0      $      97      $           0  $              $0.464763      $15535512.000000      $16.511438 $12.100540 $2.957561 $     1.36  $     4.09  
57053 $ 15169   $ 16995321340  $  9098315649     $     4458782  $   373448904  $   337552210  $    69724321  $      52      $       0      $      97      $           0  $              $1.867963      $4458782.000000      $23.829241 $21.538727 $4.449009 $     1.11  $     4.84  
57082 $  6014   $  4087534733  $  9093851807     $    15969334  $   265035102  $   197473182  $    44919170  $       0      $       0      $      97      $           0  $              $0.449483      $15969334.000000      $16.911512 $12.600482 $2.866228 $     1.34  $     4.40  
57053 $ 16171   $ 16876238214  $  9101094840     $     4463299  $   370914053  $   335148206  $    69501811  $      52      $       0      $      97      $           0  $              $1.854308      $4463299.000000      $23.691116 $21.406672 $4.439237 $     1.11  $     4.82  
57082 $  7016   $  4180085660  $  9096602836     $    16449458  $   273925107  $   201888094  $    46470245  $       0      $       0      $      97      $           0  $              $0.459522      $16449458.000000      $17.496216 $12.895048 $2.968159 $     1.36  $     4.34  
57082 $  7444   $  1789666254  $  3878223159     $     6648365  $   111589300  $    81332172  $    19442681  $       0      $       0      $      97      $           0  $              $0.461466      $6648365.000000      $16.686251 $12.161820 $2.907317 $     1.37  $     4.18  
57053 $ 16600   $  7099720156  $  3856947090     $     1864356  $   155866944  $   140829648  $    28994167  $      22      $       0      $      97      $           0  $              $1.840762      $1864356.000000      $23.252878 $21.009552 $4.325470 $     1.11  $     4.86  
