PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
59880 $  1003   $  3041066287  $  7310533369     $     4478881  $    32783605  $    30084940  $    24519745  $      42      $       0      $      97      $           0  $              $0.415984      $4478881.000000      $2.091875 $1.919677 $1.564570 $     1.09  $     1.23  
59878 $  1003   $  4478314554  $  8851351498     $    25067607  $   193953030  $   129344384  $   126625383  $       0      $       0      $      97      $           0  $              $0.505947      $25067608.000000      $12.375866 $8.253281 $8.079785 $     1.50  $     1.02  
59880 $  2005   $  3833457867  $  9021487238     $     5827239  $    42549769  $    38874243  $    31328351  $      45      $       0      $      97      $           0  $              $0.424925      $5827239.000000      $2.717750 $2.482986 $2.001013 $     1.09  $     1.24  
59878 $  2005   $  4604278904  $  9106807822     $    27491833  $   212310329  $   141383707  $   138533517  $       0      $       0      $      97      $           0  $              $0.505586      $27491832.000000      $13.560740 $9.030497 $8.848449 $     1.50  $     1.02  
59880 $  3007   $  3818206055  $  9028850291     $     5588944  $    40979153  $    37605491  $    30708655  $      45      $       0      $      97      $           0  $              $0.422889      $5588944.000000      $2.617431 $2.401947 $1.961431 $     1.09  $     1.22  
59878 $  3007   $  4570961204  $  9107553195     $    26580968  $   205815018  $   137426102  $   134637641  $       0      $       0      $      97      $           0  $              $0.501887      $26580968.000000      $13.145870 $8.777715 $8.599610 $     1.50  $     1.02  
59880 $  4009   $  3810942682  $  9025534196     $     5656466  $    40919741  $    37557825  $    30619743  $      45      $       0      $      97      $           0  $              $0.422240      $5656466.000000      $2.613636 $2.398903 $1.955752 $     1.09  $     1.23  
59878 $  4009   $  4600512756  $  9105510154     $    27349866  $   211155356  $   140623855  $   137782371  $       0      $       0      $      97      $           0  $              $0.505245      $27349866.000000      $13.486969 $8.981963 $8.800470 $     1.50  $     1.02  
59880 $  5011   $  3810325108  $  9025180187     $     5677535  $    40908031  $    37540884  $    30613712  $      45      $       0      $      97      $           0  $              $0.422188      $5677535.000000      $2.612888 $2.397821 $1.955367 $     1.09  $     1.23  
59878 $  5012   $  4611151702  $  9103509145     $    27539469  $   212660507  $   141517343  $   138661750  $       0      $       0      $      97      $           0  $              $0.506525      $27539468.000000      $13.569564 $9.030020 $8.847808 $     1.50  $     1.02  
59880 $  6014   $  3842470209  $  9021394446     $     5713609  $    42656014  $    38990986  $    31429905  $      45      $       0      $      97      $           0  $              $0.425929      $5713609.000000      $2.721820 $2.487959 $2.005497 $     1.09  $     1.24  
59878 $  6015   $  4559023829  $  9107199561     $    26290570  $   204047395  $   136192605  $   133424697  $       0      $       0      $      97      $           0  $              $0.500596      $26290570.000000      $13.019973 $8.690256 $8.513639 $     1.50  $     1.02  
59880 $  7017   $  3811025718  $  9026618592     $     5678810  $    40912913  $    37531432  $    30617166  $      45      $       0      $      97      $           0  $              $0.422199      $5678810.000000      $2.610595 $2.394827 $1.953638 $     1.09  $     1.23  
59878 $  7018   $  4604564605  $  9105719215     $    27578923  $   212309508  $   141542561  $   138688311  $       0      $       0      $      97      $           0  $              $0.505678      $27578924.000000      $13.547167 $9.031629 $8.849503 $     1.50  $     1.02  
59880 $  8020   $  3819272596  $  9026320996     $     5565298  $    40994519  $    37634744  $    30718164  $      45      $       0      $      97      $           0  $              $0.423126      $5565298.000000      $2.615802 $2.401419 $1.960082 $     1.09  $     1.23  
59878 $  8021   $  4571038700  $  9104825463     $    26270683  $   204670207  $   136363437  $   133585399  $       0      $       0      $      97      $           0  $              $0.502046      $26270684.000000      $13.059714 $8.701157 $8.523894 $     1.50  $     1.02  
59878 $  9090   $  5061790187  $  9794901520     $    30662404  $   235217863  $   156597015  $   153411536  $       0      $       0      $      97      $           0  $              $0.516778      $30662404.000000      $14.082267 $9.375312 $9.184601 $     1.50  $     1.02  
59880 $  9089   $  3560981605  $  8381781256     $     5304412  $    38908696  $    35570032  $    28695292  $      47      $       0      $      97      $           0  $              $0.424848      $5304412.000000      $2.329426 $2.129544 $1.717960 $     1.09  $     1.24  
59878 $  9155   $   299628129  $   602968656     $      975769  $     8990628  $     6006725  $     5832549  $       0      $       0      $      97      $           0  $              $0.496922      $975769.000000      $8.852310 $5.914314 $5.742817 $     1.50  $     1.03  
59878 $  9157   $     1929974  $     1323022     $       26049  $       96808  $       86928  $       91939  $       0      $       0      $      97      $           0  $              $1.458762      $26049.000000      $3.097856 $2.781696 $2.942048 $     1.11  $     0.95  
59878 $ 10160   $  4693248068  $  8973616461     $    27984054  $   214560050  $   142949442  $   140020684  $      43      $       0      $      97      $           0  $              $0.523005      $27984054.000000      $13.690771 $9.121400 $8.934521 $     1.50  $     1.02  
59898 $  1003   $  3038444404  $  7091574316     $     4553428  $    32665606  $    29894377  $    24492382  $       0      $       0      $      97      $           0  $              $0.428458      $4553428.000000      $2.084346 $1.907518 $1.562824 $     1.09  $     1.22  
59898 $  2006   $  3782165202  $  8875989932     $     5386695  $    40423890  $    37027775  $    30203826  $      44      $       0      $      97      $           0  $              $0.426112      $5386695.000000      $2.579391 $2.362689 $1.927263 $     1.09  $     1.23  
