PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
59989 $  1004   $  3216954960  $  8880055039     $    10059273  $   352382161  $   349403063  $    10480908  $      46      $       0      $      97      $           0  $              $0.362267      $10059273.000000      $22.462608 $22.272705 $0.668106 $     1.01  $    33.34  
59987 $  1004   $  3391418136  $  8819644201     $    14675645  $   237791818  $   183489383  $    34757792  $       0      $       0      $      97      $           0  $              $0.384530      $14675645.000000      $15.158045 $11.696534 $2.215636 $     1.30  $     5.28  
59989 $  2006   $  3258313093  $  9109473960     $    10817559  $   367584030  $   364390621  $    10817568  $      47      $       0      $      97      $           0  $              $0.357684      $10817559.000000      $23.478420 $23.274450 $0.690942 $     1.01  $    33.69  
59987 $  2007   $  3539905004  $  9128887567     $    16154897  $   262665848  $   202494524  $    40340037  $       0      $       0      $      97      $           0  $              $0.387770      $16154897.000000      $16.760334 $12.920887 $2.574040 $     1.30  $     5.02  
59989 $  3008   $  3264299823  $  9112760600     $    10821807  $   368226918  $   365051050  $    10821755  $      47      $       0      $      97      $           0  $              $0.358212      $10821807.000000      $23.519484 $23.316633 $0.691210 $     1.01  $    33.73  
59987 $  3009   $  3469108907  $  9131195401     $    15637746  $   255596046  $   198133690  $    38494483  $       0      $       0      $      97      $           0  $              $0.379918      $15637746.000000      $16.325497 $12.655246 $2.458730 $     1.29  $     5.15  
59989 $  4010   $  3044978677  $  9140222499     $    11304200  $   385245943  $   382654631  $    11304156  $      47      $       0      $      97      $           0  $              $0.333141      $11304200.000000      $24.606527 $24.441013 $0.722022 $     1.01  $    33.85  
59987 $  4011   $  3493621185  $  9139320600     $    17045852  $   277335408  $   213963575  $    40548642  $       0      $       0      $      97      $           0  $              $0.382263      $17045852.000000      $17.714039 $13.666336 $2.589933 $     1.30  $     5.28  
59989 $  5012   $  3042436665  $  9140994083     $    11284130  $   385366909  $   382780816  $    11284133  $      47      $       0      $      97      $           0  $              $0.332834      $11284130.000000      $24.614254 $24.449074 $0.720743 $     1.01  $    33.92  
59987 $  5013   $  3523991658  $  9139330009     $    16506693  $   268517282  $   207072742  $    40447375  $       0      $       0      $      97      $           0  $              $0.385585      $16506693.000000      $17.150805 $13.226203 $2.583465 $     1.30  $     5.12  
59989 $  6014   $  3094374793  $  9140775299     $    11320807  $   381175075  $   378460164  $    11614705  $      47      $       0      $      97      $           0  $              $0.338524      $11320807.000000      $24.346512 $24.173103 $0.741857 $     1.01  $    32.58  
59987 $  6015   $  3571107166  $  9138833308     $    15624461  $   253789078  $   195558949  $    40238909  $       0      $       0      $      97      $           0  $              $0.390762      $15624461.000000      $16.210081 $12.490790 $2.570150 $     1.30  $     4.86  
59989 $  7017   $  3274344080  $  9135648871     $    10914841  $   369087973  $   366174200  $    10914809  $      47      $       0      $      97      $           0  $              $0.358414      $10914841.000000      $23.550978 $23.365055 $0.696458 $     1.01  $    33.55  
59987 $  7018   $  3413593711  $  9133364426     $    16677658  $   272883860  $   211653872  $    38726569  $       0      $       0      $      97      $           0  $              $0.373750      $16677658.000000      $17.412331 $13.505332 $2.471087 $     1.29  $     5.47  
59989 $  8020   $  3267862624  $  9134221134     $    10899488  $   368486799  $   365460769  $    10899484  $      47      $       0      $      97      $           0  $              $0.357760      $10899488.000000      $23.512617 $23.319530 $0.695481 $     1.01  $    33.53  
59987 $  8021   $  3502689016  $  9131508323     $    16868976  $   274301073  $   211582426  $    40509259  $       0      $       0      $      97      $           0  $              $0.383583      $16868976.000000      $17.502762 $13.500773 $2.584838 $     1.30  $     5.22  
59989 $  9022   $  3220968254  $  9138869890     $    10963090  $   371581184  $   368686438  $    10962917  $      47      $       0      $      97      $           0  $              $0.352447      $10963090.000000      $23.733728 $23.548834 $0.700226 $     1.01  $    33.63  
59987 $  9024   $  3570655786  $  9136389453     $    15612290  $   253616800  $   195419928  $    40226378  $       0      $       0      $      97      $           0  $              $0.390817      $15612290.000000      $16.182926 $12.469467 $2.566788 $     1.30  $     4.86  
