PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
60410 $  1003   $  3943409812  $  8768529822     $    13874104  $   228760125  $   172974883  $    39165497  $      43      $       0      $      97      $           0  $              $0.449723      $13874104.000000      $14.596858 $11.037280 $2.499094 $     1.32  $     4.42  
60408 $  1003   $  3254986392  $  8768869801     $    13773129  $   217217958  $   180764548  $    33195341  $       0      $       0      $      97      $           0  $              $0.371198      $13773129.000000      $13.860368 $11.534328 $2.118147 $     1.20  $     5.45  
60410 $  2006   $  4144610533  $  9115445052     $    16439501  $   273632301  $   206691603  $    46277657  $      45      $       0      $      97      $           0  $              $0.454680      $16439501.000000      $17.460087 $13.188696 $2.952911 $     1.32  $     4.47  
60408 $  2006   $  3297556971  $  9113642811     $    16282647  $   258903895  $   217091951  $    37446399  $       0      $       0      $      97      $           0  $              $0.361826      $16282647.000000      $16.520288 $13.852328 $2.389401 $     1.19  $     5.80  
60410 $  3009   $  4095277443  $  9115463960     $    15597901  $   259624943  $   196326029  $    44488390  $      44      $       0      $      97      $           0  $              $0.449267      $15597901.000000      $16.566298 $12.527285 $2.838741 $     1.32  $     4.41  
60408 $  3009   $  3344293784  $  9114888052     $    15101013  $   240170884  $   200974500  $    37181220  $       0      $       0      $      97      $           0  $              $0.366905      $15101013.000000      $15.324962 $12.823896 $2.372481 $     1.20  $     5.41  
60410 $  4011   $  4220227308  $  9125370605     $    15417550  $   256789125  $   192586152  $    46249598  $      44      $       0      $      97      $           0  $              $0.462472      $15417550.000000      $16.401701 $12.300911 $2.954066 $     1.33  $     4.16  
60408 $  4012   $  3347981118  $  9123652648     $    16777021  $   266217921  $   221897821  $    39220992  $       0      $       0      $      97      $           0  $              $0.366956      $16777021.000000      $16.986986 $14.158984 $2.502635 $     1.20  $     5.66  
60410 $  5013   $  4082392513  $  9129042209     $    15831563  $   262896209  $   200784137  $    44841448  $      44      $       0      $      97      $           0  $              $0.447187      $15831563.000000      $16.791773 $12.824536 $2.864125 $     1.31  $     4.48  
60408 $  5014   $  3352049923  $  9127571082     $    15664133  $   249767872  $   209252543  $    37528745  $       0      $       0      $      97      $           0  $              $0.367244      $15664133.000000      $15.953238 $13.365432 $2.397046 $     1.19  $     5.58  
60410 $  6015   $  4159387397  $  9126675004     $    16490979  $   273720749  $   206776041  $    46361572  $      44      $       0      $      97      $           0  $              $0.455740      $16490979.000000      $17.483160 $13.207253 $2.961218 $     1.32  $     4.46  
60408 $  6016   $  3385459819  $  9125297096     $    15684209  $   247927084  $   206156103  $    38853953  $       0      $       0      $      97      $           0  $              $0.370997      $15684209.000000      $15.835662 $13.167655 $2.481689 $     1.20  $     5.31  
