PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
61605 $  1002   $ 11978105220  $  8818545493     $     4967826  $   263974599  $   235898785  $    56945539  $      51      $       0      $      97      $           0  $              $1.358286      $4967826.000000      $16.860653 $15.067388 $3.637240 $     1.12  $     4.14  
61603 $  1002   $  4807021302  $  7700128909     $    10516958  $   130772896  $   132708425  $   122111634  $       0      $       0      $      97      $           0  $              $0.624278      $10516958.000000      $8.352759 $8.476386 $7.799545 $     0.99  $     1.09  
61605 $  2004   $ 11378908960  $  9096974070     $     5055965  $   251962548  $   224506100  $    54172020  $      52      $       0      $      97      $           0  $              $1.250845      $5055965.000000      $16.093416 $14.339711 $3.460089 $     1.12  $     4.14  
61603 $  2004   $  5396772231  $  9094385149     $    13979567  $   168913241  $   168963539  $   164043069  $       0      $       0      $      97      $           0  $              $0.593418      $13979567.000000      $10.788870 $10.792082 $10.477801 $     1.00  $     1.03  
61605 $  3006   $ 11361919254  $  9094911534     $     5050467  $   251513010  $   224117250  $    54107262  $      52      $       0      $      97      $           0  $              $1.249261      $5050467.000000      $16.064703 $14.314874 $3.455953 $     1.12  $     4.14  
61603 $  3007   $  5450701728  $  9092123392     $    14025334  $   169533536  $   169583310  $   164662035  $       0      $       0      $      97      $           0  $              $0.599497      $14025334.000000      $10.817693 $10.820869 $10.506849 $     1.00  $     1.03  
61605 $  4009   $ 11318385527  $  9096887691     $     5041999  $   250645461  $   223307394  $    53905996  $      52      $       0      $      97      $           0  $              $1.244204      $5041999.000000      $15.993329 $14.248926 $3.439665 $     1.12  $     4.14  
61603 $  4010   $  5458198386  $  9094205737     $    14144444  $   171533643  $   171581992  $   166630951  $       0      $       0      $      97      $           0  $              $0.600184      $14144444.000000      $10.945317 $10.948401 $10.632483 $     1.00  $     1.03  
61605 $  5012   $ 11362241476  $  9095263757     $     5050863  $   251527521  $   224110333  $    54099879  $      52      $       0      $      97      $           0  $              $1.249248      $5050863.000000      $16.049612 $14.300161 $3.452036 $     1.12  $     4.14  
61603 $  5013   $  5396901158  $  9092526401     $    14008995  $   169500390  $   169550588  $   164633800  $       0      $       0      $      97      $           0  $              $0.593554      $14008995.000000      $10.815578 $10.818782 $10.505048 $     1.00  $     1.03  
61605 $  6015   $ 11467382063  $  9095158210     $     5038594  $   254389532  $   226612185  $    54335132  $      52      $       0      $      97      $           0  $              $1.260823      $5038594.000000      $16.232233 $14.459801 $3.467047 $     1.12  $     4.17  
61603 $  6016   $  5470453793  $  9092165437     $    13979918  $   169114049  $   169163598  $   164221054  $       0      $       0      $      97      $           0  $              $0.601667      $13979918.000000      $10.790926 $10.794088 $10.478711 $     1.00  $     1.03  
61605 $  7018   $ 11326378858  $  9097135168     $     5044602  $   250732887  $   223396637  $    53932162  $      52      $       0      $      97      $           0  $              $1.245049      $5044602.000000      $15.998908 $14.254622 $3.441334 $     1.12  $     4.14  
61603 $  7019   $  5390976225  $  9094182526     $    14132697  $   170894704  $   170944441  $   166001609  $       0      $       0      $      97      $           0  $              $0.592794      $14132697.000000      $10.904548 $10.907722 $10.592326 $     1.00  $     1.03  
61605 $  8021   $ 13653393596  $  9181277905     $     4941630  $   300277955  $   270012824  $    62364532  $      50      $       0      $      97      $           0  $              $1.487091      $4941630.000000      $19.160309 $17.229134 $3.979392 $     1.11  $     4.33  
61603 $  8022   $  5964704215  $  7783222818     $     9952190  $   127218858  $   127256790  $   124021995  $       0      $       0      $      97      $           0  $              $0.766354      $9952190.000000      $8.117654 $8.120074 $7.913667 $     1.00  $     1.03  
61605 $  8321   $  5560435729  $  2851348677     $     1199793  $   120899338  $   110459523  $    18655784  $      12      $       0      $      97      $           0  $              $1.950107      $1199793.000000      $25.791859 $23.564697 $3.979901 $     1.09  $     5.92  
61603 $  8323   $   484158034  $   203969197     $      183488  $     3791208  $     3794034  $     3790654  $       0      $       0      $      97      $           0  $              $2.373682      $183488.000000      $0.806104 $0.806705 $0.805986 $     1.00  $     1.00  
61605 $  9147   $ 16098315686  $  8055644065     $     2332621  $   348063333  $   320235508  $    35780509  $      32      $       0      $      97      $           0  $              $1.998390      $2332621.000000      $26.968588 $24.812437 $2.772340 $     1.09  $     8.95  
61605 $  9148   $    10612545  $     5182355     $        1349  $      229607  $      210586  $       21005  $       0      $       0      $      97      $           0  $              $2.047823      $1349.000000      $14.694848 $13.477504 $1.344320 $     1.09  $    10.03  
61605 $ 10150   $ 12673316519  $  9107067836     $     5129152  $   279993532  $   250269621  $    60220298  $      52      $       0      $      97      $           0  $              $1.391591      $5129152.000000      $17.883820 $15.985285 $3.846406 $     1.12  $     4.16  
61623 $  1002   $  4825780298  $  7746640652     $    10557123  $   130977415  $   132900645  $   122588797  $       0      $       0      $      97      $           0  $              $0.622951      $10557123.000000      $8.365823 $8.488664 $7.830023 $     0.99  $     1.08  
61605 $ 11152   $ 11511460734  $  9103452222     $     5043956  $   255371950  $   227478600  $    54540446  $      52      $       0      $      97      $           0  $              $1.264516      $5043956.000000      $16.311182 $14.529571 $3.483621 $     1.12  $     4.17  
61623 $  2004   $  5405576261  $  9101875652     $    13995430  $   169464736  $   169515273  $   164565417  $       0      $       0      $      97      $           0  $              $0.593897      $13995430.000000      $10.824095 $10.827323 $10.511165 $     1.00  $     1.03  
61605 $ 12154   $ 11391664236  $  9105035390     $     5062560  $   252173147  $   224693340  $    54230925  $      52      $       0      $      97      $           0  $              $1.251139      $5062560.000000      $16.106869 $14.351670 $3.463851 $     1.12  $     4.14  
61623 $  3006   $  5476869359  $  9103321503     $    14048271  $   169869867  $   169919963  $   164976172  $       0      $       0      $      97      $           0  $              $0.601634      $14048271.000000      $10.849972 $10.853171 $10.537400 $     1.00  $     1.03  
61605 $ 13156   $ 11355642913  $  9105963960     $     5051192  $   251454240  $   224046232  $    54077564  $      52      $       0      $      97      $           0  $              $1.247056      $5051192.000000      $16.060949 $14.310339 $3.454056 $     1.12  $     4.14  
61623 $  4008   $  5448371339  $  9103797183     $    14173486  $   171789697  $   171837873  $   166872609  $       0      $       0      $      97      $           0  $              $0.598472      $14173486.000000      $10.972595 $10.975673 $10.658530 $     1.00  $     1.03  
61605 $ 14158   $ 11382394624  $  9103599259     $     5055097  $   252025835  $   224533111  $    54197172  $      52      $       0      $      97      $           0  $              $1.250318      $5055097.000000      $16.097460 $14.341435 $3.461696 $     1.12  $     4.14  
61623 $  5010   $  5426946596  $  9101978276     $    14021637  $   170064469  $   170115251  $   165181396  $       0      $       0      $      97      $           0  $              $0.596238      $14021637.000000      $10.862401 $10.865644 $10.550508 $     1.00  $     1.03  
61605 $ 15160   $ 11412139879  $  9103414215     $     5060590  $   252631695  $   225093236  $    54326905  $      52      $       0      $      97      $           0  $              $1.253611      $5060590.000000      $16.136156 $14.377213 $3.469982 $     1.12  $     4.14  
61623 $  6012   $  5454115082  $  9101716945     $    13977181  $   169153651  $   169204533  $   164275058  $       0      $       0      $      97      $           0  $              $0.599240      $13977181.000000      $10.804225 $10.807475 $10.492619 $     1.00  $     1.03  
61605 $ 16162   $ 11372559323  $  9102063472     $     5058026  $   251858702  $   224376582  $    54154903  $      52      $       0      $      97      $           0  $              $1.249448      $5058026.000000      $16.086784 $14.331438 $3.458996 $     1.12  $     4.14  
61623 $  7014   $  5416611573  $  9100332627     $    14138712  $   170814656  $   170863455  $   165904548  $       0      $       0      $      97      $           0  $              $0.595210      $14138712.000000      $10.910317 $10.913434 $10.596698 $     1.00  $     1.03  
61605 $ 17164   $ 13667245264  $  9110159963     $     4920017  $   300913547  $   270606341  $    62377473  $      50      $       0      $      97      $           0  $              $1.500220      $4920017.000000      $19.220026 $17.284237 $3.984190 $     1.11  $     4.34  
61623 $  8016   $  5921628308  $  7655946621     $     9775346  $   125449921  $   125488394  $   122299851  $       0      $       0      $      97      $           0  $              $0.773468      $9775346.000000      $8.012770 $8.015226 $7.811567 $     1.00  $     1.03  
61605 $ 17450   $  5367340592  $  2721120156     $     1101872  $   116747023  $   106691622  $    17642782  $      12      $       0      $      97      $           0  $              $1.972475      $1101872.000000      $26.125208 $23.875050 $3.948035 $     1.09  $     6.05  
61623 $  8302   $   442874095  $   186982667     $      168218  $     3468029  $     3470666  $     3466933  $       0      $       0      $      97      $           0  $              $2.368530      $168218.000000      $0.776062 $0.776653 $0.775817 $     1.00  $     1.00  
61605 $ 18283   $ 16332077677  $  8181606897     $     2380272  $   353192294  $   324895765  $    36619122  $      33      $       0      $      97      $           0  $              $1.996194      $2380272.000000      $27.136023 $24.961981 $2.813474 $     1.09  $     8.87  
61605 $ 18285   $    10516342  $     5196811     $        1252  $      227696  $      209222  $       19028  $       0      $       0      $      97      $           0  $              $2.023614      $1252.000000      $7.286272 $6.695104 $0.608896 $     1.09  $    11.00  
61605 $ 19287   $ 12655197187  $  9110842395     $     5134344  $   279593747  $   249903367  $    60144315  $      52      $       0      $      97      $           0  $              $1.389026      $5134344.000000      $17.858284 $15.961891 $3.841553 $     1.12  $     4.16  
61628 $  1003   $  4836608243  $  7758329738     $    10633996  $   131597124  $   133322837  $   122923160  $       0      $       0      $      97      $           0  $              $0.623408      $10633996.000000      $8.397024 $8.507140 $7.843552 $     0.99  $     1.08  
61605 $ 20289   $ 11423979566  $  9100447305     $     5061385  $   252892336  $   225322466  $    54375969  $      52      $       0      $      97      $           0  $              $1.255321      $5061385.000000      $16.152803 $14.391854 $3.473116 $     1.12  $     4.14  
61628 $  2005   $  5392474773  $  9098222717     $    14040326  $   169074906  $   169128076  $   164194476  $       0      $       0      $      97      $           0  $              $0.592695      $14040326.000000      $10.799196 $10.802592 $10.487472 $     1.00  $     1.03  
61605 $ 21291   $ 11409472134  $  9096554182     $     5058023  $   252679107  $   225104558  $    54320424  $      52      $       0      $      97      $           0  $              $1.254263      $5058023.000000      $16.139185 $14.377936 $3.469568 $     1.12  $     4.14  
61628 $  3007   $  5465492613  $  9094361919     $    14084634  $   169552284  $   169603958  $   164657297  $       0      $       0      $      97      $           0  $              $0.600976      $14084634.000000      $10.829687 $10.832987 $10.517033 $     1.00  $     1.03  
61605 $ 22293   $ 11442174561  $  9096700492     $     5028510  $   253863875  $   226109435  $    54223117  $      52      $       0      $      97      $           0  $              $1.257838      $5028510.000000      $16.214859 $14.442120 $3.463353 $     1.12  $     4.17  
61628 $  4009   $  5456839143  $  9094803088     $    14224604  $   171915044  $   171966674  $   166975621  $       0      $       0      $      97      $           0  $              $0.599995      $14224604.000000      $10.980601 $10.983899 $10.665110 $     1.00  $     1.03  
