PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
61754 $  1003   $ 11554390413  $  8772469446     $     6661808  $   187485060  $   218434840  $    37066880  $      50      $       0      $      97      $           0  $              $1.317119      $6661808.000000      $11.963154 $13.938016 $2.365185 $     0.86  $     5.89  
61752 $  1003   $  5093774244  $  7821031586     $    11016612  $   139776779  $   141559972  $   130954361  $       0      $       0      $      97      $           0  $              $0.651292      $11016612.000000      $8.918958 $9.032740 $8.356011 $     0.99  $     1.08  
61754 $  2006   $  9850509646  $  9103801183     $     7328702  $   159009320  $   178392403  $    42001289  $      50      $       0      $      97      $           0  $              $1.082022      $7328702.000000      $10.146157 $11.382965 $2.680042 $     0.89  $     4.25  
61752 $  2006   $  5695401921  $  9117557176     $    14537053  $   178296842  $   178348573  $   173352981  $       0      $       0      $      97      $           0  $              $0.624663      $14537053.000000      $11.376867 $11.380168 $11.061406 $     1.00  $     1.03  
61754 $  3009   $ 10152713644  $  9096686443     $     6995388  $   164252700  $   188776068  $    39810289  $      50      $       0      $      97      $           0  $              $1.116089      $6995388.000000      $10.480731 $12.045531 $2.540238 $     0.87  $     4.74  
61752 $  3009   $  5693618641  $  9117368050     $    14507700  $   178884066  $   178937431  $   173955616  $       0      $       0      $      97      $           0  $              $0.624480      $14507700.000000      $11.414337 $11.417742 $11.099860 $     1.00  $     1.03  
61754 $  4012   $  9861819677  $  9104277395     $     7343933  $   159407406  $   179572529  $    41384014  $      50      $       0      $      97      $           0  $              $1.083207      $7343933.000000      $10.171559 $11.458267 $2.640655 $     0.89  $     4.34  
61752 $  4012   $  5715495565  $  9117619999     $    14521567  $   178223097  $   178274692  $   173291560  $       0      $       0      $      97      $           0  $              $0.626863      $14521567.000000      $11.372162 $11.375454 $11.057487 $     1.00  $     1.03  
61754 $  5015   $  9921905113  $  9103389410     $     7301490  $   160232326  $   180485949  $    41878221  $      50      $       0      $      97      $           0  $              $1.089913      $7301490.000000      $10.224195 $11.516551 $2.672189 $     0.89  $     4.31  
61752 $  5014   $  5740558749  $  9116748605     $    14486225  $   177918532  $   177970550  $   172981998  $       0      $       0      $      97      $           0  $              $0.629672      $14486225.000000      $11.364058 $11.367380 $11.048751 $     1.00  $     1.03  
61754 $  6017   $ 10029109305  $  9096237210     $     7036713  $   162017937  $   185049170  $    40175065  $      50      $       0      $      97      $           0  $              $1.102556      $7036713.000000      $10.348451 $11.819508 $2.566072 $     0.88  $     4.61  
61752 $  6016   $  5715954491  $  9117167895     $    14592651  $   179473397  $   179523950  $   174530941  $       0      $       0      $      97      $           0  $              $0.626944      $14592651.000000      $11.463370 $11.466599 $11.147685 $     1.00  $     1.03  
