PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
62193 $  1003   $  4110958034  $  5141348372     $    12587065  $   152927912  $    28526130  $    15614726  $      44      $       0      $      97      $           0  $              $0.799588      $12587065.000000      $9.758112 $1.820212 $0.996353 $     5.36  $     1.83  
62191 $  1003   $ 16777804419  $  9019939328     $     3487402  $   361445332  $   331733001  $    50718004  $       0      $       0      $      97      $           0  $              $1.860080      $3487402.000000      $23.063313 $21.167410 $3.236243 $     1.09  $     6.54  
62193 $  2006   $  5057957935  $  5838902345     $    18174323  $   202241738  $    41807753  $    26052459  $      46      $       0      $      97      $           0  $              $0.866252      $18174324.000000      $12.904757 $2.667693 $1.662370 $     4.84  $     1.60  
62191 $  2006   $ 17267898413  $  9321685045     $     3733834  $   374458852  $   342899868  $    54136229  $       0      $       0      $      97      $           0  $              $1.852444      $3733834.000000      $23.893684 $21.879951 $3.454355 $     1.09  $     6.33  
62193 $  3009   $ 16756142579  $  8986376711     $    37648873  $   779894061  $   128935400  $    66039068  $      55      $       0      $      97      $           0  $              $1.864616      $37648872.000000      $49.763927 $8.227184 $4.213859 $     6.05  $     1.95  
62191 $  3009   $ 16775358645  $  9107776532     $     4779522  $   366850539  $   332513191  $    71733026  $       0      $       0      $      97      $           0  $              $1.841872      $4779522.000000      $23.408209 $21.217192 $4.577182 $     1.10  $     4.64  
62191 $  3258   $  4574545473  $  2336484042     $      988121  $    99265512  $    90794022  $    15424553  $       0      $       0      $      97      $           0  $              $1.957876      $988121.000000      $25.514027 $23.336617 $3.964544 $     1.09  $     5.89  
62193 $  3258   $  2540684631  $  1193448711     $     3749719  $   114424212  $    14575644  $     7166658  $      12      $       0      $      97      $           0  $              $2.128860      $3749719.000000      $29.410238 $3.746350 $1.842033 $     7.85  $     2.03  
62191 $  4104   $ 16127817200  $  8065691296     $     2282907  $   346655138  $   320245272  $    34215124  $       0      $       0      $      97      $           0  $              $1.999558      $2282907.000000      $26.224503 $24.226593 $2.588378 $     1.08  $     9.36  
62191 $  4106   $     2846315  $     1411935     $        1575  $       60622  $       56618  $       24701  $       0      $       0      $      97      $           0  $              $2.015897      $1575.000000      $1.939904 $1.811776 $0.790432 $     1.07  $     2.29  
62191 $  5108   $ 17016710494  $  9160060364     $     3828332  $   367719168  $   337472603  $    53804206  $      45      $       0      $      97      $           0  $              $1.857707      $3828332.000000      $23.487053 $21.555136 $3.436596 $     1.09  $     6.27  
62211 $  1002   $  3810695928  $  5158008541     $    11816361  $   137412460  $    33525836  $    14626786  $       0      $       0      $      97      $           0  $              $0.738792      $11816361.000000      $8.776844 $2.141371 $0.934246 $     4.10  $     2.29  
62211 $  2004   $  4798506019  $  5622400160     $    16027721  $   184302030  $    41592346  $    20042684  $      46      $       0      $      97      $           0  $              $0.853462      $16027721.000000      $11.771787 $2.656597 $1.280171 $     4.43  $     2.08  
62191 $  6110   $ 16406618595  $  8827484525     $     3800026  $   354519866  $   325188739  $    54845751  $       0      $       0      $      97      $           0  $              $1.858584      $3800026.000000      $22.643984 $20.770538 $3.503122 $     1.09  $     5.93  
62211 $  3006   $ 15693842918  $  8970895157     $    35441102  $   721853955  $   151452180  $    61846413  $      55      $       0      $      97      $           0  $              $1.749418      $35441104.000000      $46.106441 $9.673592 $3.950270 $     4.77  $     2.45  
62191 $  7112   $ 16745067485  $  9090812006     $     4728765  $   365868712  $   331938727  $    70994332  $       0      $       0      $      97      $           0  $              $1.841977      $4728765.000000      $23.368860 $21.201675 $4.534568 $     1.10  $     4.68  
62191 $  7569   $  8110754104  $  4257831998     $     1888820  $   175970659  $   160815904  $    28284662  $       0      $       0      $      97      $           0  $              $1.904902      $1888820.000000      $24.643593 $22.521265 $3.961091 $     1.09  $     5.69  
62211 $  3463   $  4530923184  $  2595291888     $     8734716  $   207033895  $    43930377  $    17880390  $      22      $       0      $      97      $           0  $              $1.745824      $8734716.000000      $28.993805 $6.152175 $2.504037 $     4.71  $     2.46  
62191 $  8260   $ 13689213778  $  6832620553     $     1901540  $   294390461  $   271891537  $    28835157  $       0      $       0      $      97      $           0  $              $2.003509      $1901540.000000      $27.266266 $25.182430 $2.670695 $     1.08  $     9.43  
62191 $  8263   $     2434002  $     1199203     $        1256  $       53216  $       48540  $       19579  $       0      $       0      $      97      $           0  $              $2.029683      $1256.000000      $1.135275 $1.035520 $0.417685 $     1.10  $     2.48  
62191 $  9265   $ 17297200171  $  9263225701     $     3806790  $   374121171  $   343177315  $    54489110  $      46      $       0      $      97      $           0  $              $1.867298      $3806790.000000      $23.895964 $21.919510 $3.480342 $     1.09  $     6.30  
62216 $  1002   $  4050499491  $  5193969542     $    12494855  $   149627125  $    30583055  $    15312978  $       0      $       0      $      97      $           0  $              $0.779847      $12494855.000000      $9.557022 $1.953409 $0.978074 $     4.89  $     2.00  
62216 $  2005   $  4798308643  $  5732852383     $    17035890  $   188497770  $    41009185  $    23574635  $      45      $       0      $      97      $           0  $              $0.836985      $17035890.000000      $12.027775 $2.616738 $1.504264 $     4.60  $     1.74  
62191 $ 10268   $ 16477271447  $  8911893741     $     3913394  $   356536808  $   326827578  $    55003428  $       0      $       0      $      97      $           0  $              $1.848908      $3913394.000000      $22.750105 $20.854403 $3.509690 $     1.09  $     5.94  
62216 $  3008   $ 16502702212  $  8972892936     $    35436258  $   763658828  $   136822577  $    63577372  $      56      $       0      $      97      $           0  $              $1.839173      $35436256.000000      $48.727982 $8.730453 $4.056781 $     5.58  $     2.15  
