PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
62297 $  1003   $  3908125276  $  8760277758     $    13810131  $   228560084  $   183386078  $    38920370  $      50      $       0      $      97      $           0  $              $0.446119      $13810131.000000      $14.584093 $11.701604 $2.483453 $     1.25  $     4.71  
62295 $  1003   $ 16247531415  $  8854653306     $     4317816  $   355509626  $   321580654  $    65619208  $       0      $       0      $      97      $           0  $              $1.834915      $4317816.000000      $22.684563 $20.519602 $4.187068 $     1.11  $     4.90  
62297 $  2005   $  4094123122  $  9117263625     $    16312182  $   271874566  $   218576417  $    45356024  $      51      $       0      $      97      $           0  $              $0.449052      $16312182.000000      $17.365242 $13.960969 $2.896991 $     1.24  $     4.82  
62295 $  2005   $ 16886895539  $  9119272717     $     4520140  $   371153981  $   335286187  $    69660274  $       0      $       0      $      97      $           0  $              $1.851781      $4520140.000000      $23.706442 $21.415483 $4.449358 $     1.11  $     4.81  
62297 $  3007   $  4138589476  $  9116968474     $    15242606  $   254273008  $   202931816  $    44965400  $      51      $       0      $      97      $           0  $              $0.453944      $15242606.000000      $16.240990 $12.961712 $2.872041 $     1.25  $     4.51  
62295 $  3007   $ 16892295382  $  9118786675     $     4510183  $   371260781  $   335420038  $    69536514  $       0      $       0      $      97      $           0  $              $1.852472      $4510183.000000      $23.713263 $21.424034 $4.441454 $     1.11  $     4.82  
62297 $  4009   $  4136316288  $  9115721719     $    15356614  $   255293510  $   204811273  $    45207247  $      51      $       0      $      97      $           0  $              $0.453756      $15356614.000000      $16.306171 $13.081758 $2.887489 $     1.25  $     4.53  
62295 $  4009   $ 16944849883  $  9118162596     $     4505063  $   372386760  $   336428003  $    69690183  $       0      $       0      $      97      $           0  $              $1.858362      $4505063.000000      $23.785181 $21.488415 $4.451269 $     1.11  $     4.83  
62297 $  5011   $  4090353127  $  9116807583     $    16304692  $   270939969  $   218576419  $    45455025  $      52      $       0      $      97      $           0  $              $0.448661      $16304692.000000      $17.305548 $13.960969 $2.903315 $     1.24  $     4.81  
62295 $  5011   $ 16926160594  $  9118371445     $     4517004  $   372010575  $   336040346  $    69847583  $       0      $       0      $      97      $           0  $              $1.856270      $4517004.000000      $23.761154 $21.463655 $4.461323 $     1.11  $     4.81  
62297 $  6013   $  4140491734  $  9116711096     $    16446632  $   273648576  $   219426380  $    46178422  $      52      $       0      $      97      $           0  $              $0.454165      $16446632.000000      $17.478552 $14.015258 $2.949520 $     1.25  $     4.75  
62295 $  6013   $ 16812317087  $  9118682566     $     4564310  $   369452735  $   333730862  $    69752922  $       0      $       0      $      97      $           0  $              $1.843722      $4564310.000000      $23.597780 $21.316141 $4.455276 $     1.11  $     4.78  
62297 $  7015   $  4093657760  $  9117206697     $    15257522  $   254921634  $   204114942  $    44307839  $      52      $       0      $      97      $           0  $              $0.449004      $15257522.000000      $16.282419 $13.037282 $2.830042 $     1.25  $     4.61  
62295 $  7015   $ 16896070520  $  9119502814     $     4504158  $   371329528  $   335474362  $    69501942  $       0      $       0      $      97      $           0  $              $1.852740      $4504158.000000      $23.717655 $21.427505 $4.439246 $     1.11  $     4.83  
62297 $  8017   $  4174101977  $  9117280938     $    15316139  $   254884770  $   203437457  $    45642230  $      52      $       0      $      97      $           0  $              $0.457823      $15316139.000000      $16.280066 $12.994009 $2.915272 $     1.25  $     4.46  
62295 $  8017   $ 16916391143  $  9119283382     $     4507528  $   371768967  $   335874829  $    69614139  $       0      $       0      $      97      $           0  $              $1.855013      $4507528.000000      $23.745722 $21.453081 $4.446412 $     1.11  $     4.82  
62295 $  8940   $ 15968667040  $  8501981039     $     3948611  $   350375432  $   317154167  $    60881814  $       0      $       0      $      97      $           0  $              $1.878229      $3948611.000000      $24.294720 $21.991188 $4.221491 $     1.10  $     5.21  
62297 $  8940   $  3195179748  $  7156506692     $    13400626  $   222191345  $   180067636  $    35913778  $      46      $       0      $      97      $           0  $              $0.446472      $13400626.000000      $15.406550 $12.485729 $2.490229 $     1.23  $     5.01  
62295 $  9152   $  4083157445  $  2071329645     $      627692  $    88762997  $    81156938  $     9106589  $       0      $       0      $      97      $           0  $              $1.971274      $627692.000000      $26.796377 $24.500208 $2.749159 $     1.09  $     8.91  
62295 $  9154   $     3144372  $     1559975     $        1667  $       67955  $       62656  $       26410  $       0      $       0      $      97      $           0  $              $2.015655      $1667.000000      $2.174560 $2.004992 $0.845120 $     1.08  $     2.37  
62295 $ 10156   $ 16851380236  $  9055173338     $     4410837  $   369550768  $   334205591  $    67808621  $      51      $       0      $      97      $           0  $              $1.860967      $4410837.000000      $23.604042 $21.346466 $4.331090 $     1.11  $     4.93  
62315 $  1002   $  3984109926  $  8817703359     $    13823209  $   229033733  $   169534633  $    39445682  $       0      $       0      $      97      $           0  $              $0.451831      $13823209.000000      $14.628901 $10.828560 $2.519485 $     1.35  $     4.30  
62315 $  2004   $  4130737558  $  8960402915     $    16440123  $   273564367  $   202166861  $    46186417  $      50      $       0      $      97      $           0  $              $0.460999      $16440123.000000      $17.473171 $12.912853 $2.950031 $     1.35  $     4.38  
62295 $ 11158   $ 15897016870  $  8643920784     $     4518164  $   348344126  $   314816532  $    69236184  $       0      $       0      $      97      $           0  $              $1.839098      $4518164.000000      $22.249525 $20.108044 $4.422271 $     1.11  $     4.55  
62315 $  3006   $  4095439663  $  9099520440     $    16065436  $   268327988  $   199201007  $    44740490  $      52      $       0      $      97      $           0  $              $0.450072      $16065436.000000      $17.138714 $12.723417 $2.857676 $     1.35  $     4.45  
62295 $ 12160   $ 16860308857  $  9099499377     $     4520656  $   370566978  $   334765792  $    69694342  $       0      $       0      $      97      $           0  $              $1.852883      $4520656.000000      $23.668949 $21.382246 $4.451535 $     1.11  $     4.80  
62315 $  4008   $  4226166432  $  9099596380     $    15553495  $   258335489  $   189953886  $    46292625  $      51      $       0      $      97      $           0  $              $0.464434      $15553495.000000      $16.500471 $12.132783 $2.956814 $     1.36  $     4.10  
62295 $ 13162   $ 16815953472  $  9100344294     $     4523145  $   369487937  $   333777031  $    69513944  $       0      $       0      $      97      $           0  $              $1.847837      $4523145.000000      $23.600027 $21.319092 $4.440012 $     1.11  $     4.80  
62315 $  5010   $  4228039251  $  9100643233     $    15566800  $   259016372  $   190502925  $    46328736  $      52      $       0      $      97      $           0  $              $0.464587      $15566800.000000      $16.543961 $12.167851 $2.959121 $     1.36  $     4.11  
62295 $ 14164   $ 16837083267  $  9101871955     $     4521568  $   370048681  $   334252802  $    69585319  $       0      $       0      $      97      $           0  $              $1.849848      $4521568.000000      $23.635843 $21.349480 $4.444571 $     1.11  $     4.80  
62315 $  6013   $  4083149555  $  9098984006     $    16125361  $   267499757  $   199973104  $    44959019  $      52      $       0      $      97      $           0  $              $0.448748      $16125361.000000      $17.068779 $12.759998 $2.868771 $     1.34  $     4.45  
62295 $ 15167   $ 16882723944  $  9099839256     $     4555997  $   370923660  $   335141959  $    69995955  $       0      $       0      $      97      $           0  $              $1.855277      $4555997.000000      $23.668110 $21.384930 $4.466342 $     1.11  $     4.79  
