PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
62848 $  1003   $  3057371315  $  8725202538     $     5568888  $   382594962  $   379243524  $     5990762  $      49      $       0      $      97      $           0  $              $0.350407      $5568888.000000      $24.412840 $24.198988 $0.382262 $     1.01  $    63.30  
62846 $  1003   $ 22022954583  $  8812131750     $      913612  $   344545718  $   344575759  $     4776498  $       0      $       0      $      97      $           0  $              $2.499163      $913612.000000      $21.984972 $21.986887 $0.304782 $     1.00  $    72.14  
62848 $  2005   $  3180838766  $  9148879561     $     5763905  $   403603844  $   400079823  $     5763925  $      50      $       0      $      97      $           0  $              $0.347675      $5763905.000000      $25.779087 $25.553999 $0.368155 $     1.01  $    69.41  
62846 $  2005   $ 22969945489  $  9144289500     $      833722  $   359143109  $   359149565  $     4184693  $       0      $       0      $      97      $           0  $              $2.511944      $833722.000000      $22.939280 $22.939693 $0.267286 $     1.00  $    85.82  
62848 $  3007   $  3181844965  $  9149922204     $     5862096  $   403704669  $   400197245  $     5862070  $      50      $       0      $      97      $           0  $              $0.347746      $5862096.000000      $25.785528 $25.561501 $0.374424 $     1.01  $    68.27  
62846 $  3007   $ 23058552296  $  9151656918     $      778793  $   360739633  $   360741611  $     4067828  $       0      $       0      $      97      $           0  $              $2.519604      $778793.000000      $23.041254 $23.041380 $0.259821 $     1.00  $    88.68  
62848 $  4009   $  3179167799  $  9147674622     $     6106848  $   403407378  $   399888318  $     6106856  $      50      $       0      $      97      $           0  $              $0.347538      $6106848.000000      $25.766541 $25.541769 $0.390059 $     1.01  $    65.48  
62846 $  4009   $ 22953761917  $  9142593257     $      885820  $   358891280  $   358903225  $     4719216  $       0      $       0      $      97      $           0  $              $2.510640      $885820.000000      $22.923195 $22.923960 $0.301427 $     1.00  $    76.05  
62848 $  5011   $  3178747442  $  9147187855     $     6103312  $   403366743  $   399838539  $     6103312  $      50      $       0      $      97      $           0  $              $0.347511      $6103312.000000      $25.763945 $25.538589 $0.389832 $     1.01  $    65.51  
62846 $  5011   $ 22954441396  $  9143181902     $      884540  $   358902148  $   358911649  $     4695217  $       0      $       0      $      97      $           0  $              $2.510553      $884540.000000      $22.923889 $22.924496 $0.299894 $     1.00  $    76.44  
62848 $  6014   $  3181700670  $  9148703778     $     5737897  $   403773940  $   400182385  $     5737829  $      50      $       0      $      97      $           0  $              $0.347776      $5737897.000000      $25.764240 $25.535069 $0.366123 $     1.01  $    69.74  
62846 $  6014   $ 23057691839  $  9149617125     $      770884  $   360725187  $   360725577  $     4122536  $       0      $       0      $      97      $           0  $              $2.520072      $770884.000000      $23.017359 $23.017384 $0.263053 $     1.00  $    87.50  
62848 $  7017   $  3182392964  $  9150152003     $     5440394  $   403784293  $   400254023  $     5440453  $      50      $       0      $      97      $           0  $              $0.347797      $5440394.000000      $25.764900 $25.539639 $0.347148 $     1.01  $    73.57  
62846 $  7017   $ 22986673620  $  9143327713     $      801158  $   359405549  $   359411157  $     4053638  $       0      $       0      $      97      $           0  $              $2.514038      $801158.000000      $22.933155 $22.933514 $0.258657 $     1.00  $    88.66  
62848 $  8019   $  3181984111  $  9149372011     $     5434923  $   403792603  $   400213617  $     5434941  $      50      $       0      $      97      $           0  $              $0.347782      $5434923.000000      $25.791145 $25.562548 $0.347142 $     1.01  $    73.64  
62846 $  8019   $ 22983835621  $  9143224848     $      796037  $   359362886  $   359369838  $     4041600  $       0      $       0      $      97      $           0  $              $2.513756      $796037.000000      $22.953318 $22.953762 $0.258146 $     1.00  $    88.92  
62848 $  9021   $  3214099966  $  9154147716     $     5876742  $   401475435  $   398015299  $     6163970  $      50      $       0      $      97      $           0  $              $0.351109      $5876742.000000      $25.643141 $25.422134 $0.393707 $     1.01  $    64.57  
62846 $  9021   $ 23029195870  $  9148661822     $      794164  $   360277958  $   360276961  $     4139883  $       0      $       0      $      97      $           0  $              $2.517220      $794164.000000      $23.011765 $23.011702 $0.264424 $     1.00  $    87.03  
62848 $ 10023   $  3187615462  $  9165158745     $     5796517  $   404397865  $   400934531  $     5796560  $      50      $       0      $      97      $           0  $              $0.347797      $5796517.000000      $25.829803 $25.608593 $0.370239 $     1.01  $    69.17  
62846 $ 10023   $ 22974750605  $  9144096760     $      822557  $   359217162  $   359225969  $     4109581  $       0      $       0      $      97      $           0  $              $2.512523      $822557.000000      $22.944010 $22.944574 $0.262488 $     1.00  $    87.41  
62848 $ 11025   $  3186166168  $  9163798882     $     5921128  $   404153608  $   400740968  $     5921038  $      50      $       0      $      97      $           0  $              $0.347691      $5921128.000000      $25.814201 $25.596230 $0.378190 $     1.01  $    67.68  
62846 $ 11025   $ 22967530019  $  9143125256     $      834779  $   359106988  $   359112807  $     4162857  $       0      $       0      $      97      $           0  $              $2.512000      $834779.000000      $22.936972 $22.937344 $0.265891 $     1.00  $    86.27  
62848 $ 12027   $  3189158313  $  9165435698     $     6065131  $   404512887  $   401141122  $     6065142  $      50      $       0      $      97      $           0  $              $0.347955      $6065131.000000      $25.837151 $25.621788 $0.387394 $     1.01  $    66.14  
62846 $ 12027   $ 23050471012  $  9149286121     $      809495  $   360612765  $   360615152  $     4393236  $       0      $       0      $      97      $           0  $              $2.519374      $809495.000000      $23.033152 $23.033304 $0.280606 $     1.00  $    82.08  
62848 $ 13029   $  3187446376  $  9165124260     $     6144490  $   404290091  $   400930832  $     6144492  $      50      $       0      $      97      $           0  $              $0.347780      $6144490.000000      $25.822920 $25.608355 $0.392463 $     1.01  $    65.25  
62846 $ 13029   $ 22961331586  $  9142575492     $      876887  $   359010836  $   359021060  $     4629861  $       0      $       0      $      97      $           0  $              $2.511473      $876887.000000      $22.930832 $22.931484 $0.295720 $     1.00  $    77.54  
62848 $ 14031   $  3182280757  $  9151758413     $     5857615  $   403734175  $   400258465  $     5857507  $      50      $       0      $      97      $           0  $              $0.347723      $5857615.000000      $25.787413 $25.565411 $0.374132 $     1.01  $    68.33  
62846 $ 14031   $ 22935332050  $  9130023658     $      844837  $   358605712  $   358613855  $     4358413  $       0      $       0      $      97      $           0  $              $2.512078      $844837.000000      $22.904955 $22.905476 $0.278382 $     1.00  $    82.28  
62848 $ 15033   $  3189456026  $  9161847585     $     5335372  $   404649291  $   401142259  $     5335386  $      50      $       0      $      97      $           0  $              $0.348124      $5335372.000000      $25.845861 $25.621862 $0.340783 $     1.01  $    75.19  
62846 $ 15033   $ 23071195086  $  9147342488     $      725501  $   360937458  $   360938253  $     3738394  $       0      $       0      $      97      $           0  $              $2.522175      $725501.000000      $23.053890 $23.053940 $0.238780 $     1.00  $    96.55  
62848 $ 15209   $   588475460  $  1682462036     $      444187  $    74381707  $    73992928  $      444187  $       7      $       0      $      97      $           0  $              $0.349770      $444187.000000      $27.047892 $26.906519 $0.161523 $     1.01  $   166.58  
62846 $ 15210   $  1659350397  $   662500429     $       41497  $    25926448  $    25922816  $      225721  $       0      $       0      $      97      $           0  $              $2.504678      $41497.000000      $9.374535 $9.373221 $0.081617 $     1.00  $   114.84  
62848 $ 16137   $  3030963740  $  8650696633     $      111799  $   382002042  $   381007933  $      111794  $      31      $       0      $      97      $           0  $              $0.350372      $111799.000000      $26.344969 $26.276409 $0.007710 $     1.00  $  3408.12  
62848 $ 16139   $     1856409  $     5347170     $          45  $      234015  $      233395  $          37  $       0      $       0      $      97      $           0  $              $0.347176      $45.000000      $7.488480 $7.468640 $0.001184 $     1.00  $  6307.97  
62866 $   138   $  2396477648  $  1006767907     $      245653  $    37573071  $    37603676  $     1428996  $       0      $       0      $      97      $           0  $              $2.380368      $245653.000000      $17.425192 $17.439386 $0.662723 $     1.00  $    26.31  
62848 $ 16277   $   426834763  $  1224509349     $      972822  $    51830581  $    51414241  $      971848  $       6      $       0      $      97      $           0  $              $0.348576      $972822.000000      $24.037371 $23.844286 $0.450712 $     1.01  $    52.90  
