PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
63271 $  1003   $  3978368524  $  8792175731     $    13772885  $   229067660  $   182707304  $    39392860  $      47      $       0      $      97      $           0  $              $0.452490      $13772885.000000      $14.616481 $11.658292 $2.513602 $     1.25  $     4.64  
63269 $  1003   $ 20367195142  $  8816355964     $     2192954  $   318378894  $   318450464  $    12839043  $       0      $       0      $      97      $           0  $              $2.310160      $2192954.000000      $20.315302 $20.319870 $0.819241 $     1.00  $    24.80  
63271 $  2005   $  4202832108  $  9118257675     $    16398761  $   274111039  $   218464180  $    46605199  $      49      $       0      $      97      $           0  $              $0.460925      $16398761.000000      $17.508091 $13.953799 $2.976779 $     1.25  $     4.69  
63269 $  2005   $ 20851084527  $  9103347344     $     2404355  $   326179190  $   326216470  $    14325777  $       0      $       0      $      97      $           0  $              $2.290485      $2404355.000000      $20.833801 $20.836182 $0.915020 $     1.00  $    22.77  
63271 $  3007   $  4201325713  $  9115671254     $    16394710  $   274104468  $   218454122  $    46598948  $      49      $       0      $      97      $           0  $              $0.460890      $16394710.000000      $17.507671 $13.953157 $2.976380 $     1.25  $     4.69  
63269 $  3007   $ 20752988977  $  9094267407     $     2489737  $   324419944  $   324463388  $    14653616  $       0      $       0      $      97      $           0  $              $2.281986      $2489737.000000      $20.721434 $20.724209 $0.935960 $     1.00  $    22.14  
63271 $  4009   $  4114414846  $  9117301266     $    15870202  $   266301334  $   212985838  $    44791197  $      49      $       0      $      97      $           0  $              $0.451275      $15870202.000000      $17.009266 $13.603886 $2.860915 $     1.25  $     4.76  
63269 $  4009   $ 20924463914  $  9101889188     $     2305070  $   327313948  $   327344189  $    13634380  $       0      $       0      $      97      $           0  $              $2.298914      $2305070.000000      $20.906281 $20.908213 $0.870859 $     1.00  $    24.01  
63271 $  5012   $  4241884089  $  9117198578     $    15685718  $   262428757  $   208117897  $    46491554  $      49      $       0      $      97      $           0  $              $0.465262      $15685718.000000      $16.745205 $13.279707 $2.966560 $     1.26  $     4.48  
63269 $  5012   $ 20839931422  $  9102725696     $     2427834  $   326037253  $   326029264  $    14306378  $       0      $       0      $      97      $           0  $              $2.289417      $2427834.000000      $20.803972 $20.803461 $0.912870 $     1.00  $    22.79  
63271 $  6014   $  4242293519  $  9124217344     $    15706168  $   262635786  $   208306416  $    46515926  $      49      $       0      $      97      $           0  $              $0.464949      $15706168.000000      $16.775141 $13.305000 $2.971077 $     1.26  $     4.48  
63269 $  6015   $ 20834641723  $  9105073340     $     2421856  $   325749661  $   325820809  $    14435161  $       0      $       0      $      97      $           0  $              $2.288245      $2421856.000000      $20.785622 $20.790161 $0.921087 $     1.00  $    22.57  
63271 $  7016   $  4147289496  $  9118258428     $    15824885  $   264161198  $   211948131  $    45421475  $      49      $       0      $      97      $           0  $              $0.454834      $15824885.000000      $16.872572 $13.537605 $2.901172 $     1.25  $     4.67  
63269 $  7018   $ 21044901391  $  9103544695     $     2296981  $   329211981  $   329244279  $    13709195  $       0      $       0      $      97      $           0  $              $2.311726      $2296981.000000      $21.006546 $21.008608 $0.874764 $     1.00  $    24.02  
63271 $  8018   $  4174935331  $  9129947999     $    16304600  $   272441065  $   217889815  $    46166659  $      49      $       0      $      97      $           0  $              $0.457279      $16304600.000000      $17.401424 $13.917113 $2.948769 $     1.25  $     4.72  
63269 $  8021   $ 20837701338  $  9108570052     $     2471432  $   325742220  $   325781494  $    14558871  $       0      $       0      $      97      $           0  $              $2.287703      $2471432.000000      $20.785147 $20.787653 $0.928981 $     1.00  $    22.38  
63269 $  8746   $ 15395681915  $  6660134381     $     1612319  $   240729315  $   240750887  $     9449883  $       0      $       0      $      97      $           0  $              $2.311617      $1612319.000000      $21.250587 $21.252491 $0.834197 $     1.00  $    25.48  
63271 $  8744   $  2671455666  $  5749210287     $    10873071  $   181639130  $   144559463  $    30013083  $      34      $       0      $      97      $           0  $              $0.464665      $10873071.000000      $16.012266 $12.743533 $2.645782 $     1.26  $     4.82  
63269 $  9114   $  8929592317  $  3509918721     $       60051  $   139661135  $   139645979  $      252406  $       0      $       0      $      97      $           0  $              $2.544102      $60051.000000      $24.288893 $24.286259 $0.043897 $     1.00  $   553.26  
63269 $  9117   $     3637125  $     1459338     $          33  $       56951  $       56950  $         357  $       0      $       0      $      97      $           0  $              $2.492311      $33.000000      $1.214955 $1.214933 $0.007616 $     1.00  $   159.52  
63269 $ 10120   $ 20917462683  $  9009987771     $     2134022  $   327102386  $   327158351  $    12641244  $      48      $       0      $      97      $           0  $              $2.321586      $2134022.000000      $20.871939 $20.875507 $0.806620 $     1.00  $    25.88  
