PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
64086 $  1003   $  4241905679  $  5126434015     $    12392808  $   158565388  $    31477184  $    14505552  $      35      $       0      $      97      $           0  $              $0.827457      $12392808.000000      $10.117831 $2.008514 $0.925579 $     5.04  $     2.17  
64084 $  1003   $  3556925611  $  7687269351     $     3166120  $    39607046  $    36028534  $    29947764  $       0      $       0      $      97      $           0  $              $0.462703      $3166120.000000      $2.527269 $2.298929 $1.910924 $     1.10  $     1.20  
64086 $  2005   $  4816297013  $  5860841024     $    17089097  $   191034648  $    42445530  $    24238325  $      38      $       0      $      97      $           0  $              $0.821776      $17089096.000000      $12.201815 $2.711092 $1.548156 $     4.50  $     1.75  
64084 $  2005   $  4228060673  $  9255697603     $     4084170  $    47233129  $    43089148  $    35511885  $       0      $       0      $      97      $           0  $              $0.456806      $4084170.000000      $3.016886 $2.752201 $2.268224 $     1.10  $     1.21  
64086 $  3007   $ 16316987388  $  8987859207     $    35466657  $   758770644  $   136304206  $    63882687  $      47      $       0      $      97      $           0  $              $1.815448      $35466656.000000      $48.464390 $8.706058 $4.080331 $     5.57  $     2.13  
64084 $  3007   $  4114210190  $  9038812349     $     4043003  $    45092107  $    41323604  $    34174294  $       0      $       0      $      97      $           0  $              $0.455172      $4043003.000000      $2.880135 $2.639432 $2.182789 $     1.09  $     1.21  
64084 $  3270   $  1114324832  $  2426697086     $      991219  $    12227101  $    11183237  $     9289407  $       0      $       0      $      97      $           0  $              $0.459194      $991219.000000      $2.975416 $2.721396 $2.260540 $     1.09  $     1.20  
64086 $  3270   $  3135078884  $  1526760603     $     4994549  $   141254082  $    20198815  $     8507656  $      11      $       0      $      97      $           0  $              $2.053419      $4994549.000000      $34.373615 $4.915301 $2.070304 $     6.99  $     2.37  
64084 $  4081   $  3650607315  $  7864179747     $     3100014  $    40199468  $    36614271  $    30579630  $       0      $       0      $      97      $           0  $              $0.464207      $3100014.000000      $3.172338 $2.889412 $2.413189 $     1.10  $     1.20  
64084 $  4083   $      515329  $     1264871     $           2  $           2  $          12  $           0  $       0      $       0      $      97      $           0  $              $0.407416      $2.000000      $0.000064 $0.000384 $0.000000 $     0.17  $      inf  
64084 $  5086   $  4031403733  $  8739238962     $     3629598  $    44124942  $    40165501  $    33500659  $      37      $       0      $      97      $           0  $              $0.461299      $3629598.000000      $2.815550 $2.562903 $2.137629 $     1.10  $     1.20  
64104 $  1002   $  3829083239  $  5070947727     $    11753367  $   139652721  $    30806867  $    13890050  $       0      $       0      $      97      $           0  $              $0.755102      $11753367.000000      $8.919934 $1.967704 $0.887189 $     4.53  $     2.22  
64104 $  2005   $  4871852298  $  5722923096     $    16956402  $   189327678  $    39245133  $    20578401  $      38      $       0      $      97      $           0  $              $0.851287      $16956402.000000      $12.080729 $2.504176 $1.313078 $     4.82  $     1.91  
64084 $  6089   $  4166306441  $  8972567954     $     3967495  $    46361327  $    42033769  $    34815508  $       0      $       0      $      97      $           0  $              $0.464338      $3967495.000000      $2.958250 $2.682115 $2.221528 $     1.10  $     1.21  
64104 $  3007   $ 15551243025  $  8983340088     $    40455733  $   720731528  $   139120860  $    67265984  $      47      $       0      $      97      $           0  $              $1.731120      $40455732.000000      $46.034748 $8.885963 $4.296430 $     5.18  $     2.07  
64084 $  7091   $  4099070674  $  9035305910     $     4041909  $    45000840  $    41258926  $    34046116  $       0      $       0      $      97      $           0  $              $0.453673      $4041909.000000      $2.874305 $2.635301 $2.174602 $     1.09  $     1.21  
64084 $  7474   $  1612284158  $  3496275028     $     1528213  $    17522278  $    16251451  $    13343273  $       0      $       0      $      97      $           0  $              $0.461143      $1528213.000000      $2.928005 $2.715647 $2.229685 $     1.08  $     1.22  
64104 $  3390   $  4324943240  $  2406905231     $     9390622  $   201110175  $    37728635  $    18565567  $      16      $       0      $      97      $           0  $              $1.796890      $9390622.000000      $33.605877 $6.304524 $3.102340 $     5.33  $     2.03  
64084 $  7883   $  1844670490  $  3948447925     $     1605886  $    20659238  $    18638507  $    15490508  $       0      $       0      $      97      $           0  $              $0.467189      $1605886.000000      $3.232741 $2.916539 $2.423943 $     1.11  $     1.20  
64109 $  1003   $  4422344186  $  5399732851     $    14789574  $   169989356  $    34643397  $    16647577  $      26      $       0      $      65      $           0  $              $0.818993      $14789574.000000      $10.846779 $2.210546 $1.062258 $     4.91  $     2.08  
